topic0	stoff 0.267679333053	richtlinie 0.119755829389	kunststoff 0.0566426873077	ziffer 0.034855736893	chemikalie 0.0333510651852	verarbeiten 0.0306080501551	planer 0.0272968393606	gel 0.0263786234079	entsorgung 0.026093821251	einleitung 0.0231170573968	unentbehrlich 0.0218229125267	chemisch 0.0216105569045	gesamtkonzept 0.0172325676568	einfuhr 0.0148674392424	erörtern 0.0142688637768	spezialgebiet 0.0141560040056	umwelt 0.0128528804928	grundwissen 0.0118931531744	bündel 0.0108266659242	quecksilber 0.0106779054343	bequemlichkeit 0.00914414387647	fließband 0.00878575471853	verarbeitend 0.00816887352349	aufwind 0.00725368754673	kohlenwasserstoff 0.00697699164185
topic79	homepage 0.45248189006	bezahlbar 0.0374283422366	gitter 0.035183178774	startschuss 0.0338160017822	pionier 0.0318920868526	speicherplatz 0.0305213893902	ftp 0.0286053486314	rechen 0.0285431741678	namentlich 0.021940794756	zurücklegen 0.0199155990837	disk 0.0187721082027	anhängen 0.0175563018497	extravagant 0.0154436303243	ulmer 0.0141397999709	landessportbund 0.0132289062508	korridor 0.0119879774875	armatur 0.0119488940217	visionär 0.0108838289277	breitensport 0.0107066385441	bezugsquelle 0.0107058392995	lösungsmöglichkeit 0.0101253915943	ehrgeiz 0.00978601411346	zielgerade 0.00977193647347	toner 0.00851701051616	randvoll 0.00792546192614
topic80	stand 0.322934195201	kommunikation 0.0985699230264	befragte 0.0386228532153	sprecher 0.0367828988697	repräsentativ 0.0331042935334	thüringer 0.0304172087013	kennzeichnung 0.0282337303346	befragung 0.0270818410805	erfahrungsaustausch 0.0270288171065	verbund 0.0237837751961	befragt 0.0226235176501	devise 0.0221240758909	weben 0.0214137277681	befragen 0.0172070218657	bildungsbereich 0.0139407997295	ostdeutsch 0.0138444171451	meinungsäußerung 0.0129328569776	bundesdeutsch 0.0126634200577	handlungsbedarf 0.0124385976517	tagesspiegel 0.0108108774454	produktiv 0.00836078237107	zehnt 0.00713991648836	fachartikel 0.0066870298486	hauptgrund 0.00662215936537	umgesetzt 0.0065175361198
topic81	tuch 0.0871327226568	gemischt 0.0857522932054	abheben 0.053532019345	handtuch 0.0528722683174	gesellig 0.0374113708179	satire 0.0325897985006	bettwäsche 0.0319285698885	gig 0.0308369027012	auslastung 0.0290808675138	unscheinbar 0.0267717691608	verführen 0.0254699526878	instrumental 0.0251510345676	einjährig 0.0249483048236	wohltuend 0.0237996197188	durchströmen 0.0211137958922	spitz 0.019606523154	vierjährig 0.016369608715	verehrt 0.016117963664	buckel 0.0157435135246	bistro 0.015338804708	reinrassig 0.0148843006814	verwöhnen 0.0139927251549	pingback 0.0130026682735	beherrschung 0.0114020625812	allererst 0.0113165386536
topic82	hund 0.34729425941	welpe 0.0299719716864	züchter 0.0275980657409	rasse 0.0243172563756	hündin 0.0219090671564	leine 0.0218406511635	tierheim 0.0174813610215	rüde 0.0150792045835	zucht 0.0129493270629	tierarzt 0.0113965004994	tier 0.00999249789127	besitzer 0.00939551857628	zuhause 0.00902261598142	züchten 0.00892710340482	verhalten 0.00867172223575	spaziergang 0.00780486584787	mensch 0.00756144050027	bellen 0.00737890212815	zeigen 0.00636021314051	rudel 0.00611946232558	auslauf 0.00597515714713	oldenburger 0.00589168284423	spazieren 0.00579575716468	halsband 0.00570671204202	alt 0.00559938386309
topic83	verbraucher 0.106464085273	katalog 0.0863587680296	bauteil 0.0522497449578	reichweite 0.0472908348808	automobil 0.0390297706331	erzeugnis 0.0318140157477	lenkrad 0.0304794831081	unkompliziert 0.0269104673257	wetter 0.0229600322465	optimiert 0.0192428727355	kennzeichnen 0.0191889036534	innenraum 0.0184581273256	informieren 0.0181967435331	forst 0.0173780280344	angepasst 0.0165855628864	system 0.0122996279381	wasserstand 0.0122094574272	entsprechen 0.0119369492825	vernetzt 0.0115864618783	umgebend 0.0113035970043	markant 0.011169931374	elektrofahrzeug 0.0110471256544	königsweg 0.0109198111832	verteilen 0.0104485794931	vielzahl 0.0103413380256
topic84	fair 0.272777781857	wunde 0.0606010514578	titan 0.0543739142866	wirbelsäule 0.0414268430275	tragend 0.0411513689256	bios 0.0393047804296	unbefristet 0.0315789572081	fledermaus 0.0273929892296	vorhaut 0.027010287508	mücke 0.0251963806801	zeh 0.0251718527393	merken 0.0229531984196	hefe 0.0202450658342	rätseln 0.0182428915225	merkliste 0.0165701048386	comment 0.0162666340308	wund 0.0154771915338	illustriert 0.0137783400622	orten 0.0130927494805	extrahieren 0.0130093596061	augenmaß 0.00886664008552	harnröhre 0.00867447393847	mandatsträger 0.00861257662005	fehlstellung 0.00860854919966	entpackt 0.00842778908105
topic85	frisch 0.0358496429057	schmecken 0.035596682371	lecker 0.0349735183872	glas 0.0288211361783	brot 0.0265767343632	salat 0.0193374788634	geben 0.0186968708193	küche 0.0179363448689	käse 0.0172268234137	zwiebel 0.0170610454737	suppe 0.0144775429007	reis 0.0138853428234	kuchen 0.0132585737772	pizza 0.0131308033339	teig 0.0129373039652	banane 0.0128275662598	teller 0.0127307928655	essen 0.0122919257255	pfanne 0.0122519802106	servieren 0.0120445373893	rotwein 0.0112004340512	kühlschrank 0.011132783981	tomate 0.0106404660203	wurst 0.0103017602124	nudel 0.00980111574733
topic86	schwer 0.148555881463	unfall 0.116275679746	passieren 0.112460181941	verletzung 0.0618337258461	gefahr 0.0499399418052	sturz 0.0320062576716	tödlich 0.0302439149353	stürzen 0.0248139942563	erleiden 0.0233017285256	neustart 0.0214068594754	tragisch 0.0189745306247	ereignen 0.0169089974942	revue 0.0165566118499	blaue 0.0161178169678	gefährlich 0.0133394406368	körperteil 0.013300135635	zwischenfall 0.0124633295042	anrechnung 0.0102235767031	überlebend 0.00955325289134	todesursache 0.00851822516499	beeinflusst 0.00781329929885	rückruf 0.00719304882641	unverletzt 0.00688309794269	gebracht 0.00681556013228	sicherheit 0.00673904503452
topic87	energie 0.0954891762273	strom 0.0397634151808	ökologisch 0.0260425787519	umwelt 0.0216748237302	nachhaltig 0.0205235894026	erneuerbar 0.0153642052071	abfall 0.0131008144217	nachhaltigkeit 0.0109079775413	nutzung 0.0106169049592	energiewende 0.0103515074182	kraftwerk 0.0102471306577	erneuerbare 0.00949107398138	jahr 0.00929187933242	emission 0.0082642009952	energetisch 0.00818599339267	ressource 0.00797734285099	technologie 0.0078787193865	groß 0.00739580218054	energieversorgung 0.00717169595612	energieeffizienz 0.00716263040073	rohstoff 0.0068398079965	regenerativ 0.00636638191815	energieverbrauch 0.00632728622619	nutzen 0.00626477287405	netz 0.00593385591434
topic88	reaktion 0.176548523986	griechisch 0.0997868841327	reagieren 0.0924024361614	auslöser 0.0451479363393	grieche 0.0390293396694	auslösen 0.0353342358214	sparte 0.0315836170167	allergisch 0.0281205662714	abo 0.0278047232103	anhaltend 0.017029115706	schlafstörung 0.0154700257641	juckreiz 0.0150412240286	göttinger 0.0146055541122	schock 0.014225872307	clean 0.0134583154711	unruhe 0.0125222279364	landesmeisterschaft 0.0118601252886	court 0.0112666025852	charakteristikum 0.0106529116736	lebensbedrohlich 0.0103237435262	todesfall 0.01018254146	wespe 0.00982838937554	verabreichen 0.00969399635354	anlocken 0.0096563322496	schwindel 0.00948637534125
topic89	wein 0.19521482144	pfarrer 0.0947856001508	kloster 0.0936740728418	bischof 0.0727371154056	priester 0.0455187988107	stift 0.035179228989	bistum 0.0222245160899	weinberg 0.0215102527787	weingut 0.0171594469436	winzer 0.0157548252858	pfarrei 0.0156862976734	gaumen 0.0145006009745	diözese 0.0126967089508	liturgisch 0.0122699796286	geistliche 0.011885217204	seelsorge 0.0111925566927	neuhausen 0.0107116448254	most 0.00972505811921	kirchenchor 0.0096907491275	erzeuger 0.00961212441331	porno 0.00941040240606	diakon 0.00843277688976	pfarrhaus 0.00820385488067	rebe 0.00781546919946	weinbau 0.0075057761352
topic90	gebäude 0.0991616210458	grundstück 0.0423590966905	fläche 0.0311394683628	quadratmeter 0.0293238493416	haus 0.0290536562633	neubau 0.0243955952536	eigentümer 0.0211738219093	groß 0.0199069574055	stehen 0.0165799175016	bau 0.0164034997234	nutzung 0.0138122929659	entstehen 0.0131452205646	wohnraum 0.0120545294624	gelände 0.0117076067287	sanierung 0.0115236914513	neu 0.0107933743399	erdgeschoss 0.0102629741159	bauwerk 0.00935438048075	vorhanden 0.00926303539875	weit 0.00856964498283	fertigstellung 0.00845812725093	umbau 0.0083477077074	gesamt 0.0078119974002	errichten 0.00780503451171	vermietung 0.00742541387036
topic91	produkt 0.418003976804	hersteller 0.142057795176	messe 0.094901474136	handel 0.0435024318265	lager 0.0325262299752	markt 0.0220730131369	palette 0.0214446451962	shop 0.0189341363106	markenzeichen 0.0154991694973	qualität 0.0151583797105	iranisch 0.0151440431481	vertrieb 0.0129046546148	namhaft 0.0125762656412	gütesiegel 0.0104997555236	herstellung 0.00946236240398	magnesium 0.0071147185086	anbieten 0.00657933687817	vermarkten 0.00526537432452	messegelände 0.00496340522769	produzieren 0.00495248508348	gehandelt 0.00475230427856	umweltverträglichkeit 0.00461764426469	besuchen 0.00390215230676	fräser 0.00341597131973	wesenheit 0.00323731744774
topic92	auto 0.216329999624	fahren 0.212161948694	motor 0.0790590618991	wagen 0.0673313803115	golf 0.0245329879213	diesel 0.0147554816181	felge 0.0116230883569	werkstatt 0.0108444206995	zylinder 0.00908866735218	bremse 0.00851539791116	neu 0.00827572077303	autobahn 0.00769913912637	turbo 0.00755637433334	lassen 0.0073953332014	defekt 0.0071007766057	inspektion 0.00674058918212	stehen 0.00619292586359	scheibe 0.00603899116787	getriebe 0.00595594282364	kosten 0.0050802546632	tank 0.00501643525106	benzin 0.00498225568756	heck 0.00465449702095	alt 0.00462605482259	drehmoment 0.00445329692792
topic93	riss 0.0692727571303	verdächtig 0.0568622842104	geraum 0.0490622091285	flotte 0.0439806869831	benutzt 0.0393100863688	zurückliegend 0.0330367952331	vorsorglich 0.0326789719364	nieder 0.0298409363397	eröffnet 0.0268571076235	bestandsaufnahme 0.0262628829924	irritation 0.0252708961724	handschriftlich 0.0218380048291	utopia 0.0209498921184	zusammenführung 0.0199302354488	zwang 0.0190460280459	explodieren 0.0190327939117	überfällig 0.0157079167568	vernachlässigung 0.0155362331097	paderborner 0.0149945574562	volltreffer 0.0148741961002	siebenjährig 0.01350379907	imitieren 0.0132474230025	sportfest 0.0122555488652	verirren 0.0119456511285	leerstand 0.0113614423506
topic94	aufnahme 0.215455693074	ebene 0.0696522940757	aufnehmen 0.0461202513053	objektiv 0.0391533147284	schleife 0.0272100768722	aufgenommen 0.0195383795284	gletscher 0.0189698544669	kontrast 0.017734382042	panorama 0.0131412880735	prise 0.0126039568085	südosten 0.0123781621339	megapixel 0.0119544294562	schärfe 0.0115074109685	scharf 0.0112464007029	fluggast 0.0111627862724	empfindlichkeit 0.0106796274432	amateur 0.0101385255818	eben 0.00958015362589	dia 0.00941153199075	brennweite 0.00914629980692	bildqualität 0.00860359405729	resümee 0.00772462037566	rauschen 0.00738892195922	wohneinheit 0.00736360287744	belichtungszeit 0.00685405033372
topic95	kiste 0.0610869769158	motorrad 0.0572507688943	helm 0.0537088074419	seitlich 0.0311840040731	bike 0.0301947953424	haken 0.0283496611746	rutschen 0.0264622624964	hebel 0.0256400286971	anbringen 0.0255471380104	draht 0.0225018982894	reparieren 0.0201196909005	moped 0.0163513515302	mensa 0.0160191553239	verkleidung 0.0160179584376	schaft 0.0127201363259	sohle 0.0122854004227	kippen 0.0114180184444	klemmen 0.0107579851614	klemme 0.0106690942752	huf 0.0106225036372	fixieren 0.0105263137483	knacken 0.0103529270183	checken 0.0102934110298	wecker 0.00982377665044	bügel 0.00896731958707
topic96	ausbildung 0.213821254774	beruf 0.138741669761	beruflich 0.093372463493	abschluss 0.0394223240895	abgeschlossen 0.0260197371327	tätigkeit 0.0230693418341	auszubildende 0.0226832695243	berufsausbildung 0.0176376965256	dual 0.0172082642258	absolvieren 0.016845154852	praktisch 0.0162637076237	ausbilden 0.0154998095485	kaufmännisch 0.0147822094082	erfolgreich 0.0123556063099	abitur 0.0123507854484	dreijährig 0.0106681409404	voraussetzung 0.0105264392007	berufsschule 0.0102841031159	kenntnis 0.00926700575873	praxis 0.00901512775457	arbeiten 0.0086484875966	theoretisch 0.00759612505339	qualifiziert 0.00751172740434	azubi 0.00722205617767	arbeitswelt 0.0070262596861
topic97	jahr 0.495512941719	letzt 0.0527669838794	zeit 0.0214486658853	lang 0.0201066598356	monat 0.0184684734746	groß 0.0161446322591	vergangen 0.0160581071877	alt 0.0160090425342	ende 0.0153558133598	erst 0.0142517840011	anfang 0.0139901292823	geben 0.0128105944195	neu 0.0111746586459	alter 0.00906301054229	kommen 0.00834143092787	nah 0.0081875990834	beginnen 0.00809478608472	finden 0.00729927654843	tag 0.00615818328603	sommer 0.00567052777247	gut 0.00533712538799	mitte 0.00512268333452	stehen 0.00466669274952	fest 0.00465585326523	herbst 0.00459544387643
topic98	fenster 0.272579817366	öffnen 0.259221727404	ring 0.162537165117	schließen 0.0888132261007	tank 0.027739981538	renovierung 0.0227758606532	wintergarten 0.0214694839517	projektmanagement 0.0175446392528	einkaufsmöglichkeit 0.0137203483018	geöffnet 0.013230513615	domäne 0.0104091609712	gestaltungsmöglichkeit 0.00926882669154	dekorativ 0.00762483464182	verkehrsanbindung 0.00584871055617	seitenstraße 0.00497305685271	verglasung 0.00492692778455	webbasiert 0.00478214660829	keramisch 0.00475245281361	beanspruchung 0.00468903512954	funktionsbereich 0.00371293917822	ölheizung 0.0029550613585	dreiköpfig 0.00293960098666	prozessorientiert 0.00292233764788	papierlos 0.00253129051058	abrieb 0.00248505308665
topic99	maschine 0.310179094774	flügel 0.0858032442539	broschüre 0.0850948483662	schwerpunkt 0.0605574086855	rumpf 0.05564164279	bausatz 0.0322979523223	chancengleichheit 0.0260191690402	handelskammer 0.0226345711605	cockpit 0.0217573717956	hauptthema 0.0161248203317	seitig 0.0159697304959	abonnement 0.0143906725707	einzelteil 0.0139421434705	kanzel 0.0133493079238	triebwerk 0.0119032092636	bündig 0.0117947246315	modellbau 0.0113073134433	verschmelzen 0.0111583039536	bauanleitung 0.0110223662585	inneneinrichtung 0.0107904866492	tragfläche 0.0099582854717	musikgruppe 0.00947681232719	schrein 0.00890985874715	erstflug 0.00757868139134	umwelttechnik 0.00716660087438
topic100	tod 0.300211157283	sterben 0.242109704518	begleitung 0.0619190989839	schnee 0.0481074257272	plastisch 0.0244937466972	zuwendung 0.0231925081996	trauer 0.02296783437	zusage 0.019986563702	kessel 0.0174858519948	temporär 0.0161529716286	agenda 0.0160591724238	träger 0.0143441337816	schneien 0.0135378649932	pflegerisch 0.0108140164497	sterbend 0.0108055922673	log 0.00969424588307	gehölz 0.00921168779306	klamm 0.00881381905044	sterbende 0.00722586565448	hospiz 0.00703060012179	nachbildung 0.00666724637384	stube 0.00651403685126	checkpoint 0.00601350166374	schweigepflicht 0.00561365567684	neuland 0.0051400898912
topic101	wurf 0.0554643681759	kabine 0.0540905497892	einloggen 0.0484129339283	gelernt 0.0461346052072	botanisch 0.035037320736	riff 0.0348665857468	brocken 0.0322437732805	parkett 0.0282301455502	remake 0.0282021199735	rangieren 0.0262725469257	morgig 0.0260753184532	unentschieden 0.0231787301981	ergattern 0.0231781549246	boom 0.0212267530032	rückspiel 0.0202342866453	magdeburger 0.0196514817605	fotogalerie 0.0186588026338	däne 0.0171775045371	timing 0.0170022838678	ebenbürtig 0.016732536796	szenisch 0.0155411165152	schützling 0.015395598725	anzeiger 0.0153506661198	angetrieben 0.0149589810172	schüchtern 0.0138608389813
topic102	offen 0.191794189507	wand 0.138571459366	türe 0.109607374615	büro 0.0836731241238	tür 0.0612933747426	möbel 0.0595320714842	treppe 0.0283099112685	fassade 0.0274167761077	mikrowelle 0.0165721853953	flur 0.0115138795932	außenbereich 0.0115034240756	kinderwagen 0.0110836895015	kinderspiel 0.0104282841164	klebstoff 0.0098317651069	bezirksamt 0.00824510411292	bemalen 0.00792772209845	behindertengerecht 0.00784642664261	schwamm 0.00773558843378	tageszeit 0.00759111310575	verpackt 0.00745812909199	sessel 0.00743043423067	fahrstuhl 0.00735664407261	eigenleistung 0.00713738850903	neugierde 0.00685603251159	ventilator 0.00668352775477
topic103	temperatur 0.071072492377	grad 0.0617475657731	warm 0.0591804182437	kalt 0.0555460275523	luft 0.0546132358934	heiß 0.0336710467498	wärme 0.0275184931599	winter 0.0230381034304	hoch 0.0214501371021	kälte 0.0183869302412	kühl 0.0183786986503	heizung 0.0141222293849	feuchtigkeit 0.01250405931	feucht 0.012353553956	jahreszeit 0.0121160230002	sommer 0.0102507856889	trocken 0.00886044383939	heizen 0.00819534643233	lebensdauer 0.00803379653596	sorgen 0.00790444155535	kühlen 0.00707921961769	kühlung 0.00676134325625	niedrig 0.00656124110826	extrem 0.00651270112865	hochhaus 0.00627343672448
topic104	haar 0.249000651085	polnisch 0.098739791019	friedhof 0.0739111252508	braun 0.0523891925925	flamme 0.0372276917744	blond 0.0352933159636	asche 0.03322679633	bart 0.0299169549359	frisur 0.0264513729921	färben 0.0210924700998	räuber 0.0146766692743	standhalten 0.0131324757877	nötigen 0.0126931435274	tönen 0.0125053567258	grabstein 0.012324121557	andenken 0.0122083157997	sicherheitsdienst 0.0116218440468	kopfhaut 0.0114585308804	mühselig 0.0105736910739	teuflisch 0.0103651899672	gehend 0.00996547859578	herrenhaus 0.00937601361233	locke 0.00907039495653	lang 0.00877224432901	haarfarbe 0.00869590570659
topic105	bild 0.396115915135	foto 0.147735710849	kamera 0.0485929595838	sehen 0.0384127799441	zeigen 0.0212965644137	fotografieren 0.0164215215636	fotograf 0.0163694760488	fotografie 0.0121797106508	machen 0.0115673320631	hintergrund 0.00976698472489	klein 0.00840811682894	erkennen 0.00742381747052	motiv 0.00732623247529	groß 0.00726329038601	stellen 0.00706720069707	blitz 0.00665791666596	objektiv 0.00614360805191	schön 0.00486217893711	sucher 0.00473181948931	blende 0.0046424130262	ansicht 0.00374420811214	lassen 0.00369879755742	hochladen 0.00362121910059	zoom 0.00359067893109	bildbearbeitung 0.00338484642234
topic106	stellung 0.168263609982	republik 0.0861079739066	remis 0.059848775159	opus 0.0531266113543	dominant 0.0530640662236	schach 0.0461380039172	weimarer 0.0419351807702	auflistung 0.0263533853879	aufspüren 0.0242242560258	blickfeld 0.0203339439762	beherzt 0.0181287063114	einfinden 0.0179269127528	springer 0.0160560277406	entstammen 0.015642751975	naturgemäß 0.0152474017913	außenßen 0.0151599165075	verbindend 0.0140886547873	sichten 0.0139480039505	auffahren 0.0120947784601	favorisieren 0.0119276195538	kniff 0.011752118193	ansammeln 0.0116799174304	unbeeindruckt 0.0114286322663	aufholjagd 0.0108579065204	tabellenführung 0.0106484900469
topic107	beschäftigte 0.167455703658	betriebsrat 0.0850239232503	kürzung 0.043593231506	barrierefrei 0.0406475478052	antragstellerin 0.0369090247718	freiraum 0.0334835913923	belegschaft 0.0309705779712	aufbewahren 0.0301820849327	halbieren 0.0224390786957	befristet 0.0222283427834	herzstück 0.0187964914865	abfindung 0.0183820209174	eingeführt 0.0169472126574	umverteilung 0.0156877051425	zeitgemäß 0.0152728415424	beachtung 0.0150560749716	verjährung 0.0137898227161	streichung 0.0137239795083	kurzfassung 0.0135584497422	schwerbehindert 0.0131951577704	salzen 0.0127665020564	stadtverordnete 0.0120057484745	gedenkstein 0.0118601565076	finanzmittel 0.011629085313	sozialleistung 0.0110611737546
topic108	einheit 0.197362779776	kindergarten 0.176946626179	behinderung 0.108731213233	regulär 0.0761333077541	behindert 0.0684060517526	geistig 0.0520385996496	kita 0.0512560933385	standard 0.0497911690121	kindertagesstätte 0.043208207034	rehabilitation 0.0263927547834	integrativ 0.0256015315321	rechtsanspruch 0.00996754870186	genauere 0.00843823789409	kreisbeigeordnete 0.00839911536647	gestrichen 0.00836337447331	betreuungsangebot 0.00777784315748	einschränkung 0.0066527827471	grundierung 0.00570851779817	betreuungsplatz 0.00560551724126	kreisjugendamt 0.00476084948477	wüten 0.00447924517289	logopädie 0.00391576728019	träger 0.00379495894535	videorecorder 0.0036738708388	überalterung 0.00345126399706
topic109	schild 0.0699660244397	zoo 0.0659844052852	merkmal 0.0463921102456	tiger 0.0453841205793	wolf 0.0445899514573	wal 0.0417900089968	verwandt 0.0347915819558	evolution 0.0313202876996	dschungel 0.0299185108085	panda 0.0288877789362	gattung 0.0268190056193	gemein 0.0243929137189	achtziger 0.0239798470056	troll 0.0239684668461	hai 0.022620192616	fußnote 0.017662022612	spezies 0.0167224877234	ahne 0.0158339396682	biologe 0.0151978464267	skelett 0.0144823815037	selektion 0.0139605083154	siebziger 0.0126144287209	antreffen 0.012386320301	verwandtschaft 0.012329749155	kreuzen 0.0117395949375
topic110	alt 0.231340210927	jahr 0.0452918143245	zeit 0.0343481850992	ort 0.0337788994535	heutig 0.0253230017504	groß 0.0188842089348	gehören 0.0186673050711	stammen 0.0174314089511	stehen 0.0164014175104	klein 0.0156423699549	ursprünglich 0.0146805229852	finden 0.0140295156979	jahrhundert 0.013770245507	liegen 0.0116059756371	erhalten 0.0114518514538	früh 0.0113977511238	befinden 0.00972749225311	spät 0.00853025910546	entstehen 0.00803120940613	neu 0.00777920032662	mitte 0.0077689622573	bestehen 0.0077106128262	weit 0.00745711063828	mühle 0.00742752386408	erst 0.00737379788377
topic111	insel 0.298440596325	meer 0.237552303901	strand 0.0798980893322	küste 0.0798236912616	höhle 0.0404334397518	besichtigung 0.0344122780001	flut 0.0274377316099	festland 0.0160467640448	welle 0.0110226863027	universitätsbibliothek 0.0102838620726	holzhaus 0.0102701323249	lagerfeuer 0.00901462265854	eigenständigkeit 0.00759281593409	see 0.00698868626439	schwimmen 0.00592025274544	prall 0.00590633006198	bibliothekar 0.00573394974795	hauptsaison 0.00561849908374	erkunden 0.00558781926481	erklärend 0.00551657824912	fruchtbar 0.00501975300401	untergehen 0.00485455272192	wintersaison 0.00457767372734	liegen 0.00444062150427	regenwetter 0.00403818071149
topic112	angegeben 0.189977456126	geehrt 0.0954266182751	firmware 0.0707748333721	beschrieben 0.0392961604228	input 0.0362850306624	aufspielen 0.0307932673168	erwachsenenbildung 0.0299325640855	vorgenommen 0.0285311773339	zusenden 0.0258058017012	wochentag 0.0243591686632	rekrutieren 0.0212124584283	elster 0.0190457999557	charta 0.0167581376935	benutzername 0.0163874407776	modifiziert 0.0161155759949	fritzbox 0.0158572153519	spannweite 0.0147776600172	webverzeichnis 0.0147257447677	voraus 0.0139992282432	verscheiden 0.0138580733607	stadtkirche 0.0138395270836	beansprucht 0.0133708806401	gönner 0.0120361523026	kundschafter 0.0119817604248	adsl 0.0117551436489
topic113	erlaubnis 0.0937603742732	bundespräsident 0.0605676307985	premium 0.046496767994	pyramide 0.0455891473422	schulhof 0.0355933244886	mitschüler 0.0329279488701	torte 0.0324997048796	überblicken 0.0323562243189	vorführen 0.0315187922654	bilderbuch 0.0302507813107	manipulation 0.0299903833097	einkäufer 0.0277487428618	sicherstellung 0.0276231205427	verursacher 0.0240280413001	versetzung 0.0181174772256	wirkungslos 0.0180972801854	polen 0.0170582509091	fernsehsendung 0.0165026377573	intrige 0.0162419934357	strafen 0.015226693338	novelle 0.0142112125222	freizeitgestaltung 0.0140222321664	kontrollierbar 0.0130542727712	unrat 0.0125467272746	verifizieren 0.0110250984921
topic114	symbol 0.200476020261	märchen 0.105504330841	sage 0.0601336518459	besucherzahl 0.0278640760074	ersehnt 0.0268250535113	sagenhaft 0.026812864136	umbruch 0.0266352989194	versäumen 0.0231926634165	bescheinigen 0.0213713893526	übertreffen 0.0166936758798	wirtschaften 0.0160429408844	programmheft 0.0160161794726	schmökern 0.0154998271043	kampflos 0.0154076649216	mitteldeutsch 0.0137639482658	forsch 0.0131627255383	tiefpunkt 0.0129165469353	fabel 0.0125516950178	zusammenziehen 0.0119910154981	songtext 0.0114273308054	austeilen 0.0102903196659	hochburg 0.0100522331348	informationszentrum 0.0098381541479	götze 0.00966994695094	ausgangslage 0.00961844957059
topic115	afrikanisch 0.0923910708653	vorbildlich 0.0650281471451	bruch 0.0617748135843	export 0.0599228818452	spot 0.058440546633	import 0.0544995261669	runden 0.0519207675049	kontinent 0.0466497399541	mineral 0.0465408106639	basierend 0.0356472638525	reichhaltig 0.0284952941687	funktionsweise 0.0238653536131	unverständnis 0.0212949484281	splitter 0.0198799016536	popularität 0.0193891036948	gleichgesinnten 0.0188988897988	spalten 0.0167795110604	übertragbar 0.0159351017858	abfallen 0.0157671476774	schwefel 0.0141853357028	reproduzieren 0.0140822316751	vielfältigkeit 0.012554404493	gediegen 0.0124584893837	koordinierung 0.0121690142636	nordamerikanisch 0.0100585053118
topic116	chemie 0.149927402159	probe 0.137595891301	bindung 0.0800081976872	strahlung 0.0476423127057	biologie 0.0452777435392	getragen 0.0423453637549	eins 0.0380769170916	molekül 0.034459634655	schwede 0.0272522181057	botschafter 0.0263312454774	gespür 0.0261908512278	verboten 0.0225887817167	anwesenheit 0.01849511243	hauptaufgabe 0.0184896007206	plattenfirma 0.0182989119593	wellenlänge 0.0167679343493	hitzig 0.0147712117592	ausbleiben 0.0143605606777	kurios 0.0122659341895	furore 0.0115350143306	gigant 0.0103775783589	polymer 0.0101777669896	bürgen 0.0100869698444	schmunzelnd 0.00928895188477	ausfuhr 0.00928390064273
topic117	verlag 0.193175078851	auflage 0.149853346974	abbildung 0.147521533696	exemplar 0.0888481231026	zahlreich 0.0554914017757	herausgeber 0.0553978411003	umschlag 0.0230084835747	englische 0.022897213994	reihe 0.0172614773332	holding 0.0131581486398	verleger 0.0127069360186	taschenbuch 0.0117284303686	erweitert 0.0115858076777	gut 0.00994578523	druckerei 0.00983115839168	schenke 0.00740356654707	manuskript 0.00701230314107	term 0.00682045514043	erscheinen 0.00680156461262	enthalten 0.00643194534659	veröffentlichung 0.00557550211785	amerikanische 0.00533116406922	algebra 0.00504598824903	analysis 0.00481302066782	einführung 0.00451957019725
topic118	schule 0.17945668147	schüler 0.143472983665	klasse 0.0843596961608	lehrer 0.0586397769462	schülerin 0.0510051090634	unterricht 0.0405502115091	gymnasium 0.0247077637554	grundschule 0.0213280967681	schuljahr 0.0167587606678	lehrerin 0.0161971352968	eltern 0.0147157563353	lernen 0.0135937327138	fach 0.0107422182816	schulisch 0.0084647510221	realschule 0.00824634634503	geben 0.0076145026538	hauptschule 0.00657359386736	note 0.00537356377778	abitur 0.00528708506436	oberstufe 0.00513530270941	gesamtschule 0.00497825713463	hausaufgabe 0.0046543059503	jahrgangsstufe 0.00458827950506	finden 0.00453429492333	schulzeit 0.00429084260186
topic119	welt 0.0219986602359	mensch 0.018545453655	menschlich 0.0131814946266	natur 0.0110500085545	denken 0.0106168073974	wesen 0.010112868944	geistig 0.00842928115077	sinn 0.00783033367679	wissen 0.00778307738809	bewusstsein 0.00737423499545	art 0.00694072472406	zeit 0.00693635639391	wirklichkeit 0.00679826468335	ding 0.00666657954662	geist 0.0064414733533	form 0.00637231927659	geben 0.00625891172193	weise 0.00580899353488	inner 0.00569460613487	menschheit 0.005654606119	eigen 0.00537068972019	erkenntnis 0.00524185593389	erkennen 0.00501454940926	hoch 0.00490210351975	leben 0.00482388773797
