topic0	ausbildung 0.0400520943766	studium 0.0298334698716	student 0.0203954293028	studierende 0.0202847280336	prüfung 0.0194609748203	hochschule 0.0162746328224	beruf 0.0151476084944	kurs 0.0145592721671	beruflich 0.0123057853077	studieren 0.0117913479095	jahr 0.0111975230945	lernen 0.0110007010651	semester 0.0107967380743	uni 0.010219108155	fach 0.00979848331875	studiengang 0.00912301533962	praktikum 0.00911998100453	weiterbildung 0.00835839404145	universität 0.00758815666283	erst 0.00750953711808	vorlesung 0.00735292967785	abschluss 0.00700091816926	arbeiten 0.0063984910309	kenntnis 0.00555836805336	finden 0.00532777224038
topic44	detail 0.154783418693	abbildung 0.0625454128363	stern 0.0614856391621	zustand 0.0319764314101	gut 0.00956229151243	solar 0.00932346359708	minimal 0.00895827915724	leitfaden 0.00872353397625	poster 0.0081224066698	inventar 0.00792185224833	harz 0.00789102870264	leicht 0.00771421327159	wärmedämmung 0.00685763860454	zuzahlung 0.0063034580006	energiebedarf 0.00559853313876	einreichung 0.00557608587406	teleskop 0.00543528596601	aktionsplan 0.00530242741972	gering 0.00510965344099	koreanisch 0.00507080811091	stipendiat 0.00502003637676	einsendung 0.00481194627179	schnitt 0.00478294786064	bedrucken 0.00461977645508	heizungsanlage 0.00450556664926
topic45	geben 0.0280014951196	gut 0.0238784127429	machen 0.0140392555356	gehen 0.0112243170663	wirklich 0.011121591574	einfach 0.0104504290163	wissen 0.0102504862604	kommen 0.0097578729431	sehen 0.00941231239014	sagen 0.00875712574306	tun 0.00861741445369	meinung 0.00835465490894	lassen 0.00818178254871	zeit 0.00812574767725	frage 0.00722994850022	genau 0.00708440332185	fall 0.00696149269214	sicher 0.00687379102629	thema 0.00675524004471	groß 0.00668702998743	klar 0.00668503249926	grund 0.00656916313516	halten 0.00627919359056	richtig 0.00621801074327	denken 0.00607889682769
topic46	frage 0.287648738702	antwort 0.129375806749	telefon 0.0664987351783	beantworten 0.0417844813942	eintrag 0.0283848509714	anfrage 0.0274080391401	fax 0.0169750826874	rufen 0.0116159510478	möglich 0.00954744526241	kontaktieren 0.00904780280226	wenden 0.00870606209934	kontaktdaten 0.00815046124812	kontaktformular 0.00732794340819	telefonisch 0.00596388848624	ansprechpartner 0.00573737579692	wissen 0.00573097976224	festnetz 0.00572228893591	inserat 0.00571928214813	helfen 0.00556954836423	gestellt 0.00505763333187	einfach 0.00469974027159	benachrichtigung 0.00421685767984	moderatorin 0.00421303577566	auskunft 0.0041966166934	allergiker 0.00419479765049
topic47	preis 0.0679654851526	kunde 0.0415128923851	euro 0.0304296275414	angebot 0.0240097076491	kaufen 0.0235962871631	günstig 0.0215595677376	bestellen 0.0205388030944	ware 0.0196224258917	produkt 0.0182434541147	bestellung 0.0172827205911	versand 0.0127033546007	artikel 0.0123546038458	verkaufen 0.0119948626236	händler 0.0118749827804	gutschein 0.0114555452035	verkäufer 0.011383166023	lieferung 0.0110704164023	verkauf 0.009233034546	käufer 0.00923137033695	versandkosten 0.00896455159283	kosten 0.00860056595268	tag 0.00779877236227	rechnung 0.00779836689286	erhalten 0.00773685378975	kauf 0.00728572378956
topic48	prozent 0.0366745068285	euro 0.0290277697374	jahr 0.028667417429	million 0.0273890044195	bank 0.0152178304801	hoch 0.0122844590411	geld 0.0112422337174	groß 0.00894966604645	milliarde 0.00820133787459	liegen 0.00789054988583	zahl 0.00765205038505	gut 0.00698273798958	markt 0.0068574660069	steigen 0.00669699864973	deutsch 0.00641902351856	deutlich 0.00586572943642	neu 0.00558068482609	stark 0.00521880867134	aktuell 0.00494488043254	kredit 0.0048681234756	unternehmen 0.0048471670305	wert 0.00478281093374	aktie 0.00470821674582	geben 0.00469665793203	zins 0.00463316299275
topic49	sport 0.0273993275313	laufen 0.0250269779261	rennen 0.0244535001949	training 0.0240653075992	start 0.0153195781085	zeit 0.0148952681244	ziel 0.0139623850954	schnell 0.0133517240492	jahr 0.01329051933	minute 0.0132668194392	strecke 0.0130333335249	lauf 0.0120807719386	trainieren 0.0115817404565	gut 0.0113872391779	sportlich 0.0113503759709	meter 0.0108403595338	läufer 0.00921877357141	lang 0.00895156436197	stunde 0.00888962512505	runde 0.00872736164755	sportler 0.00817143665265	trainer 0.00787625138943	woche 0.00763744341209	sekunde 0.00743087242951	spaß 0.0074291737919
topic50	mensch 0.0147659055893	welt 0.013810480543	menschlich 0.00859433897214	natur 0.00824923739055	geist 0.00812630894981	denken 0.00676039160392	geben 0.00657395236823	wissen 0.00653411039198	sinn 0.00639057128558	wesen 0.00624510346925	zeit 0.00607043262048	geistig 0.00538433665543	religion 0.0053783159411	philosophie 0.00512945291536	körper 0.00504724764507	inner 0.00502941823	ding 0.00460698997641	form 0.00444784597944	art 0.00439702850067	bewusstsein 0.00439698237373	weise 0.00428077568691	gedanke 0.00418049048954	wahrheit 0.00407492804163	kraft 0.00403177965913	wirklichkeit 0.0039241456723
topic51	wasser 0.0577902901903	gut 0.0179505669413	fisch 0.0154349481942	warm 0.0110348835314	klein 0.00982265390379	kalt 0.00942715902973	geben 0.00887128479994	trocken 0.00740523191462	tag 0.00736486015347	becken 0.00702053945358	flasche 0.00664507163166	trinken 0.0066107671992	groß 0.00629587636804	bier 0.00596210375519	nehmen 0.00595803802431	liter 0.00567476922489	halten 0.00565373071946	lassen 0.00520286255862	heiß 0.00518178698011	waschen 0.00504878457541	schnell 0.00485423303841	temperatur 0.00480353146901	teich 0.00479269209147	sauber 0.00462074768026	grad 0.0043664224654
topic52	geschichte 0.0131735442359	figur 0.00818426961001	finden 0.00778430832842	ende 0.00729324948051	welt 0.00720427791209	erst 0.00648679543478	charakter 0.00622773942315	neu 0.0056741000015	held 0.00546407853961	teil 0.00544754406076	lassen 0.00534364311986	weit 0.00491064471949	groß 0.00471445450384	abenteuer 0.00446576420344	scheinen 0.00435046319709	böse 0.00407478144213	klein 0.0039631027444	story 0.00395986342083	letzt 0.00378815390548	geheimnis 0.00367879716374	zeit 0.00342887226722	alt 0.00334780687057	wirken 0.00330806220929	tod 0.00323613208345	dunkel 0.00320158583353
topic53	privat 0.0268182401704	jahr 0.0201923703992	gesetzlich 0.019438820871	leistung 0.0191443051078	versicherung 0.0165823147374	beitrag 0.0143753901091	einkommen 0.012978187579	rente 0.0123043709342	finanziell 0.0108753176522	hoch 0.00996636880204	krankenversicherung 0.00972020325604	geld 0.00829583177999	steuer 0.00826068555833	krankenkasse 0.00823320246995	kasse 0.00823199572851	haushalt 0.00766433760044	euro 0.00759037805826	versicherte 0.00745982499849	alt 0.00708317302583	zahlen 0.00699589403023	alter 0.0062061637704	rentenversicherung 0.00565935242348	neu 0.00541201253699	leisten 0.00490298280293	darlehen 0.00477346600683
topic54	staat 0.0239419654875	politisch 0.0227519229139	gesellschaft 0.0197419365793	sozial 0.0184988024216	politik 0.0134288337196	recht 0.0117852246325	freiheit 0.0103488378697	gesellschaftlich 0.00778780176963	demokratie 0.00741770151532	frei 0.00712486124574	macht 0.00699269217969	volk 0.00654124202587	system 0.00643518806763	staatlich 0.00611924913704	demokratisch 0.00550426778865	bürger 0.00493411365198	mensch 0.00466317541976	gesetz 0.00461609342596	krise 0.0041752813432	interesse 0.00411701239907	wirtschaft 0.00403984574802	verhältnis 0.00398967227033	wirtschaftlich 0.00398631500881	revolution 0.00380780563067	arm 0.00379807075042
topic55	gelten 0.0158989732843	recht 0.0103291941426	entsprechend 0.00985500152681	regelung 0.00891657673726	gesetz 0.00883513633055	gesetzlich 0.00802142285427	datum 0.00777690565824	fall 0.00775866282334	erfolgen 0.00736567140005	allgemein 0.00722916524362	erforderlich 0.00691624736422	bestimmung 0.00590415902447	schriftlich 0.00590187975102	änderung 0.00583407842279	absatz 0.00557526625806	person 0.0055709682602	vertrag 0.00545409569793	vorschrift 0.00530209894634	grundsätzlich 0.00521801840761	leistung 0.00509237989765	schaden 0.00506864923701	rahmen 0.00504233063243	regel 0.004852199768	bestimmt 0.00468860979163	zweck 0.00467056713448
topic56	essen 0.022225364626	wein 0.0180127389272	geben 0.0151707752178	lassen 0.014379556025	gut 0.0108607611537	fleisch 0.0103402135553	frisch 0.0103236922282	kochen 0.0102413362888	salz 0.00951010895265	rezept 0.00927394775079	schmecken 0.00923185895304	gemüse 0.00869384195776	minute 0.00802370066289	lecker 0.00787027459298	kaffee 0.00786645057165	milch 0.00745903171563	kartoffel 0.00725306263941	fein 0.00710601001425	zucker 0.007011918953	schneiden 0.00632170855608	klein 0.006259565578	geschmack 0.00620976704491	brot 0.0060720682445	tee 0.0059705800992	frucht 0.00591833053754
topic57	partei 0.0623121851043	wahl 0.041964984624	politisch 0.023669248017	linke 0.0220951697543	stimme 0.021087407349	grüne 0.0210570810102	wählen 0.0156858347926	wähler 0.01339631794	linken 0.0123054221181	politik 0.0120376564262	demokratie 0.0102084332684	links 0.00986976885613	wahlkampf 0.00939762956295	mehrheit 0.00905325622218	pirat 0.00895448496345	politiker 0.00802941812974	kandidat 0.00781882977458	grün 0.00732334498326	demokratisch 0.00721244621149	koalition 0.0067664553077	union 0.00656933535013	prozent 0.00646251990385	linkspartei 0.00645177189124	umfrage 0.0054484984588	plakat 0.00539117984117
topic58	gut 0.0279420629293	neu 0.0255618467112	gerät 0.0208801716032	modell 0.0135486175193	groß 0.0113791905382	preis 0.0100596487905	euro 0.00948623506338	hersteller 0.00936629153075	klein 0.00849152613702	geben 0.0084297050561	test 0.00833056578207	akku 0.00790249594396	bieten 0.00712670453524	schnell 0.00597578455331	hoch 0.00564419241541	display 0.00542486955872	teuer 0.00515731829651	markt 0.00506738062345	box 0.00506217530353	kaufen 0.00493260067225	aktuell 0.00491142418406	günstig 0.00490739212807	batterie 0.00476067321553	lassen 0.00470657296029	leistung 0.00426234071691
topic59	sprache 0.0581366288741	deutsch 0.0484580031704	englisch 0.0466035678248	wort 0.0402817916599	text 0.0355352535016	begriff 0.0248679412734	übersetzung 0.0159001498352	sprechen 0.0141826255027	französisch 0.0117335868402	spanisch 0.010173164259	satz 0.00973108094367	übersetzen 0.00712119292386	dokument 0.00651628461621	elektronisch 0.00643445752678	bezeichnung 0.00623037560866	bedeutung 0.00613253625629	informatik 0.00608627647737	verstehen 0.00579278156635	sprachlich 0.00567976430322	beispiel 0.00528419326034	deutsche 0.00464884141279	verschieden 0.00462487739703	information 0.00460768090482	lexikon 0.00456259294194	form 0.00454438132482
topic60	datei 0.0166274918862	neu 0.0165650184339	datum 0.0151847974736	programm 0.01514182509	version 0.0122829616024	klicken 0.0108873021424	einfach 0.0104080871458	funktion 0.00886855602587	automatisch 0.00854264484748	browser 0.00824545755052	seite 0.00808188219832	finden 0.00774273117021	aktuell 0.00686231774038	erstellen 0.00655847314195	lassen 0.00646129720322	speichern 0.00637088146642	einstellung 0.0063039122748	dokument 0.00589961321579	öffnen 0.00579751935101	geben 0.005704984507	update 0.00556620785448	möglichkeit 0.00555762335528	weit 0.00546654058795	datenbank 0.00546631881714	funktionieren 0.00520353132684
topic61	jahr 0.146753639924	neu 0.0453873137023	alt 0.0220733922799	tag 0.0169696767823	herzlich 0.0161591202761	feiern 0.0142117440854	letzt 0.013699050269	groß 0.0127321322776	herr 0.0123144431194	geburtstag 0.011829981501	fest 0.0104508059055	freuen 0.010143509958	weihnachten 0.00963105317037	vergangen 0.00802977740446	wünschen 0.00790598675912	zeit 0.00752645211263	geschenk 0.00746926749442	gast 0.0065396333159	hochzeit 0.00649567879433	feier 0.00604125566079	nah 0.00584665551393	gemeinsam 0.00569471104443	monat 0.00555503523755	geben 0.00550886354229	besonder 0.00547688728797
topic62	seite 0.0676050985465	artikel 0.0528577286481	inhalt 0.0527825082792	kommentar 0.0344402610011	link 0.0250196117896	information 0.0223818902919	blog 0.0136830657058	text 0.0132963463198	autor 0.0122163558927	datum 0.0119275110123	ausdrücklich 0.0113568755154	webseite 0.0105227855591	beitrag 0.00986641751844	website 0.00905551429814	betreiber 0.00890175522268	jeweilig 0.00857843606198	rss 0.00844711019116	möglich 0.00844664428815	übernehmen 0.00832680502759	angabe 0.00828446119584	nutzung 0.00783544488679	eintrag 0.00735088476328	urheberrecht 0.00698386051807	eigen 0.00694120672583	teil 0.00687201117361
topic63	mensch 0.0107928229947	gesund 0.0106117721817	ernährung 0.00934022821454	gesundheit 0.00900406316069	wichtig 0.00880896203306	körper 0.00810955059796	wirkung 0.00794415315336	häufig 0.00698347645337	hoch 0.00690029939113	symptom 0.00674399545913	erkrankung 0.00649993117554	vitamin 0.00604681402496	medikament 0.00597407244929	krankheit 0.00597281140571	blut 0.00566047879268	risiko 0.00529044448056	kommen 0.0051072001169	gut 0.00506016037045	allergie 0.00499430945263	wirken 0.00490817967154	jahr 0.00456370879553	diabetes 0.00444377093482	ursache 0.00431798104686	täglich 0.00412956472136	führen 0.00412059842505
topic64	note 0.0252199092352	ton 0.0238861484418	suite 0.00908512700444	fein 0.0086620358541	karneval 0.00861299995052	anagramm 0.00853534761945	dirigent 0.00763101226784	harmonisch 0.00760751834226	zitrone 0.00755537103881	stromlos 0.0075219365066	füllung 0.00645578138533	royal 0.00633963560834	puppe 0.00630845386826	unbeschwert 0.005991080465	neumarkt 0.00578592872646	adjektiv 0.00566407283939	getrocknet 0.00545036121015	narr 0.00533717189022	takt 0.00523599850199	mus 0.00517132110958	eule 0.00514387357492	zart 0.00502453577402	sanft 0.00494670463508	handelskammer 0.00480699350388	kirsche 0.00479538965954
topic65	film 0.11371162921	serie 0.0216531891593	folge 0.0215736257107	dvd 0.01813033741	kino 0.0148284870117	szene 0.013921269911	sendung 0.0119342047	fernsehen 0.0105654195908	zuschauer 0.0102618421763	rolle 0.00946631487267	schauspieler 0.00937032894634	star 0.00925831595943	erst 0.00905388171231	regisseur 0.00876121043341	gut 0.00875044992954	sehen 0.00757896411261	jahr 0.00711557891155	teil 0.00699580793604	regie 0.00640527206577	spielen 0.00639221515724	ende 0.00612118234819	neu 0.00601797874847	story 0.00572015513957	minute 0.00558364711988	verleih 0.00543637348433
topic66	stadt 0.103833804725	gemeinde 0.0395251446955	bürgermeister 0.0201086910317	landkreis 0.0196906599818	region 0.0168876412082	bürger 0.0154576820924	bayerisch 0.0140721388546	ort 0.0110419413754	rathaus 0.010718521551	kreis 0.0105645478882	einwohner 0.00842757471347	städtisch 0.00790482295487	jahr 0.00782380242931	sächsisch 0.00625888058968	kultur 0.00603670795788	stadtteil 0.00602303546036	kommunal 0.00588363838088	doktor 0.00586179157223	landrat 0.00581001843837	kommune 0.00558572062908	oberbürgermeister 0.00531201594786	stadtrat 0.00526946781633	gemeinderat 0.00515386583521	regional 0.00505100237442	öffentlich 0.00481672799281
topic67	bewertung 0.120662168669	stiftung 0.0953566143055	spende 0.0501037074303	bewerten 0.0343932992636	spenden 0.0309413063634	apotheke 0.0259046578866	heim 0.0230363889144	rüge 0.021864599895	leuchtturm 0.0126432980405	altenheim 0.011416213443	bewohnerin 0.0106636842533	apotheker 0.0102869551776	schenkung 0.00944716746542	liquid 0.00907566573801	ersparnis 0.00880216628666	uhrenarmband 0.00864320895186	anrufer 0.00834885651373	dateiname 0.00788922918103	südamerikanisch 0.00705761987683	zulage 0.00669002970356	vollversion 0.0063494446921	zweck 0.00616684989883	bewohner 0.00608796108581	bewertet 0.00587363550789	zinssenkung 0.00577668266007
topic68	deutsch 0.0670603472597	jahr 0.0592754010887	erst 0.0241412576912	neu 0.0144727295003	spät 0.0121066247766	berliner 0.00990382325336	zeit 0.00927588546698	groß 0.00926604317058	deutsche 0.00834149180881	zweit 0.00799113203876	zeitung 0.00725235385665	ende 0.00712176631873	kommen 0.00678241768652	ehemalig 0.0066854237395	geschichte 0.00626356650672	jung 0.0062108341594	französisch 0.00590429005643	anfang 0.00513127364835	früh 0.00479899662567	beginnen 0.00460398792981	international 0.00453050737636	letzt 0.00443898811308	bekannt 0.00441755525015	weltkrieg 0.00432503003465	name 0.00427049334921
topic69	arbeit 0.0630897857562	mitarbeiter 0.0400772309725	arbeitgeber 0.0394974388323	arbeitnehmer 0.0340056664903	betrieb 0.025777958712	arbeitsplatz 0.0230012682613	arbeiten 0.0225480621624	job 0.0209713527502	beschäftigte 0.0204767927183	kollege 0.0191526813177	arbeitszeit 0.0132736950115	unternehmen 0.0120830291916	lohn 0.0106790423231	kündigung 0.0105699540231	arbeitsverhältnis 0.00972714343773	gewerkschaft 0.00964843292299	stelle 0.00933283299416	chef 0.00928919113511	betrieblich 0.00923908964092	tätigkeit 0.00844459732241	dienst 0.0081542031877	beschäftigung 0.00810094403033	stunde 0.00809077195975	angestellte 0.00789261835013	arbeitsmarkt 0.00757821962043
topic70	uhr 0.197920453187	feuerwehr 0.017036730546	finden 0.0130065768612	treffen 0.0112812322982	kommen 0.0110468063047	einsatz 0.0104568602539	tag 0.0101370509185	stunde 0.00957691148788	euro 0.00945986244281	termin 0.0092517484835	abend 0.00711819564908	weit 0.00695419873013	zeit 0.00682839957217	person 0.00639837058716	helfer 0.00607990130132	wochenende 0.00604557420886	nacht 0.00603758719456	stehen 0.00563603145551	woche 0.00557696586893	bitten 0.0052924873429	freiwillig 0.00520414128281	ort 0.00512068432778	beginnen 0.00484551702814	anschließend 0.00462381178953	erst 0.0045840258012
topic71	erde 0.0131466326545	groß 0.011354241741	planet 0.00867764460895	luft 0.00836093925916	sonne 0.00800622476578	energie 0.00730026075838	temperatur 0.00717727754102	gas 0.00697070894187	hoch 0.00695212939274	jahr 0.0064711066578	liter 0.00642018975025	elektrisch 0.00624421901355	mond 0.0055455615307	geschwindigkeit 0.00546872501866	atom 0.00529518666133	entstehen 0.00498496382671	geben 0.00497465120262	stark 0.00479366091231	masse 0.00442050921216	teilchen 0.0043934353581	klein 0.00424587075991	strahlung 0.00417421174538	grad 0.00416888105269	weit 0.00415269698059	zeit 0.00405781592124
topic72	internet 0.0277432704877	kostenlos 0.019007277208	online 0.0149124125907	finden 0.0139698687107	medium 0.0138390104914	neu 0.0137939444317	information 0.0134098651023	werbung 0.012164436125	blog 0.0119357933034	website 0.0115858799133	markt 0.0108843605233	webseite 0.0105943597165	aktuell 0.0103755112025	bieten 0.00982370072113	eigen 0.00959086907229	angebot 0.00910135220526	kunde 0.00842882472572	gut 0.00802111330161	seite 0.00778307847685	web 0.00727166106328	netzwerk 0.00705291201589	anbieter 0.00684737128407	portal 0.0067867258445	unternehmen 0.00669732612516	nutzen 0.00635186123713
topic73	finden 0.0181622835645	thema 0.0172462736295	teilnehmer 0.0129397473803	information 0.0125243215242	bieten 0.0113328438632	projekt 0.0113266264257	möglichkeit 0.00987388909019	veranstaltung 0.00949070473834	stehen 0.00947019539569	weit 0.00873773021234	verschieden 0.0082794172321	geben 0.00819772490838	arbeit 0.00784390604652	gemeinsam 0.00780898398937	gruppe 0.00772523996756	seminar 0.0076931034303	angebot 0.00766030287373	wichtig 0.00719785657517	rahmen 0.0063601539905	aktuell 0.00568460830091	bereich 0.00551646770399	stellen 0.00548249321743	kontakt 0.00545245909961	persönlich 0.00537809489445	verfügung 0.00531940995922
topic74	kind 0.235179690569	eltern 0.0518356820218	familie 0.0451438807184	mutter 0.0391250865847	vater 0.0266231612531	jahr 0.0210496933728	sohn 0.0140604773649	tochter 0.0130191154866	jugendliche 0.0124827911274	erwachsene 0.0121785837349	klein 0.0100550722755	kindergarten 0.00937291610705	junge 0.00933218560098	jung 0.00902312439461	baby 0.00889755218762	alter 0.00858865693287	mädchen 0.00849138514217	geburt 0.00799625743809	haus 0.0063190517528	gemeinsam 0.00629298294533	alt 0.0060591517261	geben 0.00556053009851	schwester 0.00551378217539	erst 0.0049417159797	leben 0.00479177652882
topic75	spiel 0.110333103542	spielen 0.0411963529826	neu 0.0291198506691	spieler 0.026938856186	geben 0.0235217338415	level 0.0129464743679	game 0.0128669628406	staffel 0.0115102269597	erst 0.0106962113585	teil 0.00819680783399	version 0.0075371660634	spaß 0.00695806267262	grafik 0.00688517774459	kommen 0.00649841381069	karte 0.0063465774209	gut 0.00624651736343	online 0.0060540358709	mission 0.00561645572583	konsole 0.00542461361869	erscheinen 0.00538175667164	patch 0.00510172877873	xbox 0.00507632263348	titel 0.00491001114498	demo 0.00458195650354	finden 0.00455878048491
topic76	alkohol 0.0571546462307	droge 0.0388857215796	virus 0.0342278046636	konsum 0.0164412153966	cannabis 0.0144327416858	immunsystem 0.0143824850924	olivenöl 0.0139169358944	penis 0.0124288771817	impfstoff 0.012028803699	impfen 0.0111090817186	implantat 0.0104995353795	unbefristet 0.0102670976807	vegetarisch 0.0101144354124	checkliste 0.00985395828323	hanf 0.00977303925164	gefährlich 0.00853917540111	heilpraktiker 0.00825432687926	zahnersatz 0.00799665665788	grippe 0.00798430046035	kinderarzt 0.00786242618901	schlafstörung 0.00767899903708	tinnitus 0.00760231372704	infektion 0.00750953756114	verteilt 0.00721045702059	mineralwasser 0.00676177119542
topic77	kreuz 0.0314470267748	dom 0.0270468725673	website 0.0224453984709	alt 0.0188270075934	finden 0.0176897032483	seite 0.0167201193699	säule 0.0164467644092	weit 0.0152793480893	schweinfurt 0.0152266742004	information 0.0147026534567	wichtig 0.0129364229617	hinweis 0.0123083446187	folgend 0.0118709602859	aktuell 0.0101612065547	kathedrale 0.00978212431587	benutzen 0.00958988116623	fränkisch 0.0094616265514	anwesen 0.00945861746194	element 0.00934061568383	empfehlen 0.00925596167362	browser 0.00900274546566	statue 0.00848060276599	steinbruch 0.00816118990047	regelmässig 0.00792530907646	kubanisch 0.00788055087988
topic78	wert 0.0136529157136	beispiel 0.0129263301277	geben 0.0113010383191	objekt 0.00895996671408	punkt 0.00882144126241	einzeln 0.00862896496041	erst 0.00862830104056	zahl 0.00802359718722	tabelle 0.00752705112579	gleich 0.00680365767667	verschieden 0.00649814573521	methode 0.00642486188986	name 0.00631918773607	zeichen 0.00614706566744	funktion 0.00594819190067	aufgabe 0.00587977358408	klein 0.00580823224987	zeile 0.00571873704058	folgend 0.0057017212278	element 0.00564461931921	genau 0.00557984989333	stehen 0.00556582678115	anzahl 0.00552695644776	einfach 0.00551062188643	seite 0.00538070130731
topic79	gewalt 0.0240644469748	jüdisch 0.023500939038	opfer 0.0228068779277	jude 0.02208188186	recht 0.0136669842485	türkisch 0.01339816307	nazi 0.00967292396318	islam 0.00892355263628	verbrechen 0.0087560201639	mord 0.00705385133869	gefängnis 0.00699471037363	gruppe 0.00682067227348	islamisch 0.00675747312234	politisch 0.00590357964306	antisemitismus 0.00580158281211	rassismus 0.00576228586494	tod 0.00568817762774	polizei 0.005459893032	türke 0.00532075931717	häftling 0.00517330744665	gefangene 0.00500910560939	täter 0.00480938891888	verbot 0.00474383108209	geben 0.00446341538479	rassistisch 0.00436580570755
topic80	farbe 0.0296191036997	rot 0.026358290321	weiß 0.0250553854325	pflanze 0.0234893502703	schwarz 0.0231108764707	grün 0.0206428828182	blau 0.0187123795909	baum 0.016543772105	garten 0.0162951193918	gelb 0.0123208821892	blatt 0.0120311506656	haar 0.0118196995976	wachsen 0.00885841113901	winter 0.00866146875238	blüte 0.00835279442403	klein 0.00771685734705	dunkel 0.00764272200704	gut 0.00749345579838	art 0.00718730023656	blume 0.00711950236872	groß 0.00699508661049	hell 0.00662929971495	schön 0.00644173696142	bunt 0.00607590853477	braun 0.00603499166948
topic81	forum 0.0554992931386	beitrag 0.0382727487508	schreiben 0.0257999778277	geben 0.0222926623558	thema 0.0219154288971	finden 0.017265908581	dank 0.0148601569789	seite 0.0143046443836	neu 0.0136864779464	info 0.0135162228263	suchen 0.0134999806311	link 0.0127221754457	bitten 0.0109873456067	online 0.00970082167546	user 0.00935405227958	melden 0.00932260584897	gruß 0.00922051241072	willkommen 0.00904059377797	freuen 0.00852972985991	lesen 0.00840537820322	mail 0.0073773652027	homepage 0.00732254247976	wissen 0.00728041778664	thread 0.00709182366398	suche 0.00684422108918
topic82	kunst 0.0197959305084	ausstellung 0.0154825583686	künstler 0.0154744274716	musik 0.012514905026	werk 0.0124392355256	stück 0.0109611353173	museum 0.00957234560228	theater 0.00869754303076	jahr 0.00811401080349	groß 0.00778441947213	künstlerisch 0.00692245918112	musikalisch 0.00680947640755	arbeit 0.00564078700446	zeigen 0.00559587839279	publikum 0.00546209335433	kultur 0.00527647511047	tanz 0.00526638119677	konzert 0.00503038374429	chor 0.00493776128102	bühne 0.00489333892773	neu 0.00486837498954	jung 0.00447626464696	spielen 0.00379530795419	komponist 0.00377782747082	instrument 0.00366556697903
topic83	kirche 0.0937676923384	katholisch 0.0239858805602	evangelisch 0.0237898607255	christlich 0.0214557769504	gemeinde 0.0208468313558	religion 0.0168754424435	gottesdienst 0.0165487177351	glaube 0.0162947078124	pfarrer 0.0150992234748	christ 0.0133590463302	kirchlich 0.0128010899576	papst 0.0124300000224	stück 0.0122873988734	bischof 0.0122019823031	heilig 0.0113687746787	religiös 0.00973661161335	priester 0.0081434185365	bibel 0.00808923912943	gott 0.00796418378879	gemeinschaft 0.00747065207169	neu 0.00702275653427	geistlich 0.00618445906301	kloster 0.00582335855686	theologisch 0.00550159884344	orgel 0.00540157482934
topic84	europäisch 0.0288344470173	land 0.0228006996449	international 0.0171692205191	entwicklung 0.0134601058902	ziel 0.0109935627671	national 0.0109338714031	deutsch 0.0100239665943	gemeinsam 0.00889015743602	projekt 0.00842760417323	maßnahme 0.00787183616121	bereich 0.00786359613654	öffentlich 0.00742966291797	rahmen 0.0072349206562	förderung 0.00702962031758	wirtschaft 0.00688906329541	regional 0.00661631172348	wichtig 0.00655125517693	bildung 0.00643161989999	zusammenarbeit 0.00625053976122	wirtschaftlich 0.00564634829016	programm 0.00552875421097	jahr 0.00552083212806	mittel 0.00551386012489	kommission 0.00477910350922	region 0.0047292725447
topic85	system 0.0310705030238	server 0.0261564496006	rechner 0.0233107063543	computer 0.0209546735404	software 0.0196466780638	datum 0.0154977536079	programm 0.0126594700795	festplatte 0.0124508619136	internet 0.011833706758	laufen 0.0109669431973	treiber 0.00969393710555	installation 0.0096109597346	installieren 0.0087677218206	betriebssystem 0.00804821553453	windows 0.00802544098502	verbindung 0.00801798521406	hardware 0.00796974211765	bit 0.00775804054397	netzwerk 0.00772833787551	problem 0.00764293055296	anwendung 0.0066346737321	virtuell 0.00660910896787	support 0.00646529901853	client 0.00611010251565	zugriff 0.00605128066139
topic86	patient 0.0551764534152	arzt 0.0535295937085	behandlung 0.0334439684573	medizinisch 0.0263482905365	klinik 0.0196508326537	therapie 0.0195012849526	krankenhaus 0.0179022057673	medizin 0.014650697625	erkrankung 0.011700111362	krankheit 0.0116711721211	ärztlich 0.0113090067475	versorgung 0.0102019559555	praxis 0.00919419877956	medikament 0.00910943552581	operation 0.00901837899895	diagnose 0.00890261456591	krankenkasse 0.00831617358984	zahn 0.00804780520402	psychotherapie 0.00761927539532	psychisch 0.0074733382639	zahnarzt 0.00741492852564	ambulant 0.00731943188262	doktor 0.00720442015275	klinisch 0.00696650297353	haut 0.00597410849073
topic87	buch 0.164172581626	autor 0.0474374080097	lesen 0.0473719832537	schreiben 0.0383327947652	geschichte 0.0340818404264	leser 0.0287641928742	roman 0.0279690379983	kapitel 0.0146910293535	finden 0.0120200547413	autorin 0.0117107930965	thema 0.0106143021168	seite 0.0101306731016	lese 0.00989410158267	interessant 0.00773802994997	spannend 0.00742486761287	titel 0.00709974312693	erzählen 0.00690752021103	beschreiben 0.00575929566735	text 0.00535501619149	japanisch 0.00512255083921	rezension 0.00505611062666	erst 0.00469645187134	lesung 0.00469236904824	literatur 0.00465510868995	lektüre 0.00456931111194
