topic0	halter 0.0846611221108	orientierung 0.0805864744472	papst 0.0783766189505	ablegen 0.0473016062045	homosexuell 0.0407950926932	neigung 0.0404149567466	penis 0.0396300771204	schwule 0.0365680307079	vorhaut 0.0280008965849	vatikan 0.0278359530307	garnele 0.0277181931313	respektiv 0.027568643879	homosexualität 0.0271187635607	veranlagung 0.0264952550604	beobachter 0.0264266214554	homosexuelle 0.0225508477888	buchführung 0.0202046584464	käuflich 0.0201605500243	ablage 0.0178853405167	säkular 0.0172963242707	nachzucht 0.0167946012465	heterosexuell 0.0150490636871	kardinal 0.0141964888579	außenßen 0.0139367556024	ungereimtheit 0.0128464044902
topic102	alt 0.512096814367	jung 0.155096085874	alter 0.0805011472697	generation 0.0388798945182	senior 0.0272612315469	jahr 0.0199000653926	marathon 0.0168576231368	alte 0.0153550493461	staubsauger 0.0133335333555	homöopathie 0.0096627276912	lebenserwartung 0.00671774463584	zitronensaft 0.00526949232222	skat 0.00521338082393	schlafstörung 0.00512237155477	anlagenbau 0.00493529596795	bäckerei 0.00483732328539	pakt 0.00464559859077	behandlungsmethode 0.00462779619553	rapide 0.00434335947858	sinfonie 0.00378826915664	jugend 0.00291761625509	einsenden 0.00259601398152	jogger 0.00252699086246	schulmedizin 0.00247317881561	arztpraxis 0.00235987144518
topic103	gewinn 0.0920047957874	verlust 0.0646398488525	einnahme 0.0409440109741	beteiligung 0.0373838766022	ertrag 0.0330182511029	anwohner 0.0224875553419	kürzung 0.0216177537168	bilanz 0.0184730346977	aktionär 0.0149182745533	dividende 0.0148203450689	still 0.0130250772548	verkauf 0.0124817215167	ausgabe 0.0121401110732	flöte 0.0121005454719	hauptversammlung 0.011300192824	tochtergesellschaft 0.0111275705608	entlastung 0.0111167127745	genossenschaft 0.0108336055408	investition 0.0104838426729	erzielt 0.0104684082092	auslastung 0.0103583061462	steuer 0.0100929656383	jahresabschluss 0.0100470353692	werft 0.00905499011977	finanziell 0.00869155104979
topic104	schütze 0.0883114471189	visier 0.0540959236892	westfälisch 0.0431111691962	beförderung 0.0405558130908	proband 0.0376792302241	samstagabend 0.0356974174057	monitoring 0.0290847350436	endergebnis 0.0273309925995	festzelt 0.0259674474587	schützenverein 0.0249563892609	langstrecke 0.0234604371342	forcieren 0.0230191024021	koralle 0.0219934169828	weißrußland 0.0216151677312	spielmannszug 0.0202922796033	absterben 0.0175672724938	realitätsnah 0.0165362515166	datentyp 0.0161536245638	ersatzspieler 0.0160623563121	vereinsgeschichte 0.0152575482143	algebra 0.014464728648	verdoppeln 0.0144548759166	rennwagen 0.0141991062462	marschieren 0.0140118941922	analysis 0.0138990983733
topic105	bauherr 0.0437084551974	creme 0.0402261659464	zwiebel 0.0388253629424	teig 0.0294410758394	pfanne 0.0278815030928	servieren 0.0261391970734	sahne 0.0257956083351	gastronomie 0.0247859693474	schälen 0.0247203029268	päckchen 0.0217856837339	nudel 0.0205026980688	würzen 0.0184084516585	tomate 0.0178708460409	baustoff 0.0173000127361	segler 0.0171601415584	gewürz 0.0168658378467	außenminister 0.0164697002463	denkmalschutz 0.0163108164091	kirsche 0.0159146404114	tower 0.0152243726381	sieb 0.0138372380045	torte 0.0134613002812	petersilie 0.0130135590858	hallen 0.0117411255348	paprika 0.0115346912832
topic106	kostenlos 0.096324561069	finden 0.0831030606684	online 0.0656027298515	tip 0.0416785503246	aktuell 0.0389524745336	info 0.0379510459069	suchen 0.0292575463335	einfach 0.0249376461042	news 0.0191198898954	portal 0.0183406057965	geben 0.0165922391964	übersicht 0.0165044114707	gut 0.0154622319482	rubrik 0.0153552379418	bieten 0.0152483770502	startseite 0.0131850386067	profil 0.0115318788141	schnell 0.0105824810794	stellen 0.00999723630238	informieren 0.00908859621228	download 0.00854906766035	passend 0.00786931609711	erhalten 0.00772220839023	hilfreich 0.00742744042765	überblick 0.00738163291208
topic107	musik 0.18958641189	hören 0.0569352721869	musikalisch 0.0433011936324	musiker 0.0329015436537	instrument 0.0286712225179	konzert 0.0266032491029	klang 0.0216853138978	jazz 0.0203881763868	spielen 0.020320303734	klingen 0.0195830353404	tanz 0.0167512936296	tanzen 0.0162614331799	sound 0.0159623579683	ton 0.0151553584242	bass 0.0142351739849	gesang 0.0129241216291	orchester 0.0117013320857	punk 0.0112358498376	ohr 0.0103418245529	zuhörer 0.00983109439351	rhythmus 0.00909969218947	klassisch 0.00810873115504	repertoire 0.00688596965808	beat 0.00604638252002	pop 0.00513953162012
topic108	fahren 0.158417041557	auto 0.0914035425369	kommen 0.0240071201351	machen 0.0195064591303	gehen 0.0179290643773	lassen 0.0125064003178	stehen 0.0103985087045	motorrad 0.00950123062566	laufen 0.00900797688407	problem 0.00893521373524	schnell 0.00888189595263	kiste 0.00883143392408	neu 0.00788616574452	gleich 0.00720479979529	bike 0.00599774766337	kaputt 0.00592630241141	richtig 0.00578453594818	alt 0.00555748048541	voll 0.00550876524071	brauchen 0.00524401366071	halten 0.00496606228076	boxer 0.00487637011377	sitzen 0.00472469550468	sauber 0.00455359875101	autobahn 0.00453686132573
topic109	brief 0.285104049893	hotline 0.0220704277876	aufforderung 0.0220273976137	kurier 0.0219211893086	passion 0.0207651524478	macke 0.0193456591692	vorgesetzte 0.0189402870533	leserbrief 0.0158080686433	belehrung 0.0148919526671	prall 0.0147261255853	überspringen 0.0128497445372	mitbewohner 0.012752742943	bereitwillig 0.0124902702688	geäußert 0.0124116818198	bekunden 0.0123363191167	traben 0.0107791806642	auffordern 0.0107154500966	paranoid 0.0101566919085	direktorin 0.0100795234061	prangen 0.0100103027899	vorenthalten 0.00907494533146	gestorben 0.00897141046508	schnöde 0.00853070311451	publik 0.00849653716768	nachdrücklich 0.00844106837542
topic110	werdend 0.0989822383307	verlängern 0.0772025099798	boss 0.0495152800036	hybrid 0.039851973861	zerlegen 0.031969154843	vereinfacht 0.0314375371229	zuweisen 0.0295012391594	paragraph 0.027575825453	darstellung 0.0265074174944	header 0.0236958120534	projektion 0.0234331104684	baugenehmigung 0.0229969265107	verkürzung 0.0219478427608	webspace 0.0219276893826	patentiert 0.0213048624206	blank 0.0179386167998	unverständnis 0.0162586726476	datenaustausch 0.015733288931	zweistündig 0.0153442999493	einschließen 0.0133875565338	zyklisch 0.012557281918	rechtsverbindlich 0.0121217230268	irrtümlich 0.0116437928418	fehlanzeige 0.0114764314939	bauwesen 0.0113437673178
topic111	schule 0.159655676821	schüler 0.128243282325	lehrer 0.0538011376367	schülerin 0.0455909014655	unterricht 0.0377088082713	gymnasium 0.0221095338596	lernen 0.0198395735829	grundschule 0.0180548164577	schuljahr 0.0149798136419	lehrerin 0.0144249085263	eltern 0.0122784571616	fach 0.0117332312161	lehrkraft 0.0110013956778	realschule 0.00736835361322	schulisch 0.00725393123675	pädagogisch 0.00691612941557	unterrichten 0.00605345953854	schulleiter 0.00530634424622	jugendliche 0.00507421009576	besuchen 0.00506860697139	schulen 0.00497216212428	gut 0.00489752326593	abitur 0.00481884097051	geben 0.00478202302114	oberstufe 0.00459018936896
topic112	person 0.299425758937	einsatz 0.0882697866844	helfer 0.0180454200749	ort 0.0170032100801	kommen 0.0166601626962	weit 0.0161712461278	verkehrsunfall 0.0107289775594	verletzte 0.0106805835727	hubschrauber 0.0102497276347	rettungsdienst 0.01015581141	fränkisch 0.00848850219249	belgisch 0.00813222460708	kollegium 0.00752542028205	schwer 0.00726209487471	archäologie 0.00685729380363	kontingent 0.00637444103906	eingesetzt 0.00627923545819	geschütz 0.0061475791927	hilfe 0.00598506444548	würzburger 0.00579222512843	provisorisch 0.00551427215708	mitgliedsstaat 0.00544885414451	befinden 0.00512474090711	verletzt 0.00501515801348	handeln 0.00499985812087
topic113	kommentar 0.191110994053	blog 0.16286409762	eintrag 0.0864246182211	beitrag 0.0469353999314	schreiben 0.043169156894	rss 0.0318602701268	blogger 0.0273849717876	feed 0.0251549753273	kommentieren 0.0240540479188	leser 0.0178289652159	verfolgen 0.0171761126437	eigen 0.0171744447107	bloggen 0.016566179679	trackback 0.0160958474915	theme 0.0122954567263	hinterlassen 0.0113655676802	abonnieren 0.0104703775982	lesen 0.0102368221201	artikel 0.0102038235416	einrichten 0.00993103628833	seite 0.00838142947963	kategorie 0.00789869576754	meinung 0.00717001805387	verlinken 0.006896634002	abgelegt 0.00631945332945
topic114	bestmöglich 0.0521336996319	impuls 0.0485731182764	hauptschule 0.0476227965604	bundesverband 0.0420515432635	satellit 0.0411746027104	gesamtschule 0.0360652848145	abnahme 0.028179457881	professur 0.0280305683357	dünger 0.0258831151172	württembergisch 0.0221757153449	schulsystem 0.0212574253693	schulabschluss 0.0210086866745	gewinnung 0.0203991483896	fachverband 0.018157060477	staatsarchiv 0.0177974631555	ungenutzt 0.017395087995	pestizid 0.0163840371285	verkehrssicherheit 0.0157175453529	lernprozess 0.015637077633	umwandlung 0.015131652703	teamarbeit 0.0149795128667	berufswahl 0.0143155940534	zeitfenster 0.0142137988051	regierungsbezirk 0.014150053698	senkung 0.0138466497261
topic115	profi 0.154706242664	quote 0.130920660172	vorbildlich 0.0718928704778	amateur 0.0318015739865	verkleidung 0.0299087695765	vermessen 0.0297604998821	formen 0.0294905037035	testspiel 0.0275487497452	unsäglich 0.0228040336252	heimsieg 0.0187182361159	ansporn 0.0179708826538	umbenennen 0.0175258049236	gedankenaustausch 0.0170265141098	eingeschaltet 0.0167931100942	müller 0.0149968244796	weltklasse 0.0146550776299	deklarieren 0.0143655571151	leerlauf 0.0130605481467	vormachen 0.0124738822827	unlogisch 0.0119767977654	geburtstagsgeschenk 0.0114438841614	favorisieren 0.0114040195081	pressearbeit 0.0111584908305	maxime 0.0110006815706	kommerz 0.00973068044416
topic116	ausbildung 0.141398065303	beruf 0.0876180952061	beruflich 0.0652881187197	kenntnis 0.0177042615547	abschluss 0.016605241707	lehrgang 0.0161635564152	auszubildende 0.0150002423449	jahr 0.0139359645482	studium 0.0136559114534	bereich 0.0131325264545	erfolgreich 0.0126745314929	absolvieren 0.0123702410386	berufsausbildung 0.0109200092977	kaufmännisch 0.0107297956069	betrieb 0.0106855063239	dual 0.0102882793903	praktisch 0.00945395073185	gut 0.00919511499651	jung 0.00911935277859	absolvent 0.00886887066923	abitur 0.00851261271632	berufsleben 0.00848321649094	ausbilden 0.00830602738385	staatlich 0.00809613401648	fähigkeit 0.00785051216511
topic117	studie 0.16929327003	ergebniss 0.106363391803	umfrage 0.0773266817187	ergebnis 0.0508321889665	drittel 0.0412353118398	viertel 0.0392644925904	hälfte 0.0316106959336	deutsche 0.0254534713901	befragung 0.0241360996399	befragte 0.0232288617295	repräsentativ 0.0226579161873	zeigen 0.0219463277091	fragebogen 0.0203187971894	durchschnitt 0.0156940947204	befragt 0.0136064156769	trunk 0.0117518310672	blase 0.0102602945371	erhebung 0.00961930456552	bundesbürger 0.00887977792075	ergeben 0.00774929556087	meinung 0.00735776702893	mehrheit 0.00637788261738	heimatort 0.00629706609682	durchgeführt 0.00623001892576	nationalität 0.00619630037226
topic118	mensch 0.128794974586	leben 0.0968917569173	welt 0.0409723687739	geben 0.0136061971653	wissen 0.0134135075173	eigen 0.0124234600218	zeit 0.0111467251947	denken 0.0110333417962	menschlich 0.0102643042346	machen 0.00964963694516	tun 0.00926613254881	weg 0.00863994975478	ding 0.00796433607171	gehen 0.00744547974597	groß 0.006829742146	sagen 0.00650480361098	gedanke 0.0064607282098	liebe 0.00645492115745	frei 0.00621143091011	wahr 0.0055178324724	verstehen 0.00512920091368	wirklich 0.00510950577491	kennen 0.00500142906993	brauchen 0.00495031451127	freiheit 0.00493826053718
topic119	sichtbar 0.170007117998	real 0.127965712188	männlich 0.126721445445	weiblich 0.100132193003	registriert 0.0831152641223	benutzer 0.0640776548361	container 0.0465930025222	spielerin 0.0340455429938	überschaubar 0.0319083645423	daten 0.0187026082666	briefmarke 0.0157096857697	lotus 0.0149267578779	gnom 0.0144363960941	pfennig 0.0130380498524	äquivalent 0.0118866173193	weiblichkeit 0.0111969508971	geschlecht 0.00955235305771	untote 0.00807782792286	registrierter 0.00784342672759	unüblich 0.00700111144238	blumig 0.00667726846657	überzeugungsarbeit 0.00617020679665	aufhorchen 0.00582285582513	arbeitslosenzahl 0.00533082769381	umrechnen 0.00451826465904
topic120	gehirn 0.106889198268	königin 0.0388294358162	vorname 0.0367337614767	wal 0.0363425247743	fremd 0.0313728675726	sperrung 0.0297906237968	fluch 0.02870306326	bereitgestellt 0.0223270646397	haftungsausschluss 0.0217780341153	tragend 0.0195885553726	kindertageseinrichtung 0.0183677607533	motorisch 0.0180369872563	segen 0.0179263145996	fußnote 0.0177527551471	hirn 0.0161180947897	schall 0.0152929694265	bündel 0.0142762115056	widerstehen 0.0139013030614	versuchung 0.0130585969504	bewegungsfreiheit 0.0116236924624	ahne 0.0111385210329	familienname 0.0107850625333	dargeboten 0.0105217709682	neuronal 0.0103416223456	neuron 0.0101464679096
topic121	perfekt 0.027217017346	design 0.0235863712305	elegant 0.0212711425336	edel 0.0166778448059	farbe 0.0153178713259	hoch 0.0147671202566	klassisch 0.0145880790616	fein 0.0128112839389	hochwertig 0.0124592541095	angenehm 0.0110296631547	schön 0.0104726673385	wunderbar 0.0103608621783	qualität 0.0101882377627	schmuck 0.00996567023129	verleihen 0.00983717327877	material 0.00961084168629	sorgen 0.00959671713322	harmonisch 0.00955876369851	besonder 0.00870561170131	lassen 0.00869611762979	wirken 0.00846036570698	schlicht 0.00814591725535	exklusiv 0.00784296534732	geschmack 0.00763969905242	machen 0.0073935526249
topic122	böse 0.0617107447805	held 0.0334315668942	elite 0.0201868141552	moralisch 0.016413080744	moral 0.0151636160999	gewissen 0.0123237116695	intelligenz 0.0120365665595	dumm 0.0106345996657	schwarze 0.010102146804	gemein 0.010030134747	intelligent 0.00886833552348	übel 0.00835457140013	dummheit 0.00772421773452	bemerkung 0.00722965988615	gute 0.0065509127097	macht 0.00641323439589	treiben 0.00632916954918	vernunft 0.0063149907483	hass 0.00600585469857	benehmen 0.00585039372212	abneigung 0.00583883075549	millionär 0.00564141555647	verboten 0.00561982714889	sympathie 0.00561895684202	verschwörung 0.00544389375485
topic123	auge 0.343708517161	brille 0.0660134539157	pistole 0.0280924028235	großvater 0.0271468917983	ultimativ 0.0245352271095	indikation 0.0240293536248	schnur 0.0229863232457	kontaktlinse 0.0179384443744	double 0.0170465922495	clown 0.0158379107256	koalitionsvertrag 0.0153560677309	linse 0.0124584905579	anraten 0.0119585268687	anlaufen 0.0111980436492	lustlos 0.011055603216	wartend 0.0110152308022	placebo 0.0102501202285	abwechselnd 0.00984008561236	zopf 0.00867437664219	rep 0.00837962999658	netzhaut 0.00824152278773	optiker 0.00803060342196	schlaufe 0.0079092318206	mülleimer 0.00784522591601	kelte 0.00763244350298
topic124	lassen 0.0315864107642	rezept 0.0308731141563	kochen 0.0266376744572	salz 0.0249022679775	geben 0.023789114836	minute 0.0200435108882	schneiden 0.0190431115133	butter 0.016130684241	kartoffel 0.0158916314081	zutaten 0.0153995636787	zucker 0.0153126316694	pfeffer 0.0133768938998	topf 0.0115596574915	klein 0.011547465897	backen 0.011475340186	fein 0.0109681725304	mehl 0.0098538581207	brot 0.00974114946092	wasser 0.00949109486941	gut 0.00945475112401	würfel 0.00893914869206	zubereitung 0.0089286005886	heiß 0.00887994623792	ofen 0.00880759881552	waschen 0.00858242172199
topic125	band 0.0813929291886	album 0.0607351449054	song 0.0562226259673	rock 0.0199507995084	konzert 0.0196735992391	live 0.0189048926356	jahr 0.0171584213853	fan 0.0160921381207	spielen 0.0139557431108	erst 0.013881145465	gitarre 0.0126490594098	geben 0.0124063025927	gut 0.0119200974024	kommen 0.0105061650204	platte 0.00920622183603	tour 0.00811969942771	sänger 0.00783475123878	neu 0.00783346845289	hit 0.00777926642802	single 0.00731035428824	erscheinen 0.00681651494689	blues 0.00660777807131	label 0.00650533885482	sound 0.00638114072108	track 0.00632479072481
topic126	zoo 0.0765334242944	tiger 0.0525092311611	pflanzen 0.0398294442099	kathedrale 0.0359912411237	panda 0.0334230369763	fang 0.0290799794221	hai 0.0261714673759	panorama 0.0212127667437	unentbehrlich 0.020916446203	anbraten 0.0192328466718	forelle 0.0169597842486	schmackhaft 0.0167529893052	scheu 0.0163218265029	tube 0.0162556273502	backe 0.0161813593562	kartenspiel 0.0160038121322	deftig 0.0152865168153	pfiffig 0.0146970028571	auslese 0.0144995178001	maul 0.0131419572077	warteschlange 0.0118709528036	filmaufnahme 0.0118372861418	höchstpersönlich 0.0114863467039	gesellig 0.0113839777297	zünftig 0.0107725454434
topic127	internet 0.215873656463	handy 0.0705405173169	mobil 0.0704089718527	computer 0.0610930330085	surfen 0.0285259149568	sms 0.0250075320181	tarif 0.0229951763123	dsl 0.0205460948556	router 0.0169133568	netz 0.0158354013206	anbieter 0.0136950463638	nutzen 0.0131249668604	telefonieren 0.0129363833265	umts 0.012481633078	wlan 0.0110274910564	verbindung 0.010610268717	mobiltelefon 0.0105269360398	online 0.0102807737973	vertrag 0.00928942386131	scanner 0.00888081427507	nutzung 0.0088570684811	pin 0.00821219289587	laptop 0.00820386018145	endgerät 0.00781092595249	web 0.00779751236523
topic128	projekt 0.508447822837	idee 0.133918900619	vorhaben 0.0274365451745	umsetzung 0.0181123777383	umsetzen 0.0134261111925	beratungsstelle 0.0118925522156	realisieren 0.0108393432853	steinbruch 0.00928441293953	resolution 0.00886154451024	entwickeln 0.0079976317179	spende 0.00745400696582	referentin 0.00695431695865	entstehen 0.00688601083183	initiator 0.00681617619467	managen 0.00643830256559	erfolgsfaktor 0.00618294901651	entscheidungsfindung 0.00603946080366	straßenbau 0.00585310907046	konzept 0.00553405801595	beteiligt 0.00527631286334	organisieren 0.00516412311689	zusammenarbeit 0.00477883253667	marmor 0.00472461996989	budget 0.0045486054098	produktentwicklung 0.00438455656022
topic129	bier 0.209955532965	metall 0.110126044891	säule 0.0641804750562	garage 0.0418245757372	track 0.0306516723279	petition 0.0298235940014	stahl 0.0291167889295	werden 0.0287087047882	rap 0.0266542190435	plastik 0.0257736845929	beat 0.0224834645566	rapper 0.018362471226	gestell 0.0176772848756	limitiert 0.0169267561253	borke 0.0146239713171	output 0.0139054177351	autovermietung 0.0136162225305	oktoberfest 0.0125998708817	überbringen 0.01111327845	suv 0.0111065228989	ungezwungen 0.0109265994189	gediegen 0.0106669660739	mittagszeit 0.00985756833292	grundfläche 0.00973558637132	tischplatte 0.00947843530687
topic130	traum 0.152845028003	abenteuer 0.0826659212743	spur 0.0786605352174	schatz 0.0446394753832	geheimnis 0.0424914878424	träumen 0.0370429897838	alp 0.0261360213106	erotisch 0.0234594233812	stange 0.0223824779963	hörspiel 0.0220685801915	abenteuerlich 0.018545353406	weite 0.0138658846327	bekanntschaft 0.0133299904949	esel 0.0132174744333	tango 0.0131672342774	bewegt 0.0122478267337	phantasie 0.0121871618111	zacken 0.0120348086139	geheimnisvoll 0.0107408961826	saarländisch 0.0106099060624	zahllos 0.0104683932493	cowboy 0.009634130366	promi 0.00946379673563	bildband 0.0089996899993	hinterlassen 0.00860942920078
topic131	herzlich 0.110372483362	freuen 0.0830699130164	wünschen 0.0743812048866	willkommen 0.0681852074552	dank 0.0651524688377	lieb 0.0454021812893	danken 0.0301398505624	bedanken 0.0288292179132	gut 0.0287660828229	glückwunsch 0.0283933886215	gute 0.021996747706	hoffen 0.0216202828673	gruß 0.0195991774337	spaß 0.0179037414981	erfolg 0.0137602704807	gratulieren 0.0129874970867	begrüßen 0.0127007701817	wunsch 0.0113159391216	freude 0.00988356267955	dankeschön 0.00877842927542	jahr 0.00834783376498	lob 0.00826878012289	froh 0.00810086517369	besuch 0.00792111949344	freundlich 0.00733669585264
topic132	jährig 0.132811538823	beamter 0.115294280098	besitz 0.0544225713651	kapelle 0.0525493810693	wintergarten 0.0294024193017	weizen 0.0278985953928	polizeilich 0.0274355723714	anbau 0.0248270401705	sprint 0.0246894105558	knast 0.0244554986868	grundriss 0.0227113239052	treppenhaus 0.0189522879815	polizeibeamte 0.0179743903117	arbeitsstunde 0.0163633151824	jahreszahl 0.0155525746243	zwinger 0.0154221293234	gemeindeverwaltung 0.0146821473063	kost 0.0135874089513	gerichtsbarkeit 0.0127557636359	feuerwehrhaus 0.0120046704575	haftbefehl 0.0112934322576	duisburger 0.0104619007279	jüngere 0.0103927548328	bahnhofstraße 0.0101537154185	esslöffel 0.0100660293387
topic133	abkühlen 0.0263472477514	gasthof 0.0241492119434	fichte 0.0234106872141	präsidentin 0.0216858502265	gemisch 0.0203912591575	putz 0.0202708046212	haupt 0.0195721114675	speisen 0.0195276880606	kalk 0.0187463574445	gefällig 0.0185482573664	jungfrau 0.0175813852132	kenner 0.0169868943078	genannter 0.0169720686021	stellenweise 0.0168195597587	anpacken 0.0149615637483	stadtführung 0.0149059597142	basler 0.0143735167453	zierlich 0.0141801396047	skorpion 0.0139544045031	hold 0.0129226246823	dunkelbraun 0.012762862344	guss 0.0125182896069	werbekampagne 0.0115671242791	benützen 0.0110902613681	ungemütlich 0.0110816786957
topic134	hochzeit 0.111212686184	braut 0.0321247549731	korb 0.0320795474017	verstorbene 0.0253200386288	zurückblicken 0.0237822495966	brauch 0.0231221200376	stadthalle 0.0204267619588	adler 0.0201888902148	stiefel 0.0187396690689	kleinstadt 0.0180520828685	geselle 0.0176424576182	ersehnt 0.0171667548492	arrangieren 0.0169219034343	pilger 0.0157122289277	sohle 0.0156019392281	instandsetzung 0.0154488980629	ranger 0.014960432384	unbeschreiblich 0.0147985634453	selbstzeugnis 0.0141158676194	volkslied 0.0137504364716	bräutigam 0.0123421972926	neugierde 0.012309754116	leckerbissen 0.0117572354872	verfall 0.0116327331134	brautpaar 0.0112040535335
topic135	gedicht 0.174668177672	dichtung 0.085982437453	gesammelt 0.0571776084359	zeile 0.0518503183328	vers 0.0494514765871	schöne 0.0341518723554	kohlenhydrat 0.0245314283628	reim 0.0231157281817	strophe 0.0229642458482	vokabel 0.0200539376388	lyrisch 0.019238134049	essentiell 0.0183052578516	wiederfinden 0.0178467439622	geier 0.0155124422221	kaugummi 0.0140891324356	monolog 0.0125007221351	anführungszeichen 0.0121778011913	verwertbar 0.0121345142311	kleiden 0.0115774773075	solid 0.0115503192745	anziehung 0.0110948408884	reihen 0.0107942124085	minarett 0.00970033114309	ausstellungsstück 0.00937052167713	stadttor 0.00891500876317
topic136	fabrik 0.0754381138961	brasilianisch 0.0687955774954	schweinfurt 0.0633856723202	szenario 0.0617320597143	blockade 0.0433055416163	ärmel 0.0332261146543	prüfstand 0.0320229583964	kick 0.0240576987367	optimismus 0.0230708960393	stramm 0.0212854122341	zustandekommen 0.0187116351928	preisen 0.0180755390293	entwarnung 0.0180448820936	preisgestaltung 0.0167640478596	zuschreiben 0.0154524282498	kopfschütteln 0.0144033436591	leistungsklasse 0.0138371012648	kniff 0.013021420865	vorausgesetzt 0.012826659256	dampfen 0.0127249989554	höhenflug 0.0126707230162	neutralisieren 0.0123423946122	showdown 0.0118154233953	erwartungsgemäß 0.0117575632671	flink 0.0117002831981
topic137	bauen 0.221376516236	bau 0.128306954113	architekt 0.063526312885	architektur 0.0482837449692	fertig 0.0421291612542	planung 0.0364197532946	dom 0.0294075226327	baustelle 0.0256359853272	neubau 0.024085325852	planen 0.0200142268276	eisenbahn 0.0177618739488	bauwerk 0.0177400914288	fertigstellung 0.0159952528942	umbau 0.0142743957179	verlegung 0.0129535669888	konstruktion 0.0114950849335	ausführung 0.011416124453	entwurf 0.0112111042419	errichten 0.0111549547097	restaurierung 0.00990366418246	energieeffizient 0.00945693930966	errichtung 0.00811979340572	gotisch 0.00791366475696	verlegen 0.00719833770991	errichtet 0.00653388564372
topic138	review 0.0780661716966	silbern 0.0561097496288	unsichtbar 0.0559338497396	schalen 0.0509362486614	angeschlossen 0.0491250995558	legend 0.046595386207	nische 0.0461587862668	beweglich 0.0455551194684	ausblenden 0.0396124757847	freischalten 0.0284833819898	reptil 0.0266545268592	infostand 0.0265186719782	reflex 0.0252566690008	polieren 0.0206493273682	dinosaurier 0.0205186995716	salsa 0.0187744589126	hosentasche 0.0174663301551	stumm 0.0169999536774	error 0.0158323758162	zahlungssystem 0.0150161386622	zusammenführen 0.0149027206026	wartungsarbeit 0.0132030616059	anspruchslos 0.0118821199044	werbefläche 0.0116289351542	archipel 0.01093853757
topic139	euro 0.452739769427	kosten 0.112267877146	höhe 0.023969472699	zahlen 0.0183143120801	preis 0.017509570863	betragen 0.0171907953061	cent 0.0157716964863	verfasst 0.0156727841925	zusätzlich 0.0118615122748	geben 0.0111134910941	gebühr 0.0103677427957	liegen 0.0103041734891	jahr 0.0083555708675	erhalten 0.00818073562328	teuer 0.00786051942527	kosen 0.00782573428608	betrag 0.00752934605757	monatlich 0.00751476982461	maximal 0.00725595836916	monat 0.00702911183711	bekommen 0.00631955585669	kommen 0.0058405144816	fallen 0.00529490539622	rechnen 0.00509209196131	bezahlen 0.00481500069266
topic140	problem 0.0345154304893	laufen 0.0254161670006	funktionieren 0.0240095126812	neu 0.0226344606692	rechner 0.0222358997437	installieren 0.0138226078299	gehen 0.0130289044259	system 0.0128214884442	einstellung 0.012433014616	starten 0.0116328973332	installation 0.0113764622683	tool 0.0105585697456	datei 0.0102726340628	ordner 0.0102246933136	treiber 0.00949475230871	windows 0.00912130165556	geben 0.00874707783337	liegen 0.00860871621622	einfach 0.0081580877536	alt 0.00811012695349	kommen 0.00797210978443	fehler 0.00792485834339	testen 0.00748543803875	version 0.0073877093789	lassen 0.00659575004568
topic141	offen 0.168447591155	öffnen 0.166694361056	fenster 0.162983739612	türe 0.10456132044	schließen 0.0520258524884	tür 0.0488704467365	geschlossen 0.0486762911628	maus 0.0459193107446	geöffnet 0.0253713970775	schrank 0.0183732526123	verschlossen 0.0127801207307	vorhang 0.0102526228443	mülltonne 0.00642839479709	fotogalerie 0.00639225764368	betriebsteil 0.00600177598573	inaktiv 0.00586243981268	leckerli 0.00535945902202	alarmanlage 0.00511698715847	mähen 0.00448877107768	schreibtisch 0.00425761113288	fensterbank 0.00391172153021	pudel 0.00383074488374	verabredung 0.00379214251332	jalousie 0.00365281182683	variant 0.00334495515534
topic142	gut 0.0574451900488	wirklich 0.0288979968619	einfach 0.0146669014724	finden 0.0127434136692	schlecht 0.0121215548775	geben 0.0104663448403	machen 0.0102616596545	recht 0.0100384816009	lassen 0.0100245950946	scheinen 0.00847519309666	sehen 0.00842224323577	kommen 0.00819349008718	klar 0.00764498029008	richtig 0.00760543269583	bleiben 0.00757998819984	meinung 0.00715163379437	gehen 0.00689494998492	zeit 0.0067546106682	absolut 0.00651953936935	sicher 0.00649302153462	letzt 0.00619523670954	tun 0.00603233388364	sagen 0.00579604654693	genau 0.00538462468665	sache 0.00531115981527
topic143	kreis 0.40212000355	spiegel 0.142229917552	bogen 0.0636531993317	kreistag 0.0221804238043	belastbar 0.0221208623974	spannen 0.0179940982476	schneide 0.016090709559	kürbis 0.0156869373149	leistungsverhältnis 0.0154216846417	erbse 0.014734526595	ausrichtung 0.0147345135666	formatierung 0.0124627963815	schwan 0.0121093546414	besteck 0.0119889150761	erfolgversprechend 0.0105831235274	mühselig 0.0103897334591	anthroposophisch 0.0102937538413	nachahmen 0.010246055073	vergrößerung 0.00933631439564	hundertprozentig 0.00927409522359	mittelmeerraum 0.00802071995017	dienstherr 0.00765166200374	luftdicht 0.00735131429476	sackgasse 0.0071925286678	halbstündig 0.00711864717158
