topic0	harmonisch 0.212277092519	aufrufen 0.177183671856	harmonie 0.154455802109	ami 0.135376433222	bessere 0.0816828717718	gelehrte 0.0567304447073	pluspunkt 0.0544932510832	kommentarfunktion 0.0479006533596	kribbeln 0.0263820456632	rouge 0.0236724143183	lebensentwurf 0.0184095311168	zusammenspielen 0.00809003043967	vierling 0.00211433905397	herrschen 3.14432938009e-08	wenden 1.28093446192e-08	geben 1.23778219458e-08	lassen 1.23503135339e-08	zeit 1.23365754239e-08	gleich 1.23346890831e-08	bestätigen 1.23321829874e-08	spüren 1.23291214057e-08	ansehen 1.23288621914e-08	liegen 1.23243076659e-08	erklären 1.23202711349e-08	bestimmen 1.23193484841e-08
topic416	lachen 0.195457600983	mut 0.186977457492	langweilig 0.13699432413	humor 0.130927773305	mutig 0.0811204773573	knopf 0.0550654224825	erfinder 0.0481066878907	prompt 0.0464183038345	animieren 0.0277563255166	unverkennbar 0.0181303107161	pointe 0.0121600457102	putzfrau 0.00975388171914	voraus 0.00972502567111	cartoon 0.00793032312105	schutzschild 0.00635654443226	seitenhieb 0.00572293616123	rabenschwarz 0.00476753780725	sprechblase 0.00449380778318	waldlichtung 0.00426625643027	überraschend 0.00265879682638	paralleluniversum 0.00162579772747	fasslich 0.000975297205194	bereiten 0.000546480342999	gelingen 0.000501977759771	stecken 0.000423697086645
topic417	strukturell 0.165424849261	relevanz 0.151613491533	anregend 0.0939113488804	kühlung 0.0821302040824	darlegen 0.0673116314348	vergrößert 0.0507106470139	hauptgebäude 0.0504850169374	projektpartner 0.0471602032739	präsentiert 0.0383994905803	abführen 0.0379790301657	kerbe 0.0253966175167	homogenität 0.0198833416522	regelbar 0.0188003375392	eindämmung 0.0166807420283	wettrennen 0.0145050366929	erwärmt 0.0144357380141	fundierung 0.0116693230698	ethnographisch 0.0115460055917	geräuschpegel 0.010875284642	wärmeleitfähigkeit 0.0102184114685	gegenliebe 0.00996001236211	normalbetrieb 0.00964805357058	geräuscharm 0.00693309283123	akademikerin 0.00680734517369	erhitzung 0.0058943244549
topic418	aufenthalt 0.38969002558	betreuer 0.15245834217	drama 0.142442609584	gastfamilie 0.0686666101031	einverständnis 0.0616808567637	familienleben 0.0332951091097	formalität 0.0313180347103	adhs 0.0222363761499	klassenarbeit 0.0183113077825	vorschulkind 0.0169526683391	stuhlgang 0.0160422267707	austauschschüler 0.0112649513498	gasteltern 0.00752803015667	milchzahn 0.00638489252035	nervenarzt 0.00634883981004	schneckentempi 0.00466458963516	versagensangst 0.00373598234581	aufmerksamkeitsdefizit 0.00195839186939	austauschorganisation 0.00153029558238	studienkreis 0.00146054818667	persönlich 0.000654237457059	verlassen 0.000265288852839	kurz 1.69862428682e-05	bereit 1.42267714226e-05	begrenzt 7.28030920551e-08
topic419	baum 0.7663278759	genie 0.0549406295168	unsterblich 0.0360744558293	friede 0.0214629650198	trottel 0.0177214480715	pampa 0.0139376121041	beschützer 0.0122648245054	getier 0.0108881789836	hängen 0.00916922359365	gütig 0.00914165149613	fallen 0.00579839633879	naturhaushalt 0.00495492149041	wegtragen 0.00409202813165	konzipierung 0.00373818309786	stehen 0.00341940202492	menschenherz 0.00332373871051	lichtvoll 0.00314157930566	abrufbereit 0.00235209372465	beziehungskiste 0.00173824087553	begegnen 0.00171019294971	nahrungsmangel 0.00163700715972	stammen 0.00144535993011	tief 0.00127835994218	schlagen 0.00118745066412	schöpfend 0.000870815256071
topic420	verstärken 0.269356050069	mobiltelefon 0.115182100454	netzbetreiber 0.105674788926	syndrom 0.0773267215189	riskant 0.0766491634929	wettbewerber 0.0649003488073	elektromagnetisch 0.0584627014992	mobilfunk 0.0378405270498	essstörung 0.0331523657776	beteuern 0.0252645982871	mobilfunkanbieter 0.0229448421706	hochfrequent 0.0194420597891	zensieren 0.018267925637	generaldirektion 0.0172888217277	sabotieren 0.0104853723781	sekundentakt 0.00969553816845	sonderrufnummer 0.00908839255601	kabelnetzbetreiber 0.00896783654226	deutlich 0.00591461984442	mobilfunknetz 0.00388511305621	konsummuster 0.00315216395204	handymodell 0.00296865885485	handynutzer 0.00253423570185	entsprechend 0.000166257327726	entscheiden 3.08971801024e-05
topic421	konsequent 0.382390384771	segen 0.112855523592	güte 0.079600928789	ausstrahlen 0.0464192687521	zivilgesellschaft 0.0425704960463	hautfarbe 0.031143397386	eindämmen 0.0292749141977	aufgeklärt 0.028660118348	bildungsarbeit 0.0281818742943	wirtschaftsministerium 0.0272724851581	unvereinbar 0.0221380806891	verspielen 0.0220937096031	mehrarbeit 0.0217106642913	vormachen 0.0215516141224	favorisieren 0.019761331495	anbahnen 0.0130580845653	kostensteigerung 0.0121853597226	wegschauen 0.0114575062282	wehrhaft 0.0112250702685	arbeitseinkommen 0.00956498154793	glashaus 0.00937307331282	grundelement 0.00860304500272	eiltempi 0.00424238437407	intrigieren 0.00178545473515	sozialverträglichkeit 0.000911874241515
topic422	anwesende 0.187490402498	stillstand 0.123317081131	dekade 0.0684681038318	schultag 0.0578110313299	eitel 0.0523015415288	mildern 0.0489913311749	wochenstunde 0.033872678809	unterschreiten 0.0336149088928	mitspracherecht 0.0321572583095	töricht 0.0307459140133	meilenweit 0.0307369293615	elb 0.0255635347355	zurufen 0.0231701278849	neuhof 0.0225377488348	kostenstelle 0.0222732402722	lehrermangel 0.0187196011774	wehend 0.0177218093368	unrühmlich 0.0175333706889	unabwendbar 0.0174077057067	bildungsminister 0.0148947325163	unumwunden 0.0145635236082	hannoversche 0.0123200644531	unzeitgemäß 0.0120674369736	neckarwestheim 0.0109891650452	wirtschaftsjunior 0.00865132278499
topic423	einschränkung 0.30267923836	gesundheitlich 0.284378302836	mediziner 0.0679085113832	kost 0.0646634707886	verdauung 0.0430511163821	shooting 0.041276710005	speiseplan 0.0299977286498	blähung 0.0243821127222	müsli 0.0239644961254	unspezifisch 0.0218975747014	sonderkondition 0.0188593830868	beschwerdebild 0.0138309096968	darmerkrankung 0.0104094751056	glutenfrei 0.00999548053815	dinkel 0.00967628046085	getreideart 0.00467931379184	feingeweblich 0.00413035965337	verdauungsbeschwerde 0.00409505142169	darmschleimhaut 0.00400820230191	nahrungsmittelallergie 0.00384454336029	rechtsbereich 0.00356983182806	grünkern 0.00291478910913	krebsentstehung 0.00260142065625	grund 0.00165054229462	kombination 0.00025456975236
topic424	bayerisch 0.587928309635	freistaat 0.118267518675	staatsregierung 0.0477271799123	nachkriegszeit 0.0379997383686	justizminister 0.0271377378399	staatsministerium 0.0266512771267	staatsminister 0.0201972375682	gesamtbetrag 0.0170218653317	wanderausstellung 0.0155929375883	vorgesetzt 0.0122265291392	landtag 0.0089096721369	verfassungswidrigkeit 0.00890496189202	jahr 0.00605306789557	ministerialrat 0.00578533184583	mühlenstraße 0.0046824224501	voreingenommenheit 0.00458292564119	regierungsfraktion 0.00448139072654	ministerialdirektor 0.00443183380895	dienstgebäude 0.00420513891149	ludwigstraße 0.00400155592129	zentral 0.00329188651298	gauleiter 0.00328198414701	weitgehend 0.003241580365	hoheitszeichen 0.0023662960689	unmittelbar 0.00210215273415
topic425	gegenwart 0.260485208138	kommunizieren 0.155301095138	entfalten 0.152743609476	verschenken 0.125107357112	nächste 0.0624681094134	aufkochen 0.0395325587743	dozentin 0.03500771252	kommilitone 0.0252323953608	internetanschluss 0.0248684904268	durchschnittsalter 0.0212511192615	ausnahmezustand 0.0165582189825	radiostation 0.0141502974455	identifizierbar 0.0138342718687	überholspur 0.00889883210877	patriarchalisch 0.00877974837347	gegenbeweis 0.00849021781975	einnisten 0.00832840471855	plunder 0.00723965423156	witzeln 0.00547085795258	verstellt 0.0031194861039	denkungsart 0.00193690951279	gelangen 0.000213322963165	philologie 1.05149749902e-08	neu 9.86116109655e-09	anbieten 9.86071257009e-09
topic426	jung 0.526115908656	jugendliche 0.233945268259	jahr 0.0548811597582	jugendarbeit 0.0251610610456	jugendlich 0.0180487122246	zeigen 0.0102387101213	eigen 0.00873019948524	stellen 0.00705387902285	bieten 0.00630850466085	stark 0.00489265029147	setzen 0.00477393953716	geben 0.00421460955307	begleiten 0.00392791130225	stehen 0.00348957591345	finden 0.00337198347665	intensiv 0.00295285758963	gestalten 0.0026713449749	verschieden 0.00257233344288	möglichkeit 0.00234787675897	wichtig 0.00228501527961	deutlich 0.0022355323032	gehören 0.0022106698735	nehmen 0.00213268231443	weit 0.00200124269602	gewinnen 0.00198184981789
topic427	regelmäßig 0.68172637017	wöchentlich 0.125321864746	koordination 0.0471786246702	aufgabenbereich 0.0214499720295	dokumentiert 0.0150465451482	gegenmaßnahme 0.0122573321664	hörgerät 0.0119004400134	vormerken 0.0098934455996	stammbaum 0.00971589081498	wartungsarbeit 0.00954741565769	ungewöhnliche 0.00758216948177	nahend 0.00714073800555	sporthochschule 0.00690926073789	reorganisation 0.0062470466511	staubsaugen 0.00527073960917	soester 0.00465674361297	trainerausbildung 0.00271447769478	überlasten 0.00244863381611	personalwirtschaftlich 0.00184669525893	netzwerktreffen 0.00183541873217	personalstruktur 0.00104566921123	gasmarkt 0.000870095037298	systemupdate 0.000820667432335	veränderungsbereitschaft 0.000813865978801	kanoniker 0.000757936268348
topic428	fürchten 0.218652015085	hochöchst 0.181703640277	abwesenheit 0.0768188293713	selbsternannt 0.0365836629083	versprechen 0.0356954223337	wendepunkt 0.0328754198651	entsetzlich 0.0324920644674	diva 0.0292494409175	ehrfurcht 0.0286237956864	erschöpfen 0.0247878784216	missfallen 0.0230382940408	durchschneiden 0.0216777370037	spotten 0.0175482307627	zehren 0.016509038192	priesterlich 0.0158145723553	emotionslos 0.01144333075	widern 0.011413752192	versiegen 0.0106150865923	schwur 0.00905615560911	gebieter 0.00870835313395	priesterin 0.00819504781056	streiter 0.00801842057516	lump 0.00778088652672	gebetsmühlenartig 0.00727193402847	heilkunst 0.00714436970467
topic429	sprachlich 0.236951700631	migrationshintergrund 0.0951323085473	kinderbetreuung 0.0782979774216	podium 0.0630100946599	benachteiligt 0.0618222736342	kultusministerium 0.0580262042431	wortschatz 0.0432817120018	domizil 0.0408890417952	sprachförderung 0.0402157984071	einschulung 0.0364589172835	standbein 0.0298654710759	alleinerziehende 0.0285671160984	deutschkenntnis 0.0244167749034	slowenisch 0.0194139629642	aussiedler 0.0183482653679	nomen 0.0173858629847	hausaufgabenbetreuung 0.0136453761733	rektorin 0.0134542304519	schulpflichtig 0.0123647746377	schullaufbahn 0.00969414867123	zweitsprache 0.00808151043114	ölspur 0.00694503044021	schulanfang 0.00487370186177	hausaufgabenhilfe 0.00454460388718	stilblüte 0.00446634814045
topic430	hören 0.421637090605	musik 0.377594149052	ohr 0.0787049285534	gehören 0.015290799076	lautstärke 0.00894607308147	organist 0.00558471290338	machen 0.00473155757981	musikgeschmack 0.00349243635077	lieblingsband 0.00327596129267	gelegentlich 0.00322129091244	gehen 0.00285181109572	lichterkette 0.00268369004264	verbinden 0.00258843805969	formensprache 0.0025854769856	geben 0.00254689825413	kommen 0.00252874298363	einfach 0.00248453250571	ganz 0.00222203880977	gut 0.00202358106314	finden 0.00196922213316	unternehmerverband 0.00186537964011	nennen 0.00183344955919	sinn 0.00181780073392	hauptsächlich 0.00179983598717	lieblingsmusik 0.00170380165827
topic431	sicherheit 0.734914225115	security 0.044994394507	cloud 0.040702604804	trojaner 0.0201326899078	sorgen 0.0102101962669	steuerrechtlich 0.0100166453374	sicherheitskonzept 0.00916650188559	höchstmöglich 0.00856817155154	wirtschaftsgut 0.0078580908123	entschlüsselung 0.0075040344975	streng 0.0068597918775	betriebsstätte 0.00679826248938	unterliegend 0.00593434311779	spyware 0.00577137357569	datenspeicherung 0.00570733562901	zwiespalt 0.00553231501678	gesamtzusammenhang 0.00537956146074	messeauftritt 0.0049031964485	revisionsverfahren 0.00425485080823	absolut 0.0039280655946	betriebsprüfung 0.00349348926321	vorsorgeaufwendung 0.00329463577573	sagend 0.00302142485755	bilanziell 0.00279270767845	glasfasernetz 0.00264109374953
topic432	alter 0.786044964598	akzeptanz 0.0926361070619	attraktivität 0.0471117740788	antreiben 0.025334503166	draufstehen 0.00995468992177	unüberlegt 0.0084877661363	frischling 0.00789599531203	jahr 0.00499578074232	aufwiegen 0.00366133333166	mokieren 0.00354103294507	startbedingung 0.0030146570727	praxisprojekt 0.00249913884658	beratungsschwerpunkt 0.0019499148933	bildprogramm 0.000842616946576	genießen 0.000715199526916	trainingsschwerpunkt 0.000452263897758	angemessen 0.00018022285622	unterschiedlich 1.40380819228e-05	vorhanden 4.6142836307e-06	fühlen 3.46473039362e-06	hoch 5.19922526027e-07	hinterlassen 4.3754010338e-07	jung 6.22854999829e-08	aussehen 3.27538054524e-08	finden 1.92393832621e-08
topic433	stockwerk 0.185137620773	aufzug 0.159824709465	großflächig 0.154658089241	spital 0.143768403621	objektivität 0.081710276022	ortszeit 0.0504839447828	anfügen 0.0449359351053	replik 0.0247855658816	krankenbett 0.0236832043784	unbeobachtet 0.0217130151544	fesch 0.0197478425182	gefragter 0.0193278477458	tarot 0.0151882570786	konvex 0.0150162986589	ruhezone 0.0126793916144	antimaterie 0.0110221075864	positron 0.00551491286026	flugsicherheit 0.00510988550361	verfechten 0.00349853184759	tief 2.70362957759e-08	erwähnen 2.31416956359e-08	befinden 2.26579235903e-08	stehen 2.2454493774e-08	lang 2.198241926e-08	zeigen 2.19483286226e-08
topic434	mangel 0.409109666012	verkäufer 0.323770728496	bestellt 0.0409371336905	anstrich 0.0396398710513	kaufvertrag 0.0341187596152	abändern 0.0269460205419	demontage 0.0197769728063	übersenden 0.0153911414801	unhandlich 0.01417135294	totenkopf 0.0104809356787	hochfest 0.0100209742711	nebelscheinwerfer 0.00796725555322	kaufrecht 0.00776354657304	verlangen 0.00685111632553	pritsche 0.00644858647167	beize 0.00622681460685	sache 0.00414953138633	sandstrahl 0.00399098166643	üblich 0.00300178934652	wenden 0.00179930063248	erfüllen 0.00160293885165	fall 0.00122850630059	angemessen 0.000872095124138	stellen 0.000867749562442	restlich 0.000432618928989
topic435	tier 0.661029527366	tierschutz 0.0276882555987	halten 0.0210168082226	geben 0.0197508745232	jungtier 0.0156018509065	artgenosse 0.0125262395858	tierschützer 0.0120707205828	wohlergehen 0.0119000290251	handeln 0.0111059132208	lebewesen 0.0105977219714	autounfall 0.00922184347424	tierquälerei 0.00786357387094	groß 0.00741916375964	tierschutzverein 0.00723683940765	finden 0.00685880754537	flitzen 0.00685280076307	kommen 0.00604145707663	helfen 0.00518404053327	stellen 0.00464322681309	einzeln 0.00455222699737	möglich 0.00426273240044	tierarzt 0.00401595438974	bringen 0.00390520501915	zeigen 0.00376826039629	setzen 0.00368045656538
topic436	lösung 0.654347891715	gerade 0.118032287953	variable 0.0526797809882	berühren 0.0382999456115	klappe 0.0333745868987	spinnen 0.0193437346863	gleichsetzen 0.0169629075609	taschenrechner 0.00853746286576	irritierend 0.00843420053161	schnittpunkt 0.00610024278773	einfach 0.00558012288789	berührungspunkt 0.0045634139575	parabel 0.00380173951594	bestimmen 0.0031948720748	clash 0.0029087480611	benötigen 0.00214314951678	setzen 0.00194691705395	nullstelle 0.00183423058272	tangente 0.00117368654594	funktionieren 0.00102300050358	ergeben 0.00093957068752	ergebnis 0.000835606992139	unterscheiden 0.000814220114947	heißen 0.000776907149671	betrachten 0.00075292594813
topic437	wunderbar 0.617016924215	wundervoll 0.0855721621949	sortieren 0.0749577609627	benutzt 0.0708377275613	schlafzimmer 0.0705688519014	kinn 0.0173639275175	schmusen 0.0165270746994	bettchen 0.012485775762	arbeitsplatte 0.010405602215	verwunschen 0.00892003477043	reeperbahn 0.00743999395634	knochig 0.00371749331283	schlafzimmertür 0.00320128642341	klein 8.85855538575e-05	einfach 3.11893840606e-05	absolut 1.47921934174e-06	ganz 6.38118975554e-08	lassen 1.22277906139e-08	beobachten 9.47751763221e-09	gehen 9.11250628596e-09	stehen 9.10351024422e-09	liegen 9.08484823921e-09	schön 8.97339461939e-09	genau 8.86311729944e-09	machen 8.79972522418e-09
topic438	hose 0.477781631053	dortmunder 0.100376918091	beinen 0.0719494192831	harmonieren 0.0554146171326	dunkelblau 0.0553161051064	comment 0.0470786932209	eng 0.031152526189	heilbronner 0.0290912533484	löchern 0.0277633081477	farbwahl 0.0265215436986	zeihen 0.0202493974946	breitbandig 0.013018878704	taschenmesser 0.0123587615743	rumsitzen 0.00790303422361	pauluskirche 0.00561377825939	medienkunst 0.00539934520618	kurz 0.0047199944154	saudumm 0.00462263206877	generalimporteur 0.000873961548367	passend 0.00076552230511	umgekehrt 0.000181708337493	lang 5.67696861786e-05	sache 3.48925640198e-05	kommen 1.49982098768e-05	machen 1.0574368541e-05
topic439	vertrieb 0.298815675102	drache 0.181839798216	hergestellt 0.0971665827453	synthetisch 0.0760629823667	expertise 0.0606984675651	patentiert 0.0456615657884	hemmungslos 0.0262729914808	polymer 0.0257861327535	pharmazie 0.0184666044365	faible 0.017629295456	abtrennung 0.0153581209797	verkosten 0.0151932812328	fabelwesen 0.0140870540462	thermodynamik 0.0136212095287	fluggerät 0.0128882528	produktmanager 0.0124982531818	kundenanforderung 0.0121065186374	bienchen 0.0110103942685	unterlegscheibe 0.00671958794695	eisenstange 0.0065521630202	sollwert 0.00642684389548	flugshow 0.00568828362465	pinkfarben 0.00520439850396	rettungshundestaffel 0.00493304088577	streng 0.00455032834228
topic440	jüdisch 0.600100584837	beschaffen 0.116324352196	beibringen 0.100936804886	blz 0.0419619052625	mülleimer 0.0283308089143	kelte 0.0275624041425	terminologie 0.0271588998169	existenz 0.022035019855	westbank 0.0105124695955	risikobereitschaft 0.0101770203248	struppig 0.00598988867673	zeitzeugin 0.00450752826699	existieren 0.00298975732142	weise 4.04609263202e-05	einzig 3.23675286119e-05	letzt 2.68446335895e-05	geben 2.14272328196e-06	umgebung 9.9380317522e-07	erinnern 3.70458752171e-07	leben 5.60522881176e-08	spät 5.36568781776e-08	schwierigkeit 3.44980147429e-08	gehen 3.00292947692e-08	folgend 2.97066140439e-08	zeit 2.16668305702e-08
topic441	urlaub 0.293628039731	buchen 0.15939983319	unterkunft 0.106816041759	pension 0.0781353330524	übernachtung 0.0721098957548	ferien 0.0654506289332	plugin 0.0514784179839	buchung 0.0492192386456	einfach 0.0182313264986	sehenswürdigkeit 0.0111739013491	lastminute 0.00929168228038	genießen 0.00783591197671	schattenseite 0.00728491351028	nutzen 0.00687218260057	passend 0.0055510507777	finden 0.00527599419481	städtereise 0.00487694200368	verkehrsvorschrift 0.00465797530855	datenerhebung 0.00413941139406	egal 0.00410284043171	kommen 0.00387316844768	ganz 0.00319310007609	hotelbewertung 0.00300714910366	vielzahl 0.00271804311371	wintersportler 0.00266208337924
topic442	frisch 0.421942039272	gemüse 0.103145927431	obst 0.0781329949362	kraut 0.0767472528354	spargel 0.0325468930446	golfplatz 0.0252297135535	möhre 0.0198834874199	frische 0.0198795662517	erbse 0.0170681414687	kürbis 0.0142925689477	drängend 0.0124189683206	kartoffel 0.011789981182	schmackhaft 0.0108114001329	bohne 0.00868533509331	prozedere 0.00841925242929	zucchini 0.00840502812892	beet 0.00800207250132	rücksitz 0.00788435321348	ähre 0.00780837390668	analysiert 0.00751191709056	sellerie 0.00724726337619	schlemmen 0.00508779581222	bereiten 0.00466510400453	antilope 0.00384405645717	ballsaal 0.00362271210667
topic443	produzieren 0.41270237809	fabrik 0.119527525789	zivilisation 0.0664190456494	aufsehen 0.0647920672115	erregen 0.0555996398825	gesteigert 0.0552932866461	vereinzelt 0.0515319762484	wasserstoff 0.0512688548231	uhrwerk 0.02004386959	kennzeichnend 0.0183700550654	korrespondieren 0.018099521371	nationalmuseum 0.0148455341213	schrumpfend 0.010119950121	eiffelturm 0.00928514034701	landleben 0.00888976756378	besiedlung 0.00858659220087	sorgen 0.00788890755372	energiegewinn 0.00242657466668	entwickeln 0.00144723355588	weitgehend 0.000703539741085	gelingen 0.000441590925755	entstehen 0.000307580361716	gewinnen 0.000210371329584	verbunden 0.000103114363001	arbeiten 6.12076439775e-05
topic444	konsequenz 0.358232667116	außerordentlich 0.221498672207	zweifelhaft 0.0677798672421	mindern 0.0663944274142	intellektuell 0.0582878651529	kindertageseinrichtung 0.0423896569319	fehlverhalten 0.0364492967362	pressebericht 0.0318220168488	desolat 0.0246639533261	versäumnis 0.0239212731876	fortgang 0.0219524988833	umsiedeln 0.00928288097362	entgegenhalten 0.00893655523085	zebrastreifen 0.00872386782784	personalführung 0.00764661552566	grundbesitzer 0.00503284611917	schulministerin 0.00182111330581	hilfsperson 0.00170471437563	schulzeitverkürzung 0.00156898184893	zeihen 0.000877889148833	festhalten 5.04589904913e-05	umstand 4.37854975712e-06	vorliegen 2.7775898021e-06	lage 1.04198777579e-06	ergebnis 8.09009686094e-07
topic445	experimentell 0.206209162185	medaille 0.175821002899	rekord 0.174863625983	bestreben 0.0717566327574	weltrekord 0.06184033634	vorlauf 0.0611666648663	cafeteria 0.0395044840994	kroate 0.0324243088013	flugverkehr 0.0318122915594	heuern 0.0278430424242	projektierung 0.0234829818936	eindeutigkeit 0.0222180313722	lesestoff 0.022088505358	personalabbau 0.0218943664885	mitspielerin 0.00830921722197	schienenweg 0.00713706609233	landschaftsgärtner 0.004448721709	olympia 0.00397819442473	enorm 0.00110948084706	bisherig 0.000434951863049	stellen 5.21785601449e-06	neu 2.24333011409e-08	jahr 1.98427695363e-08	zeit 1.77282826509e-08	letzt 1.68194024975e-08
topic446	ankommen 0.448513866336	dunkelheit 0.170915570209	ast 0.128981485624	busch 0.078217108235	erkundung 0.0590833742524	taschenlampe 0.0500453186838	rinde 0.0253555176244	sibirisch 0.0182901983685	nachtwanderung 0.0105310905502	schwarzpulver 0.00697635335239	ausmachen 0.00170845697403	klein 7.17681653649e-05	gestalten 7.05753470863e-05	nah 2.35938691708e-05	dicht 2.06112518834e-05	gehen 1.96336921764e-05	sehen 1.29289415717e-05	groß 8.17376753478e-06	beginnen 5.51787476551e-06	betrachten 3.72371436529e-06	hängen 2.13857559682e-06	kommen 3.43389949005e-07	fallen 1.06487171863e-07	heißen 6.53179536727e-08	geben 5.63300231327e-08
topic447	kritiker 0.33421846815	absehbar 0.209955712726	umbruch 0.134906647903	dilemma 0.102581705026	ernüchternd 0.0491089777031	krampfhaft 0.0425088011953	background 0.0337677848683	islamistisch 0.0275180927259	planungsprozess 0.0154826485829	vietnamese 0.0137835006926	aktivismus 0.0131348365417	hinwerfen 0.00724897873395	trümmerhaufe 0.00601167547927	managergehalt 0.00436971250046	bildungsbürgerlich 0.00258444273018	befürchten 0.000456591385105	enorm 0.000312662353888	festhalten 8.3083023051e-05	zeit 7.01454528292e-05	zulassen 5.7754543529e-05	auseinandersetzung 4.93965858529e-05	versuchen 1.98628896224e-05	nennen 1.52748210364e-05	ausmachen 1.00814180145e-05	ende 8.46325661723e-06
topic448	online 0.918034255256	versprechend 0.0158034850445	glücksspiel 0.0141894734983	zocker 0.0136844009174	untermalen 0.00857677248173	pokern 0.00629010577057	impotenz 0.00502849073463	heraushalten 0.00474691160128	kasino 0.00312345718459	bezuschussung 0.00227998349488	spielbank 0.00187687086282	körperbewegung 0.00182118732667	funktionieren 0.000907199969614	gehen 0.000817916738821	vertrauenerweckend 0.000649711469722	finden 0.000601181692469	momentan 0.000243322806705	eröffnen 0.000242072006262	existieren 0.00022544631742	egal 0.000102839238632	sache 9.94561593188e-05	persönlich 4.44999912102e-05	neu 3.65201371423e-05	aktuell 3.30099135663e-05	genau 2.79131725772e-05
topic449	gruppe 0.53774864807	gemeinde 0.339811916681	einzeln 0.0142248315405	verschieden 0.0138644748858	bestehen 0.00925046185541	jugendzentrum 0.00615427683906	stellen 0.00547327944215	geben 0.00526969232924	gemeindemitglied 0.00493433324847	finden 0.0045512725179	jahr 0.00439230774466	teilen 0.00431856518155	kommen 0.0039415879772	gemeinsam 0.00359778574117	anschließend 0.00353864233835	gemeindeleben 0.00249711001674	stattfinden 0.00235641658249	weit 0.00232927621385	zählen 0.00225962083851	übergangsphase 0.00211882915135	gestalten 0.00211536809906	nah 0.00131011176724	möglichkeit 0.00131005643389	entstehen 0.00127924920273	ganz 0.00109442917713
topic450	einzel 0.290418165795	zuordnen 0.252169973102	zuordnung 0.203238744148	stahlwerk 0.0275760534992	vierteljahrhundert 0.0244303351514	ruhr 0.0239759384221	sommerspiel 0.0226780693178	stadtraum 0.0211443537589	sportverband 0.0178861670729	sägeblatt 0.015735926292	wildbad 0.0146627017045	neunzehnte 0.0145792474155	normbereich 0.0143234676397	gezackt 0.0117971615058	mitreissend 0.00894498829256	strommast 0.00826909094489	blankwaffe 0.00528442670421	kulturmetropole 0.00524290385675	designobjekt 0.00494480918514	berufsförderungswerk 0.00486385077726	mehrstimmigkeit 0.00366349397469	dialogform 0.00213075680026	folgend 5.90248699551e-07	direkt 2.09442097522e-08	sicht 2.04314926517e-08
topic451	zeitpunkt 0.191383797074	phase 0.127604968344	zeitraum 0.125148392669	beginnen 0.0296917405313	beginn 0.0280627792281	zyklus 0.0255659026985	spät 0.0224501233669	weit 0.0177936301047	befinden 0.0138478323118	schwankung 0.0130740906137	genau 0.0126515370887	möglich 0.0110821212556	kurz 0.0109052293197	stark 0.0096161129816	kommen 0.00954305102892	nah 0.00941474809932	magnetfeld 0.00885986814171	bestimmt 0.0083592571288	erneut 0.00830059230517	deutlich 0.00809355564955	bestehen 0.00764061179073	erst 0.0070337214694	folgen 0.00688016545791	zeigen 0.00660821756277	führen 0.00641466433815
topic452	anwenden 0.525449911579	respektvoll 0.0630734801961	abzeichnen 0.0545905093765	fortgesetzt 0.0466959642645	kostenintensiv 0.0449579708099	vermischung 0.0303209127711	einrichtungsgegenstand 0.0268082223072	fachkonferenz 0.0217645459437	handlungskompetenz 0.0211345713985	normiert 0.0203418803147	bildungsauftrag 0.0189328068759	verstehend 0.0163731941142	steuerfreiheit 0.0132672939835	steuergruppe 0.0130166259045	funknetz 0.0120078433083	luftbefeuchter 0.0104723234329	abgelagert 0.0103167809577	umsatzsteuerlich 0.0082244951894	verweilzeit 0.00670853178029	lebensbewältigung 0.00612888253244	schulkonzept 0.00542465641306	auflassung 0.004861285031	kühlkreislauf 0.00381287715314	haarspange 0.00346307249024	verhandelnd 0.00264626554658
topic453	block 0.409315771391	erfolglos 0.155579664736	hausaufgabe 0.146745138101	elterlich 0.0996469453594	erpressung 0.0376229686669	telefonanschluss 0.0327010018526	tauschbörse 0.0290969569265	hausdurchsuchung 0.023300816199	religionslehrer 0.0198411656514	trojanisch 0.0186687855921	phishing 0.00785579527355	kinderpornografisch 0.0053658257796	gesprächsbereit 0.00493142785773	internetanwendung 0.00465921800871	raubkopiert 0.00171121000891	mordsmäßig 0.001316000812	bestehen 2.44575653517e-05	sogenannt 7.70660119104e-08	sicht 2.02153754039e-08	üblich 1.74699316298e-08	verhindern 1.72400833271e-08	teilen 1.70202824891e-08	handeln 1.69853507148e-08	bereich 1.67089749649e-08	möglich 1.6658288083e-08
topic454	darstellung 0.372226594499	ansicht 0.309830837487	verstorben 0.0635671093659	chronik 0.04414770562	matte 0.0398436182144	bewegend 0.0319566827748	darstellen 0.0239724811494	wiederwahl 0.0152783172961	fürstlich 0.0118494033316	rückschau 0.0103161500321	manövrieren 0.00760784136705	jahrhundertealt 0.00757641683275	wasserglas 0.00711740493576	nachrangig 0.0068639878624	landesherr 0.00656370063911	zeitgeschehen 0.00592750568935	übrigbleiben 0.00578801227628	mausrad 0.00545059057935	jahresrückblick 0.00458211330802	geschriebener 0.00430845362809	löhnen 0.00287615880549	knapp 0.00250991685642	abstrafung 0.00237567285636	verständlich 0.00141247571147	streng 0.00102923851074
