topic0	kind 0.66721733821	jugendliche 0.0844466680752	erwachsene 0.0427552882485	geben 0.0133473019919	jahr 0.012908680944	gemeinsam 0.0109691929312	schule 0.0102929985574	finden 0.0054151828234	eigen 0.00480464918008	umgang 0.00472227081523	bieten 0.0041231223815	möglichkeit 0.00376165334022	früh 0.00363403622275	spielerisch 0.00362621603528	erleben 0.00357551147817	verschieden 0.0034475009581	entwicklung 0.00344692667348	brauchen 0.00340296806345	schulsystem 0.00329839143691	stehen 0.00269194073783	täglich 0.00260508609687	spaß 0.00258310148378	nehmen 0.00242822140988	fördern 0.00227255143711	entwickeln 0.00222437077957
topic86	bank 0.256878076731	konto 0.0885067568025	rente 0.061426487368	kreditkarte 0.0319663491973	visum 0.0310428929452	rentenversicherung 0.0257940478168	rentner 0.0241887502809	betrag 0.0235258976634	girokonto 0.0192508968988	überweisung 0.0191445029119	transaktion 0.0165521839256	zinssatz 0.0161427488661	guthaben 0.0156381082956	erhalten 0.0146289981167	überweisen 0.013592903319	absichern 0.0129561840762	bargeld 0.0125509165104	monatlich 0.0104074372708	abschlag 0.00976124273182	zahlung 0.0088248382926	gebühr 0.00867932105189	kondition 0.00771275415354	absicherung 0.00767842701419	sicher 0.00749236438006	sparer 0.00735530268914
topic87	ausstellung 0.337144691018	erwerben 0.165120162338	patent 0.09742491596	aktenzeichen 0.0604497694808	register 0.0572987857125	abstrakt 0.0348356976731	bezirksregierung 0.025751369065	vita 0.0230032803641	großprojekt 0.0196068543275	sonderausstellung 0.0175564376536	unikat 0.0174460995897	riegel 0.0162393926505	zahlreich 0.0144341799942	mehrfach 0.0137539776037	desolat 0.0118551505077	direkt 0.0114839790734	wortmarke 0.0114016760827	markenamt 0.0105092189614	malerin 0.0102224771415	verfügen 0.00756179318689	ausstellungseröffnung 0.00671406695035	wanderausstellung 0.00666004569279	psychomotorik 0.00621717030343	sehen 0.0037284022413	ausstellungsprojekt 0.00265781815055
topic88	ereignis 0.447269671057	hölle 0.103268587735	europäer 0.0720550020281	öffentlichkeitsarbeit 0.0556044777691	entpuppen 0.0357769399426	vereinsheim 0.0274299009735	karma 0.0230896318728	öde 0.0194112494799	mitbegründer 0.0193248486851	artig 0.0176606226433	überkommen 0.0171930115874	kommilitone 0.0167106187943	scherbe 0.0149528054196	subtil 0.0149425397058	zusammenbrechen 0.0146347379186	ungeteilt 0.0105577628775	rotenburg 0.00980330326849	radiostation 0.00937129872829	exzellenz 0.00825048345102	interviewpartner 0.00780107622405	einsichtnahme 0.00670126523451	patriarchalisch 0.00581455533265	benchmarking 0.0052004894227	beilegung 0.00446228801615	autorenlesung 0.00437551862586
topic89	steuer 0.256186511001	einnahme 0.140202928754	steuerlich 0.0868893942625	boxer 0.0459769839375	eingeführt 0.0400157128815	einlage 0.0331523948073	besteuerung 0.0252474938682	nachweislich 0.0206368238764	steuerfrei 0.0198215092183	angenommen 0.017098775301	anhebung 0.0169305975222	steuerrecht 0.0169047196589	kapitalgesellschaft 0.0168558756025	schmälern 0.0167624505581	finanzverwaltung 0.0166992815334	mutti 0.0139917945096	gläschen 0.0139004669949	vertragsstrafe 0.0108881588339	ausschüttung 0.00999144073935	abschreibung 0.00980009274735	abgestorben 0.00963847681819	anschaffungskosten 0.0096293784642	finanz 0.00861809264987	abzugsfähig 0.00847193737605	konkurrenzkampf 0.00746599018881
topic90	besuch 0.407634775274	umfang 0.088953223351	verarbeitung 0.0774958988204	lagern 0.0501682100736	rind 0.0446498799249	trage 0.0410053354441	lagerung 0.0316868314671	internetauftritt 0.0281666372322	luftfeuchtigkeit 0.0262176586938	einwandfrei 0.0230119723402	hygienisch 0.0212871612012	entsorgen 0.0201586162893	weiterverarbeitung 0.01617695322	ion 0.0157948084604	wiederwahl 0.0117820243756	charge 0.00841013203124	gerste 0.00823838997119	phosphat 0.00721848782459	einlagerung 0.00717334153338	halm 0.0070464184119	datenerhebung 0.00699190424402	zeitgeschehen 0.00457105741476	silo 0.00403940549392	versuchsperson 0.00396151909754	wintersportler 0.00323718558559
topic91	block 0.174211082172	schlange 0.100161502598	unruhe 0.0867268680936	ast 0.0676451113758	fruchtbar 0.066617076459	demonstration 0.0651406595408	vielfach 0.0362981554513	befriedigen 0.0323080836477	lehrstelle 0.0300835103132	erkannt 0.0267225618946	schwächen 0.0257970230605	fußnote 0.0221670833386	vereinsleben 0.0221541243214	solidarisch 0.0214588338228	erliegen 0.0201321324929	ansinnen 0.0178738112655	kirchenvorstand 0.0169254667923	vorenthalten 0.016382734204	unbeweglich 0.0152833738246	eisberg 0.014887770829	zepter 0.0131363806246	dienlich 0.0118089057045	ermahnung 0.0116835222721	rundbrief 0.0104380180003	sprachenzentrum 0.0103578632235
topic92	maß 0.232957107143	standard 0.196321045989	kompakt 0.0615776140586	beachtung 0.0409121305595	gewährleisten 0.0330084522612	flexibilität 0.0328638249048	mitteln 0.0295923870292	baureihe 0.0239306137476	aufgebaut 0.0218208664586	hochhaus 0.0208912850141	energieeffizient 0.0183636258925	gleichmäßig 0.0170757848669	fluid 0.0169295256117	dezentral 0.0165063398605	sukzessiv 0.0146887974084	homogen 0.014647881511	filigran 0.0121307179838	manual 0.0115043774813	aufwerfen 0.0113028482033	asymmetrisch 0.0107603847028	immateriell 0.0101725626957	wegfallen 0.0100757875966	bauform 0.00978661250459	modular 0.00863277816754	charakteristik 0.00777535318804
topic93	typ 0.402856163318	nase 0.179641929628	mund 0.126830502147	zunge 0.0529814747896	pressen 0.0345294971495	schwanz 0.0340042577831	anstecken 0.0234007438346	verstopfung 0.0138982053873	versenken 0.0135268525868	zurückhalten 0.0111430294334	dumpf 0.0104210234975	kleingeld 0.00972162418197	kehle 0.00860275168729	schluck 0.00835991244858	kleingarten 0.00736709698509	verkrampft 0.00734952173478	türmen 0.00688510817995	brustkorb 0.00553483043547	nutte 0.00546694156948	stimulus 0.00426249828186	harte 0.00407635215917	verklebt 0.00357462858513	kopfende 0.00355974298998	verächtlich 0.00348162501021	raumgröße 0.00275510100159
topic94	besitzen 0.497265002954	registrieren 0.202428233604	registrierung 0.0704037913015	verfassen 0.0323966612798	freeware 0.0226221372564	beliefern 0.0161429459676	sampler 0.0153428062595	pluspunkt 0.0131549212679	widget 0.01220782967	gesamtgewicht 0.0117609773821	übersicht 0.00998429683917	registrierter 0.00972500020178	stampfen 0.00791077259242	personennahverkehr 0.0075619724138	shareware 0.00573987517465	neuhof 0.00543620027859	gestaffelt 0.00507712615669	encoder 0.00446819286665	vorderleute 0.00402056235979	sichtfenster 0.00398414515413	wohnbau 0.00374734716238	firmengelände 0.00363084408506	zackig 0.0036039398987	bremsweg 0.00328095945825	hartplatz 0.00312524445168
topic95	produktion 0.329767714641	dialog 0.204862511587	mittelpunkt 0.166235641799	filiale 0.0599218592456	shop 0.0551415974065	socke 0.0530356060419	allergiker 0.0373851444886	essener 0.0232114750207	lade 0.0155391613044	grundzug 0.0131699300338	forschungsgemeinschaft 0.0121595862554	fälschlich 0.00734377493418	abzielen 0.00596005692036	großangelegt 0.00484625143053	verträglich 0.00403693336564	zerfließen 0.00269879386078	kernseife 0.00162955950369	stehen 0.00126599510409	entstehen 0.00023332117912	ständig 0.000109643557135	lang 9.82808936307e-05	eng 6.97252227573e-05	gleich 5.88293149116e-05	machen 3.06509982046e-05	neu 2.55201506276e-05
topic96	treu 0.138750654078	anschlag 0.0943062969077	scheiden 0.0502337913562	treue 0.0444967465939	ausgerechnet 0.027055030647	abneigung 0.0248976421512	lügen 0.0247351755528	bekennen 0.0244239041064	sakrament 0.0239290805715	witwe 0.0233179706541	taufen 0.0222017804387	demut 0.0217538427676	verheiratet 0.0204365544886	spießer 0.0170174433117	überforderung 0.0168062544341	eheschließung 0.0165885225207	unvermeidlich 0.0164047278473	durchhalten 0.0155800367274	laster 0.0148093718532	herkunftsland 0.0138781696488	praktizierend 0.0138414512096	humanismus 0.0123666997144	befähigen 0.0115190318805	aufrichtig 0.0109806417091	ledig 0.010913375162
topic97	balkon 0.133244395474	schreibtisch 0.0867190964196	explosion 0.0681881921001	erholung 0.0634199296663	belieben 0.0463376502703	wanne 0.0373273201473	nächtlich 0.0339001466058	hautnah 0.0335066845199	schwören 0.0292269387388	arrangement 0.0274013313142	verklagen 0.0262480647022	trainingsplan 0.025281786221	buchbar 0.020567819706	ausklang 0.0198220902307	vollmundig 0.019265778382	annehmbar 0.0160825763417	zusetzen 0.0157380615905	kurpark 0.01491629267	einstand 0.0148031944677	osterfest 0.0142222126004	klatsche 0.0131320990902	nachstellung 0.0123589678173	entreißen 0.0121037869288	ehrwürdig 0.0114344935109	ausdauertraining 0.0112455694154
topic98	verzeichnen 0.120792505032	herd 0.0825876591428	import 0.0780170289706	aufstrebend 0.0432423250384	rückgang 0.0380181425164	zurückgehen 0.0371629049118	lohnend 0.0361058200044	bergbau 0.0360716754078	pinguin 0.0307662064915	gemeldet 0.02925682354	gewichtung 0.0287072450203	maschinell 0.0286187368629	geschäftsleute 0.0284208811274	frankfurt 0.0272074457317	bergstraße 0.0268157432833	nutzfahrzeug 0.019978903532	zuschrift 0.0170259943545	eckdatum 0.0159647961773	zählung 0.014364858324	angefertigt 0.0141105311135	beimessen 0.0139613656075	dekor 0.0137751843377	bundeshauptstadt 0.011828974533	scholle 0.0117182675879	fahrlehrer 0.0117143489272
topic99	verändert 0.132071816087	tschechisch 0.0833087933116	sportverein 0.0775328439931	fungieren 0.0641027310349	vorurteil 0.0632934351493	gefördert 0.0571242536634	zieren 0.0499432924862	gewerbegebiet 0.0480728910396	gentechnisch 0.0387126159407	bescheinigen 0.0287356980648	prager 0.0283003355244	ortsverein 0.0254571942183	liebenswert 0.0233676648433	partnerstadt 0.0226483582457	jubel 0.0226017724209	einmarsch 0.0194627081695	tscheche 0.0189102851551	städtepartnerschaft 0.0167145801126	vorstandschaft 0.0146667692471	krabbe 0.0128948621181	schüleraustausch 0.0121896899293	modellversuch 0.0120335313998	benachteiligt 0.0109933873867	grenzregion 0.010314692753	haushaltsmittel 0.00989718005614
topic100	kreis 0.590793359093	erledigen 0.102234262701	kennzeichen 0.0384668798645	gemeinsamkeit 0.027228370895	wohnungseigentümer 0.0266806087334	agil 0.0216880290967	unweigerlich 0.0214495691071	sense 0.017467194421	krumm 0.0163769823943	aufschlagen 0.0145092493288	wolfsburger 0.0127600091173	expo 0.0120597130157	lausitz 0.0116135953077	ballast 0.0107181118435	immobilienrecht 0.0104591424769	deckungsgleich 0.00686404202424	rückbank 0.00637223779371	röhrchen 0.00565413679301	verwaltungsgesellschaft 0.00521712469441	nachsehen 0.00498183939055	vereinssatzung 0.00433187493066	restschuld 0.00408955579482	zufriedenheit 0.00404365505079	landeanflug 0.00328599451226	erfinder 0.00321752845972
topic101	miteinander 0.111400529134	korb 0.0759881547932	behinderte 0.0679702686167	vernichten 0.0632929766061	selbstmord 0.0582597628871	praktikant 0.0579456018794	mitleid 0.0499154005281	göttin 0.046751598562	letzte 0.0327930589488	gebären 0.0273798239906	zerreißen 0.0245234882687	zierlich 0.0243497288768	bezugsperson 0.0235197328682	plündern 0.0222636845779	winterspiel 0.0172635364341	erbarmen 0.0171759871464	sterblich 0.0171642691463	kehrseite 0.0152308770435	gerufen 0.0143954216838	siebent 0.0140635192087	verwüstung 0.0130628785559	eingewöhnung 0.0116982958537	größere 0.0113098654792	ausgrenzen 0.0101278943541	zeitmaschine 0.00955133287255
topic102	index 0.140435830468	sechst 0.10837862827	eine 0.0753009678664	stream 0.0692336179237	gemeinschaftlich 0.0538038001626	konstruieren 0.0522332624925	kinofilm 0.0518351070564	achtziger 0.0456816097195	neunziger 0.0449221312662	essentiell 0.0425996605143	stadium 0.0422934510282	ausgrenzung 0.0407618236739	zusammengesetzt 0.028968975849	abwickeln 0.0259883510606	hervorbringen 0.0252773747589	grundhaltung 0.0204600354781	beruhigt 0.0144843677145	ausgedrückt 0.0129674981064	glückliche 0.0119815370909	downloadbar 0.0118624142086	stack 0.0110406384789	aufwecken 0.00847134275386	weltfrieden 0.00775090512416	datenbanksystem 0.00678807540416	hinauskommen 0.00547842013088
topic103	gut 0.444486458905	schlecht 0.0712513211157	kommen 0.0152578949039	stark 0.0135129528445	sehen 0.0127892076982	geben 0.0123969798124	deutlich 0.0111571434333	groß 0.0110591829089	klar 0.0109533529829	richtig 0.0085573081219	machen 0.00807223678467	gehen 0.00729359004957	qualität 0.0071138418678	bringen 0.00647423204322	lassen 0.0062919718981	sicher 0.00627710547722	fehlen 0.0058950218796	grund 0.00572406022721	halten 0.00557469390643	liegen 0.00555411135574	fall 0.00527226082101	bleiben 0.00504167005403	zufrieden 0.00467483935566	zeit 0.00459613820365	wesentlich 0.0044093237245
topic104	gefahr 0.194379778368	gefährlich 0.186193782655	gegenstand 0.150265007524	vorsicht 0.0798119730498	australisch 0.0462865862386	gift 0.038700014689	tödlich 0.0362301214898	rufnummer 0.0327712000711	biss 0.0251531677694	mixen 0.0172043209509	befolgen 0.0146579222913	leukämie 0.0143291264179	vergiftung 0.0119883492052	zigarre 0.0099888890779	australier 0.00919663705727	schlüsselrolle 0.00785956044559	warnhinweis 0.0078485551999	biß 0.00674346670768	duldung 0.00633642120684	fahrradfahren 0.00517995434567	ungiftig 0.00482037857636	zweifarbig 0.00399184481331	abtöten 0.00393979695661	iberisch 0.00389957150637	offenstehen 0.00372031474564
topic105	abgeschlossen 0.146155866316	bewerben 0.126331039199	beleuchten 0.0961337457392	traffic 0.0640677732996	ambitioniert 0.0638152751863	scheinwerfer 0.0599699310086	handwerkskammer 0.0434500889533	tochtergesellschaft 0.0415791206134	buchhaltung 0.0369715700847	weltgroß 0.0308352313567	object 0.0263407205974	kostengrund 0.0253687197381	ausbildungsbetrieb 0.0231111325461	flex 0.0219568946375	aktiengesellschaft 0.0218849484914	lackierer 0.0158864251868	target 0.0140660788474	eintägig 0.0123557597416	kundenstamm 0.011335729546	unternehmensleitung 0.0111270314691	berufsbezogen 0.0107388877648	spanplatte 0.00969892118038	notierung 0.00934447801572	spachtel 0.00787930237939	kartellrechtlich 0.00702176672037
topic106	bunt 0.351190536973	sächsisch 0.127176068958	mut 0.115784102623	mutig 0.0645971294111	weihnachtlich 0.0336284782355	besinnlich 0.0262505915926	patenschaft 0.0248153946985	treff 0.0216315803941	zivilcourage 0.017246932827	schultag 0.0165542357293	klassenlehrer 0.0152623283224	lebkuchen 0.0136468548505	courage 0.0130487106523	malteser 0.0113502038874	metastase 0.0102606419262	unterschrieben 0.00857999736096	zillertal 0.00856502491395	festveranstaltung 0.00829357181308	blessur 0.00789841551623	hilfsdienst 0.00676601947579	realschüler 0.00663636860432	initiatorin 0.00644391089399	weihnachtskonzert 0.0047959730121	kräftemessen 0.00460033516171	dancer 0.00451663972955
topic107	druck 0.425471964472	drucken 0.0976610718789	maßstab 0.0892795659534	heben 0.0816314607638	drucker 0.0628690579723	trommel 0.0278649495639	druckerei 0.0171712472974	abstrich 0.0127637349928	rockband 0.011691905465	auffahrt 0.0111545513137	baugruppe 0.0107926688315	mittelschwer 0.0106797607323	umweltverträglichkeit 0.0102419048488	preisempfehlung 0.00921487023371	doppelseitig 0.0090175655371	ausbaufähig 0.00901364060308	aufzwingen 0.00876051159471	vereinsgeschichte 0.00845268423328	platzbedarf 0.00838780259162	toner 0.00723637192642	patron 0.00622616361117	beheimatet 0.00602248976173	schriftführerin 0.00568075297783	bildsprache 0.00562066056329	silage 0.00532108096041
topic108	krankenhaus 0.183400935304	klinik 0.126614760524	geburt 0.075487720426	psychotherapie 0.0575172167877	selbsthilfegruppe 0.0550993205003	ärztin 0.0383926309665	therapeutisch 0.0368825407997	medizin 0.032733592406	medizinisch 0.0316074154288	inner 0.0246241378831	krankenkasse 0.0236731999017	psychiatrie 0.0235732768278	hebamme 0.0197643732094	chirurgie 0.0193436556973	krankenschwester 0.0191651423083	chefarzt 0.013464414248	schwerpunkt 0.0114335609802	wehe 0.0106538624874	gesund 0.0106092920764	qualitätsstandard 0.0103434314494	genesung 0.00850705471836	onkologie 0.00652307923005	kranke 0.00572270069314	strahlentherapie 0.00548510224331	waschmittel 0.0052577746706
topic109	verhelfen 0.126227810101	fliegend 0.0907675882081	chaotisch 0.0671903568505	massenhaft 0.0493145646326	ander 0.0489267009396	schrecklich 0.0467086842385	versprochen 0.0445499547881	schmied 0.0433520358743	verdecken 0.0388651566425	entgegensetzen 0.0297269297625	kahl 0.0288693894618	teddy 0.0262317313897	minimalistisch 0.0259684467899	mystisch 0.0228906954294	asylbewerber 0.019823527552	prominenz 0.0197462923519	zauberspruch 0.0175486339492	denkwürdig 0.0175291266034	kundschafter 0.0155649078107	requisit 0.0153007716527	purzeln 0.0146979682477	lebensgefährte 0.0139863388686	zähneputzen 0.0127959798043	tinktur 0.0125298415827	kreisrund 0.0122650984518
topic110	entwicklung 0.121388748205	zukunft 0.120886706787	nachhaltig 0.0699116493389	ökologisch 0.0396895317247	ressource 0.0326988803133	wirtschaftlich 0.0251164721119	langfristig 0.0236107863873	nachhaltigkeit 0.0198806555475	potenzial 0.0177387438003	umwelt 0.015480284552	entwickeln 0.0151566851419	zukünftig 0.0122355300449	nutzen 0.0119989368965	potential 0.0112749174794	trinkwasser 0.0111217840589	bedeutung 0.0106353120461	chance 0.0105380656274	ziel 0.0101420814825	handeln 0.00994158685155	weg 0.00972875327945	setzen 0.00950178254844	global 0.00907876159234	ökonomisch 0.00844015960953	schaffen 0.00760756663598	stehen 0.00645673030149
topic111	partei 0.436192755575	grüne 0.203936502557	liberal 0.0404519801917	einig 0.0309016675003	sozialdemokrat 0.0283768180007	liberale 0.0253406403676	rechtsextremismen 0.0225871292698	hundertprozentig 0.0211566201332	entschieden 0.0210782396337	rechtsextrem 0.0150710711399	mühselig 0.0108375103004	vertreten 0.00888348620335	privilegium 0.0075254646208	treten 0.00640095391637	rückbesinnung 0.00636349804189	gesinnung 0.00614820891871	alternative 0.00592658415002	wiederkehren 0.00537134914229	klar 0.004867339209	innenausschuss 0.00394427272023	ergebnis 0.00371819627651	braun 0.00361331319501	verrenkung 0.00353703439618	verfassungsfeindlich 0.00312726188349	stehen 0.00277763769662
topic112	wunderbar 0.120063978148	wunderschön 0.0878115125479	unglaublich 0.0609938315126	überraschung 0.0554191531406	schönheit 0.0374855152984	nackt 0.0371426549462	romantisch 0.0287434352804	geschickt 0.0272382893418	frech 0.0219012822326	verführerisch 0.0194576597926	verrückt 0.019356483016	lächeln 0.0189850264401	überraschen 0.0181496825795	erfrischend 0.0165386335225	schenken 0.0156344800195	pavillon 0.0143514006516	mitreißend 0.0142289462099	charmant 0.0139624383701	schön 0.0138677994347	luke 0.0132636719791	charme 0.013147499889	wundervoll 0.0123442357023	sinnlich 0.0119395330001	riesig 0.011286940476	leidenschaft 0.0104029377902
topic113	derzeitig 0.232689545707	konfiguration 0.128972769575	legende 0.113052986538	spitzname 0.0588272156075	komponieren 0.0448305815899	archäologe 0.0316560452322	kuppel 0.0312089084963	chemnitzer 0.0230873346765	angestammt 0.0204377340121	stemmen 0.0190373461037	rechteck 0.0178017993644	auffindbar 0.0177005879693	inzest 0.0156157658482	notation 0.0152336149719	konkurrierend 0.014650111449	armselig 0.0138748893106	entbehrung 0.0122074211733	wasserspiel 0.0121013664332	moabiter 0.0119505103122	grenzstein 0.0114044168021	logbuch 0.0107847337167	datenformat 0.00986224498364	mobilteil 0.00984878449196	dampfmaschine 0.00907201735769	hundekot 0.0084168017822
topic114	selbstverständlich 0.300381596974	all 0.0991662594807	wecken 0.0654160412616	zwerg 0.0477716874878	lehren 0.0305918394403	bleiben 0.0245437253503	sarg 0.0236602789889	szenarium 0.0215121523927	funktion 0.0200225281719	verblieben 0.0187703287239	download 0.018403296461	detaillieren 0.0171785261404	bestehen 0.015562553709	partiell 0.0151215827449	reflektieren 0.0147419187463	ausschalten 0.0140505611296	voraussetzen 0.0117803341297	veröffentlichen 0.0109516979232	einhergehen 0.0107519524516	arbeitsblatt 0.0106201530025	verdienen 0.0105411394952	modul 0.0104810503236	sicherheit 0.0101597996885	zahlungssystem 0.00855440405071	anordnen 0.00804666052505
topic115	linie 0.368207715171	bus 0.252440805403	haltestelle 0.0592317250261	aussteigen 0.0389637731177	orient 0.0272267146573	ganztägig 0.0186385165345	vier 0.0179255402036	busfahrer 0.0163895799957	meistertitel 0.0146667350491	attackieren 0.013321752127	fußballverein 0.0112598350818	gruppenmitglied 0.00835845627909	halde 0.00827599263545	ratio 0.00821896336558	angedacht 0.00783555192925	verkehrsunternehmen 0.0074504532326	generisch 0.00720659016718	grundprinzip 0.00719883434544	verkehrsverbund 0.00687871917546	zieleinlauf 0.00669673892512	anwählen 0.00664999167429	beeinflussbar 0.00608237132853	führungsaufgabe 0.0048368990272	landesstraße 0.00449509309259	fußsohle 0.00415844864019
topic116	eignen 0.259622095286	bildschirm 0.139983639741	satt 0.0980104858233	schnittstelle 0.078125723213	usb 0.07384494783	robust 0.0728107319714	wiedergeben 0.0441742195736	hervorragend 0.0233331406696	vollwertig 0.0218294501698	kabeln 0.0201267219083	datenübertragung 0.0193110606214	ständer 0.0188610975621	portabl 0.0167774389465	gros 0.0110169664999	obsolet 0.00940813152485	distanzschuss 0.00885679738398	ideal 0.00753354610644	standfestigkeit 0.00738617425662	verchromt 0.0062914629117	spitzenwert 0.0058856262552	bürgersaal 0.00578137042827	ruppig 0.00541474195319	flachbildschirm 0.00540203166592	lux 0.00403468363698	abstrahlung 0.00372950998125
topic117	kommunikation 0.250598291008	traditionell 0.220922755222	kombination 0.12988704132	realisieren 0.0762052495781	performance 0.0745885482281	harmonisch 0.0462160451827	zusammenfassen 0.0308665931892	meeting 0.0254290445848	versehentlich 0.0237000846916	aufsetzen 0.0137153712231	kombinieren 0.0135596484098	synchronisation 0.0122298294315	vertriebspartner 0.0100053417179	qualitätskriterium 0.00934425146397	adressbuch 0.00724214328376	vereinheitlichung 0.0059303272429	mailserver 0.00588228152581	anpassbar 0.00563682620171	veranschaulichung 0.00523017526776	antivirus 0.00472710810887	finesse 0.00340749019691	oberflächenstruktur 0.00322929781032	mischung 0.00277257812328	dynamisch 0.00239046046945	gesundheitssektor 0.00230263545717
topic118	dokumentation 0.191730742336	einkaufen 0.136980471496	öffnungszeit 0.102553805823	absprache 0.0962387028914	staubsauger 0.0600706724329	phantasie 0.0392931996	demonstrieren 0.0360751287838	multimedia 0.0322282057923	fachhandel 0.028115441322	verständigen 0.0256432216367	zuzahlung 0.0237371207465	digitalisierung 0.0232200160378	marktforschung 0.0194377171245	ankauf 0.019332213421	messestand 0.016667904371	asiate 0.0138989299042	nominieren 0.0130020026597	dokumentieren 0.0122315872118	trophäe 0.0121072191514	notdienst 0.0117329503408	sozialverband 0.0106751299122	tätigkeitsfeld 0.00934707257652	datenrettung 0.00908745318601	eid 0.00874771062948	museumsinsel 0.00721625341328
topic119	wirkend 0.113757117516	glänzend 0.103610375721	liebhaber 0.0787874121979	betätigung 0.0728975605779	turbo 0.0541993262564	aufsehen 0.0515023112827	erproben 0.0366959496703	fluggast 0.0290747706549	hoffnungsvoll 0.0268652500286	polar 0.0240703655202	destination 0.0220514234089	eskalieren 0.0199926834664	höchstpersönlich 0.0191376215137	länderübergreifend 0.016533592005	ballungsraum 0.0162679206719	atlantisch 0.0152547795829	wohlbehalten 0.0147064875632	innenausstattung 0.0145089690204	verfassungsmäßig 0.013701735628	geschichtsträchtig 0.013001684825	getunt 0.0128844282351	rankommen 0.012051901634	gebeutelt 0.0113306718823	dauerbetrieb 0.0107346923239	hades 0.0104780590366
topic120	verzicht 0.118435309021	erfolglos 0.0772029074612	vorgeschrieben 0.070165086741	lehrbuch 0.0556453161065	umdenken 0.0547273858147	verheerend 0.0526125695138	europaweit 0.0503191939435	rekonstruktion 0.0354319707165	kluft 0.0348854744805	republikaner 0.0330431623387	schonungslos 0.0301015935792	demokrat 0.0282171118723	visionär 0.0265679887351	einschneidend 0.0246272791415	ungleichgewicht 0.0184815682214	schuldenkrise 0.0182678822186	niederlegen 0.0178194333386	fresko 0.0169364023274	sippe 0.0158038388705	disput 0.0158033215212	unbeteiligt 0.0155658428866	bevölkerungsschicht 0.0155497325141	beherzigen 0.0145340425236	flandern 0.0133792895484	dominiert 0.0131312739374
topic121	studierende 0.211920621755	studium 0.204646926994	semester 0.111430642169	praktikum 0.0941252973817	einstieg 0.0563789756833	stipendium 0.048605790315	lehre 0.0373660571481	studiengebühr 0.0340155088038	eigenverantwortlich 0.019510503301	belohnen 0.017455640469	analytisch 0.0150150989831	mentor 0.0134096977867	inspirierend 0.0103714397991	einführung 0.00954999282885	erst 0.00909680410954	beginn 0.00899298589724	lichten 0.00795382998224	maschinenbau 0.00793910528552	promille 0.00792204866066	ende 0.0069063609506	fachausdruck 0.00562178493885	einblick 0.0051391035221	bieten 0.00467828529229	geisteswissenschaftlich 0.00441938047794	arrangiert 0.00440011089173
topic122	gegner 0.0892867254058	stark 0.047898863534	chance 0.0326486054843	partie 0.0240255956204	abwehr 0.0220643120468	schwach 0.0218257100212	schnell 0.0159423789049	kommen 0.0156827092968	stürmer 0.0144590899	stehen 0.0134212894398	gut 0.0132613089338	bringen 0.0114672490444	schwer 0.011353943016	spielerisch 0.00973618020785	angriff 0.00923541014308	machen 0.00865786591895	schlagen 0.00860698458303	kampf 0.00851896597202	remis 0.00849808229017	lassen 0.0082665646788	gehen 0.00825799503509	sieg 0.00809946269367	leicht 0.00792182957878	klar 0.00791795069181	setzen 0.00786424546379
topic123	kabel 0.159459738949	sender 0.141308860183	fernseher 0.0956496750158	anschließen 0.0871630246073	empfang 0.0829424006653	antenne 0.075048578719	empfangen 0.0587514255065	adapter 0.0422553826287	receiver 0.0350647152409	pin 0.0257715453651	signal 0.017754391901	fernsehsender 0.0132643568233	austesten 0.0101208561191	ton 0.010119244359	freigegeben 0.00884078913014	einschalten 0.00882600555442	prangen 0.00560723478794	benötigen 0.00554102751207	klingone 0.00514023184912	umleiten 0.00506913813782	fötus 0.0049805648715	quere 0.00462749021795	angeschlossen 0.00455353989609	nutzen 0.00443926149951	eingang 0.0039462084386
topic124	bericht 0.505796338399	richtlinie 0.099459394576	norm 0.0696001089203	aufklärung 0.0417914117481	eintragung 0.0297293723366	irakisch 0.028250994506	einhaltung 0.0209311514964	begutachtung 0.0172117475918	panther 0.0114209199516	begrenzen 0.00963814061053	rep 0.00945369999998	adept 0.00936704721198	unzuverlässig 0.00856937387139	unversehrtheit 0.00643872385516	grenzwert 0.0063968273279	verifizieren 0.00626691121276	neuerlich 0.00595223955201	streng 0.00552838252523	durchschlagen 0.0055124421234	erhellend 0.00542116670767	irakkrieg 0.00532203822841	terminabsprache 0.00494076226626	bautechnik 0.00405669199124	betriebserlaubnis 0.00387691809797	aufhellung 0.00365710485976
topic125	roh 0.122135484379	segen 0.0966288244746	deutschlandweit 0.0907894546083	dreh 0.0841567518695	komplexität 0.0733111546161	durchbrechen 0.045918129882	fairness 0.0435418593101	werbekampagne 0.025068508871	organisationsform 0.0222053708595	kampfkunst 0.0216668763601	selbstgebaut 0.0181746489792	unmut 0.0179590833186	kinderarmut 0.0178459154787	wasserwirtschaft 0.0174147032556	eiern 0.0166784787161	hagel 0.0152010507221	peilen 0.0124764823186	pure 0.0120695696396	hütchen 0.0117434774613	dienstwagen 0.011672395763	meisterschaftsspiel 0.011330832427	praxisgerecht 0.0103278234063	habend 0.00986546464246	missgunst 0.0097516573287	kernproblem 0.00906167847931
