topic0	person 0.627751497261	station 0.101745998057	tisch 0.0710641622775	indisch 0.049798837081	stuhl 0.0336375040878	trauern 0.011898032084	beantragung 0.00856376178643	lauenburg 0.00797185187274	eindecken 0.00577800641002	münster 0.00560455078193	zweistündig 0.00554623197539	inklusiv 0.00536766451862	esstisch 0.00527106974502	freifläche 0.00488931548139	urlaubsreise 0.00467397636838	gesamtleistung 0.00388982302785	backend 0.00384235684505	festplatz 0.00330727778115	darlehensvertrag 0.0026364915709	crewmitglied 0.00262108017865	sondergenehmigung 0.00231921531035	beengt 0.00229594651786	scheibenwischer 0.00219458062479	stiege 0.00208959206841	weserbergland 0.00208942736894
topic144	parkplatz 0.165488079561	parken 0.0915010157621	umkreis 0.0655172608509	sondern 0.048037069389	mitternacht 0.0388830198894	auslegen 0.0360339586125	ordnungsamt 0.0304974404424	einschließen 0.0299325559242	beibringen 0.0289179166373	beleidigung 0.023659751821	allergut 0.0231017354488	abnehmend 0.0213238557965	liken 0.0212607435182	hinweisschild 0.0209442051201	unwesentlich 0.0204087967137	rettungswagen 0.0189285116729	extensiv 0.0188624781432	alleinstehend 0.0159824175957	dachstuhl 0.0155705942286	rechtsbeschwerde 0.0149433286486	karabiner 0.0146645258974	formuliert 0.0141264860587	tricksen 0.0137238854548	verfliegen 0.0127958854942	einfahrt 0.0127203292063
topic145	bundesland 0.189056561602	bundesweit 0.172233819294	moderator 0.0749770547203	fachkraft 0.07369621409	kooperationspartner 0.0411560939095	petition 0.037643574898	verbraucherschutz 0.0272864873003	clan 0.0258837377039	streik 0.0233298665144	arbeitsgebiet 0.0200208787054	kandidatin 0.0199924617036	praxisorientiert 0.0198642773509	bildmaterial 0.0188285049306	bundesanstalt 0.017140357348	herausfordernd 0.0168303477906	beeindruckt 0.0164673819867	klassifikation 0.0162027100406	geballt 0.0131186459572	bewerberin 0.0130313696455	wirtschaftsstandort 0.0126276379712	erarbeiten 0.0122193856968	ebbe 0.0116398070882	freizeitaktivität 0.0114361103783	attraktivität 0.0113864683962	wellnessbereich 0.0107363123063
topic146	ausstellung 0.263267486944	museum 0.181731496657	marke 0.173932656261	patent 0.0608975762431	kunst 0.0448079077378	register 0.034056269774	künstler 0.0212044803397	vita 0.0155586613135	ausstellen 0.0154804237969	eröffnung 0.0134257070363	unikat 0.0117999680733	zahlreich 0.0115248754169	kunstverein 0.0101607457653	eingetragen 0.00871962899065	direkt 0.00816762255626	wortmarke 0.00771171996711	abstrakt 0.00732619786137	ausgestellt 0.00729527171829	markenamt 0.00710809149339	wirkung 0.006610224906	cis 0.00641640602508	erwerben 0.0062959846222	sonderregelung 0.0060492522424	mehrfach 0.00582688589574	verfügen 0.00551615762531
topic147	newsletter 0.159395541279	note 0.141296765339	buchstabe 0.116506320324	taste 0.102296063219	schwedisch 0.0784705111232	account 0.0781401962903	eingabe 0.063576422372	eingeben 0.0539026480873	tastatur 0.0301393750706	standardmäßig 0.0290610331923	befriedigend 0.0192003816287	abonnement 0.0181787441382	freischalten 0.0149343265466	mailadresse 0.0122730436014	unterrichtsmaterial 0.0110326905319	zivilisiert 0.00924661632509	gerufen 0.00741670464471	ungenügend 0.00740326041538	topmodel 0.00566038985252	informationsfluss 0.00558320864113	heikel 0.00426742734407	bestimmungsort 0.00380818480036	dreigliedrig 0.00332500443669	schlechteste 0.00316512250265	benutzerfreundlichkeit 0.00283850291923
topic148	mühle 0.0994614195158	zombie 0.0475908719225	spezialisieren 0.0445177385465	soundtrack 0.0416184320113	verrückt 0.0341086267223	schwenken 0.0335204245023	mäßig 0.0334450653336	bewähren 0.0311731751731	auftrieb 0.0280727029964	hoffnungsvoll 0.026675759666	tonträger 0.0256422778112	wahlbeteiligung 0.024987960073	ablösung 0.0228364325546	weiße 0.020674008972	abliefern 0.0204886169102	ausdehnen 0.0202401086063	fortfahren 0.019614576515	gangster 0.0193828414185	redlich 0.0190628490533	konzession 0.0181284719635	plage 0.0174171304457	leerlauf 0.0170317702636	mahlen 0.0160910575897	ernüchternd 0.0150571217391	score 0.014704358898
topic149	studie 0.322056926134	untersuchung 0.145555169025	apotheke 0.0508972548975	untersuchen 0.037549625014	ergebniss 0.021897310507	apotheker 0.0189038031122	datum 0.0140958520224	signifikant 0.0131873494579	proband 0.0124824142603	aachener 0.012479347179	rückenschmerz 0.0117607852172	untersucht 0.0111376829665	auswertung 0.0107587773578	gesundheitszustand 0.0104528520967	brustkrebs 0.0103468823857	sensibilisieren 0.0101095381474	erhebung 0.0100345532775	risiko 0.00991770258089	belegen 0.00956715774342	schwerpunktthema 0.0091125332893	zeigen 0.00903802646744	pharmazeutisch 0.00858055635288	naturheilkunde 0.0076174600158	placebo 0.00737056181122	lebensalter 0.00693920013036
topic150	manager 0.193974002564	navigation 0.0566358392899	skript 0.0555893252123	unbegrenzt 0.0519366660917	script 0.0486178263247	vorrat 0.0470994319317	navi 0.0455170943399	segment 0.0446012380468	optional 0.0442670313232	lesbar 0.0437714666188	leiste 0.0417811842099	reichen 0.0259903496395	zusammengestellt 0.0213763074981	einsendung 0.020247120358	aufteilen 0.0191870171117	order 0.0177290990537	disclaimer 0.0170955635721	schreibend 0.0145150997698	preisgestaltung 0.0136976388411	zurückhaltung 0.013669747087	error 0.0129022176178	solid 0.0121014105035	wallpaper 0.0109928556707	menüleiste 0.00976788833219	lesend 0.00901564684586
topic151	tragen 0.295740911563	beschreibung 0.0867396864274	braun 0.0410462499132	hose 0.0380625972702	bademode 0.03033642105	grau 0.0281311870659	jacke 0.0246253304135	modisch 0.0204348294054	bikini 0.0193225450782	aufzug 0.017427888871	wäsche 0.0164738138787	spital 0.0156770493092	jeans 0.0153735486169	lila 0.0150738265456	hemd 0.0149197231866	trage 0.0136111099302	steinbruch 0.0124123092399	rock 0.011414345997	gürtel 0.011365091801	klamotte 0.0108313006339	kalk 0.00972780190155	größe 0.00953958189895	sonde 0.00931271919499	ordern 0.00905419429184	webspace 0.00886947300677
topic152	album 0.0987313984485	song 0.0913956940683	band 0.0561292322903	rock 0.0268049289985	live 0.0226095928186	lied 0.0191837731562	neu 0.0186647296586	erst 0.0184559583783	single 0.0181831286299	hören 0.0180886894124	fan 0.0153970795318	cover 0.013181090931	klingen 0.0118856080123	blues 0.0113095019371	sound 0.0109444188152	kommen 0.0109229769674	geben 0.0106242628947	platte 0.010402991861	erscheinen 0.00975857348894	tour 0.00884467424364	gut 0.00884084189702	sänger 0.00877591080666	scheibe 0.00739552670111	gitarrist 0.00724012282494	boy 0.007160304797
topic153	bestellung 0.142985852189	versand 0.104843825437	testen 0.0744611896216	lieferung 0.0672727800596	drucken 0.0614773576276	unverbindlich 0.0529685318282	versenden 0.0429970448461	katalog 0.0303980711365	anfordern 0.0298346546444	reibungslos 0.0273915385603	anschreiben 0.0263410900462	prospekt 0.0256386861669	postkarte 0.0253986500234	senden 0.0233701334359	post 0.018774675062	porto 0.0187620109913	anfragen 0.0172567317987	allergiker 0.0137671962747	kalkulation 0.0135134310842	preisliste 0.0123440824577	schnell 0.0113999234814	druckerei 0.010779435169	kinderleicht 0.0107377566608	verpackung 0.0103338475994	zufriedenheit 0.00858175860344
topic154	gestellt 0.0970075963017	einwandfrei 0.0594846470777	glatt 0.0578879695324	aufkleber 0.0563675745594	vorsatz 0.0527837869382	barcode 0.0373227978392	kratzer 0.0347435051828	unangemessen 0.0300848598149	api 0.0272515232789	gebrauchsspur 0.0209923484756	booklet 0.0207669549444	stehen 0.0188965239644	suchanfrage 0.0184263215815	personalisiert 0.0183392556316	leicht 0.0180221042681	jaguar 0.0172178136832	verwertbar 0.0161809818952	trüb 0.0159821861629	sittenwidrig 0.013958834501	fehlen 0.0137515582089	adaption 0.0135412267811	hosting 0.0133838777415	sonderedition 0.0123685726604	kartonage 0.0115268173048	jugendgefährdend 0.0115202692886
topic155	rute 0.0684314021032	abhandlung 0.0617720691888	nächtlich 0.0598309727794	kreistag 0.0513659316173	wasserdicht 0.0468810301315	kultusministerium 0.0453759320415	visualisierung 0.0420355986544	märkisch 0.037150059402	wasserstand 0.0343423399093	industriegut 0.0307146005854	charakterisierung 0.0294589449038	regierungsbezirk 0.026310674939	eskalieren 0.0245361356016	beitritt 0.0218983099951	durchsicht 0.0213892891166	gemeindlich 0.0198833791785	schulwesen 0.0198679115849	kreuzzug 0.0190006125689	schülerzahl 0.015991693026	südöstlich 0.0158912036649	badestrand 0.0156462854181	kühn 0.0147096928491	mac 0.0135306516403	geschichtswissenschaft 0.0117037871209	verwickeln 0.0110859311859
topic156	liegen 0.0402001954068	groß 0.0329834229061	norden 0.0294127711388	süden 0.0274523771501	südlich 0.0199706582756	klein 0.0179936581182	weit 0.0171088758733	nördlich 0.0165598712968	landschaft 0.0162699161358	geben 0.0154100883385	see 0.0151459830361	region 0.0149235404509	teil 0.0124359506837	finden 0.0123041253152	küste 0.0122120295577	ort 0.0120732131917	gegend 0.0118105531006	gut 0.0109731827445	kilometer 0.0100909761595	osten 0.00942706039211	weste 0.00867893545257	meer 0.00865896913452	östlich 0.00779570073573	gehören 0.00749955239415	grenze 0.00741966072055
topic157	gegner 0.0901088070976	angriff 0.0837246098512	schießen 0.0600478629298	schuss 0.0532691005424	kölner 0.0432935508125	schlag 0.035246326104	treffer 0.0310971050587	kugel 0.0298595016426	gegnerisch 0.0274431912473	abwehr 0.0243739461114	angreifer 0.0217744791201	konter 0.0182943495588	strafraum 0.0181908104604	deckung 0.0150422642694	schlagen 0.0141605141809	treffen 0.0111277380495	erspielen 0.0110338969333	gegenspieler 0.00964131042338	feuern 0.00899009090195	spielverlauf 0.0088490570253	torschütze 0.00872425131588	anfangsphase 0.00801005824881	taktisch 0.00773753128755	verteidigen 0.00773275250485	zielen 0.00750224306288
topic158	radikal 0.0267275144935	lüge 0.0244811131391	devise 0.0237366271304	selbstmord 0.0205902648648	missstand 0.0193226885839	neid 0.0181064889976	tragödie 0.017962294809	überlebende 0.0171344722329	menschlichkeit 0.0169221505141	lügen 0.0167940281979	manipulation 0.0158771268989	entkommen 0.0155845282732	hass 0.0147998652626	schmerzlich 0.0142768998816	frustriert 0.0133682097592	projektgruppe 0.0131158296309	fiktion 0.0129237087766	kinderbuch 0.0121961896636	ausweg 0.0109687325424	zwickmühle 0.0106857661536	dubios 0.010114163866	korrupt 0.00989501578059	machenschaft 0.00964498802993	wahnsinn 0.00955747273442	entlarven 0.00913784144569
topic159	recht 0.389618142834	ober 0.14126882119	linken 0.111744824633	unter 0.0961712586853	mitte 0.0607928482542	container 0.0216044494038	mittler 0.0205540214899	schleife 0.0122175284327	balken 0.0119735926511	kindergeld 0.0112832898455	anheben 0.0101284793862	edelstein 0.00884310040258	mittig 0.00884130794519	befinden 0.00834220911422	program 0.00756573694874	bereich 0.00746552211011	südwest 0.00514492643919	windmühle 0.00427061846983	hälfte 0.00385520245718	eile 0.00328032023272	osterfest 0.00314668458051	dienstreise 0.0030780091297	oktave 0.00289264584101	wippe 0.00236321015663	fischfang 0.00232900081235
topic160	gut 0.0566378298284	geben 0.0256282519058	machen 0.0239238510374	brauchen 0.0215456685402	erfahrung 0.0169703042303	nehmen 0.0141350719941	gehen 0.013263939598	einfach 0.0121925774653	empfehlen 0.0115193625082	klein 0.0106800800993	lassen 0.0104269077959	problem 0.00932500148417	groß 0.00908675286013	richtig 0.00906930466339	normal 0.00888971771587	halten 0.00871635576599	bekommen 0.0085011573905	sehen 0.00826753378559	kommen 0.00824062484517	schnell 0.00814413050499	gleich 0.00797824799266	recht 0.00792659465842	fall 0.00764102415357	reichen 0.00722304408526	sicher 0.00710178410722
topic161	logo 0.203396075302	stadtteil 0.119983176421	kommissar 0.0388319801304	überdacht 0.0335992288975	essener 0.0289048976172	putz 0.0283589071704	gotisch 0.0245262661159	bauart 0.023841622088	vereinzelt 0.0235242259512	bildlich 0.0234362809908	gesprochen 0.0203489173683	zeche 0.0202232668943	flüchtig 0.0197499980475	weltkulturerbe 0.0180839977471	verschiebung 0.0167978429435	herausragender 0.0163843799634	fundstück 0.0149904067685	tischler 0.0128003780206	schriftzug 0.0126036831896	schwager 0.0123480889184	presseerklärung 0.0122132475493	studienfach 0.011496567088	überdachung 0.0109563147253	gesprächskreis 0.0105011236942	schnittpunkt 0.0104071075292
topic162	schaden 0.429312218907	grob 0.048290748065	haften 0.0344509769222	verursachen 0.0282000215711	anrichten 0.0225111028784	fake 0.0215883886269	entstanden 0.0211288399703	vorsicht 0.0210991728133	niedersachse 0.0208644543062	akzeptabel 0.0152034994268	baufinanzierung 0.0150023735052	check 0.014889925301	gedeckt 0.0144762375268	fahrlässig 0.0144434053806	vorhalten 0.0126045880133	verursacher 0.0121069698177	stufen 0.0117959410253	fahrlässigkeit 0.0106887653081	zufügen 0.0101748610697	scout 0.00979512351104	lichtblick 0.00955219859545	privatwirtschaft 0.00827952086613	entstehen 0.00791293357257	gemeint 0.00698082094137	inka 0.00659122040347
topic163	erde 0.146031152654	stern 0.121796516358	sonne 0.0798101586525	planet 0.0648181217762	himmel 0.0529137137364	mond 0.0469666029275	universum 0.0249053594733	zwerg 0.0240718715571	wolke 0.0195763068239	feuerwerk 0.0182589154087	groß 0.0177777141282	rakete 0.0137513783526	mars 0.012699246905	pyramide 0.0125153838004	komet 0.00917423926405	hell 0.00757204425576	countdown 0.00741505251384	sehen 0.00695400452652	teleskop 0.0065716506581	beobachten 0.00652495153082	astronomie 0.00630616385415	astronomisch 0.00624769844474	weltall 0.00624240434477	sonnensystem 0.00610141715455	galaxie 0.00582590574927
topic164	unterlage 0.239093622109	haustür 0.0640323014296	temporär 0.040410553735	forst 0.0367944281856	frost 0.0361620674805	sonstige 0.0352570640669	zweifelsfall 0.0319459308474	dolmetscher 0.0293646467783	andauern 0.0245141868533	ausgelegt 0.0240510085869	gebacken 0.022788292073	bahnbrechend 0.0221281797887	sandstein 0.021511916841	raumfahrt 0.0187302459708	gastronomisch 0.0179184434749	burgdorf 0.0171306170965	anlieger 0.0166267068051	fachsprache 0.0155301051671	örtlichkeit 0.0140581424367	starnberger 0.0139692468769	flächig 0.0133360701487	koffein 0.0132982897803	vorgebracht 0.0122038490009	thrombose 0.0119558730238	dachfläche 0.0118824413975
topic165	monat 0.56209224903	privat 0.308261040638	badeanzug 0.0200126567712	umziehen 0.00960173773472	elternzeit 0.00878249473859	alg 0.0074390736932	grundversorgung 0.0065781690123	selbständigkeit 0.00502693314482	sommerurlaub 0.00441900393217	bundessozialgericht 0.00387255604079	lang 0.00354261632557	bedürftigkeit 0.00337824561995	gesamthöhe 0.00265105777532	versicherungspflicht 0.00263657233337	umkleidekabine 0.00245404931636	geben 0.0024391791155	zeitraum 0.00230789268322	strandurlaub 0.0022551119562	zahlungsunfähig 0.00222954370369	rentenkasse 0.00206712350044	leistungspflicht 0.0018064907606	selbständige 0.00143468082202	finanziert 0.00141919962961	zahler 0.0013749751024	ruhen 0.00135610336972
topic166	angebot 0.466313548975	anbieter 0.103269687692	club 0.0629158784622	anbieten 0.0496786899432	bieten 0.0385966161046	finden 0.0188252761026	attraktiv 0.0180143206012	schnäppchen 0.0173242081324	stöbern 0.0122055910968	angeboten 0.0103781319239	geben 0.010292289692	gut 0.00642851797653	nutzen 0.00607243651393	zeitarbeit 0.00605287984167	tagesaktuell 0.00513321918351	aktuell 0.00511893938249	direkt 0.00503136712381	möglichkeit 0.00485137682244	verschieden 0.00479802449352	richten 0.00473660535129	interessant 0.00462305633711	informieren 0.00450404753148	beraten 0.00408367933934	speziell 0.00380534433602	elternabend 0.0035910395081
topic167	vergeben 0.0818596667537	bewerbung 0.0770567448302	agentur 0.0747736141392	bewerben 0.0641597896045	auszeichnung 0.0606259246019	jury 0.0464394724856	erhalten 0.0404726007779	landrat 0.0383862669346	gründer 0.0343721124943	geschäftsführer 0.0255706376208	lebenslauf 0.0217770955463	würdigen 0.0215869221403	preisträger 0.0209936394874	feierlich 0.0189581605654	freuen 0.0183734167451	gut 0.0175839068982	einreichen 0.0135264321045	preisverleihung 0.0133125961496	scheck 0.0125100279773	geschäftsführerin 0.0124299833963	kategorie 0.0121238602196	werdegang 0.0113689364036	gewinner 0.0107493601686	erfolgreich 0.0104040923814	bewerbungsunterlage 0.00993534247699
topic168	kasse 0.208373838835	neuigkeit 0.115062451715	pünktlich 0.0778260533394	sensationell 0.0678434029511	onkel 0.0499236222031	gestein 0.0487501703958	college 0.0384298052164	geologisch 0.03474067555	gekonnt 0.0264468572577	ungebrochen 0.0260133786549	buchführung 0.0219841403043	geologie 0.0190692293837	schwiegermutter 0.0187268811329	sheriff 0.017316227351	deklarieren 0.0169734506727	entlohnung 0.015182451101	spitzenposition 0.0143338510481	brennbar 0.0137312731121	bekleiden 0.0114614653745	buchhalter 0.00992563723026	geologe 0.00964933758155	betriebsergebnis 0.00898985638433	anstandslos 0.00873880384614	kontostand 0.00802155908751	schiefer 0.00764590637878
topic169	vorteil 0.408095964071	nachteil 0.141800398878	autofahrer 0.0487106477494	tanken 0.0467184005498	staubsauger 0.040114117448	müll 0.03862537361	angepasst 0.0190734549082	aufsicht 0.0181274557802	geografisch 0.0176253823247	kolloquium 0.014532266415	verschleiß 0.0137901377121	einbuße 0.013687059534	unverständnis 0.0132825749086	neuwagen 0.0130222662525	leasing 0.0128929821684	vorausschauend 0.0109789848247	dreck 0.00989957212901	vielfache 0.00954019051116	vertiefend 0.00862726663365	kanister 0.00781681146755	irrtümlich 0.00763667387848	einbiegen 0.00734706121242	sommerreifen 0.00663481702917	pendler 0.00611827380357	wegfahren 0.0058407079462
topic170	prozent 0.137437769457	jahr 0.0434883020736	liegen 0.022870169065	hoch 0.0203847632557	deutlich 0.020325623185	anteil 0.0163150988079	gut 0.0150026038149	zahl 0.0130428242404	vorjahr 0.0128331440191	steigen 0.0128025394741	stark 0.0119078346728	durchschnittlich 0.011687082191	vergleich 0.0106084087303	drittel 0.0106067290618	sagen 0.0105405244846	groß 0.0102131825889	zeigen 0.0101155299136	gehen 0.00952189806036	vergangen 0.00948630912681	aktuell 0.00919135417831	knapp 0.00918726103642	geben 0.00814534476482	hälfte 0.00714237161945	durchschnitt 0.00707950228528	sinken 0.00620555474403
topic171	verhalten 0.262446136846	betroffene 0.112269476064	störung 0.0998539741004	betroffen 0.0731223421667	ereignis 0.0598670483056	aggressiv 0.0336578182791	reagieren 0.0237236875383	aggression 0.0216574843379	belastend 0.0196993245161	initiativ 0.0175168581859	antragstellung 0.0145635246745	isolation 0.0145271764811	bmi 0.0125967021908	ruf 0.0107381084026	stabilisieren 0.00978954036947	hinterbliebener 0.00977027415274	nährboden 0.0094748778381	court 0.00935308525707	traumatisch 0.00930275279746	situation 0.00920120318812	einschlag 0.00893953116366	berufsunfähigkeit 0.00850243337856	krankhaft 0.00836741829613	ursache 0.00815677112949	abgrenzen 0.00800600622542
topic172	mitglied 0.175159355655	aktiv 0.0872090496447	organisation 0.0469852520697	engagement 0.0445190085075	verband 0.0431216495587	ehrenamtlich 0.0319079763327	arbeit 0.0261088045068	aktivität 0.0257819690603	engagieren 0.0211692966188	unterstützen 0.0167861290351	gemeinsam 0.015603554385	tätig 0.0149739849807	plakat 0.0130206177519	interesse 0.0128375436133	engagiert 0.0127980684447	landesverband 0.0126842330992	beteiligen 0.0118767240153	unterstützung 0.0103490179479	nehmen 0.00912265811529	tätigkeit 0.00821655650668	arbeiten 0.00788128518519	regelmäßig 0.00786222496678	vertreten 0.00724796734859	gehören 0.00699278353941	freiwillig 0.00693517421968
topic173	wissenschaftler 0.21138667834	forscher 0.130230142138	atmosphäre 0.0652234050493	klimawandel 0.0455404838895	wal 0.0409460499827	global 0.0300465203258	erkenntnis 0.0280665984949	sagen 0.0221444108801	square 0.0213602190837	talk 0.0197997369099	erklären 0.0179184797602	gelöst 0.0169564191525	kohlendioxid 0.0167661109127	weltweit 0.0164783719842	aids 0.0144924659418	überschwemmung 0.0140203796261	spielerei 0.0122552041648	koralle 0.0117613468124	fallout 0.0111095023727	menschlich 0.00990373746491	addon 0.00950996433079	forscherin 0.00870857598341	bruchstück 0.00851241613694	herausfinden 0.00831017915273	prognostiziert 0.00823670525036
topic174	link 0.427985365886	liste 0.204343438643	internetseite 0.0626995511354	geschützt 0.0292411388314	verweis 0.0275870620602	seite 0.026917738732	angeboten 0.0228538623862	hinweis 0.0179049437034	verweisen 0.0123467764755	verknüpft 0.0114019929286	zuschicken 0.0108835826489	schulgebäude 0.00916970706688	weit 0.00858661924424	beachten 0.00731087325171	aufrufen 0.00717349392488	aufgerufen 0.00697666949346	dealer 0.00665537862105	branchenbuch 0.00631160272812	jeweilig 0.00613633162411	entfernen 0.00556513651504	wuppertaler 0.00527028698631	folgend 0.00524721761462	funktionsfähigkeit 0.00516718839956	auswerten 0.00485921115118	durchblättern 0.00476515961636
topic175	deutsch 0.901952387794	sprache 0.0137950244149	ausländisch 0.010678045026	sprechen 0.010157995688	muttersprache 0.00590946826652	ausdrucksstark 0.00382137862648	sprachförderung 0.00377598593581	fünfjährig 0.00377226673023	wortschatz 0.003161873777	standbein 0.00280416232881	alleinerziehende 0.0026822558444	sprachlich 0.0025123308732	deutschkenntnis 0.0022925677291	verständigung 0.00199256098659	mittenwald 0.00179010849586	aussiedler 0.00172277697397	deutschlehrer 0.00171212475235	offiziell 0.00143097662456	arrangiert 0.00134667779242	testverfahren 0.00131687709833	hausaufgabenbetreuung 0.00128120845211	rektorin 0.00126326120093	umsatzwachstum 0.00125706943799	astrologe 0.00117192782896	kirchenlied 0.00107626700415
topic176	partner 0.289808470394	beziehung 0.159208241648	paar 0.0785819140031	partnerschaft 0.072397648504	gemeinsam 0.0712738547057	lebenspartner 0.0295587462786	partnerin 0.0223697639517	single 0.0191766936189	gegenseitig 0.0165644772852	tochtergesellschaft 0.0133068019568	kennenlernen 0.0117362228898	seitensprung 0.0114537408687	partnerschaftlich 0.0111792019171	flirten 0.010651089575	implementieren 0.0104685521273	immateriell 0.00784937192193	warteliste 0.00775792626473	flirt 0.00728100565327	klarstellung 0.0065980352972	beachtet 0.00659704570565	verabreden 0.00587134158864	partnersuche 0.00564784770846	busreise 0.00560728481929	schüleraustausch 0.0052249325573	hemmschwelle 0.00478490402872
topic177	probe 0.223286743759	überreichen 0.0733943534431	bayrisch 0.0566295621361	westfälisch 0.0444852613008	beförderung 0.0418484544541	pfingsten 0.0403729609323	vergrößerung 0.0339682373917	aufmachung 0.0309012931171	vermessen 0.0301844921175	festzelt 0.0267951073572	morgenstunde 0.0239251779926	spielmannszug 0.0209390516363	montiert 0.019037911757	lagerbestand 0.0170347705308	schützenverein 0.0168072473462	kinderheim 0.0166940508405	vereinsgeschichte 0.0157438458369	ausgestellt 0.0150136676119	leutnant 0.0143259353261	tuba 0.0141315133173	geburtsort 0.0140650338191	liebend 0.0135845243678	kosmos 0.0132378594889	zapfen 0.0126005011831	zeitmangel 0.0119704742319
topic178	mode 0.098882616626	freizeit 0.0916891698194	beliebt 0.085889922772	vergnügen 0.0418375762938	akzent 0.0399388973281	pur 0.0327496642099	vielseitig 0.029998577873	reichhaltig 0.0293697035999	abwechslung 0.0267871841209	tennis 0.0260754282965	runden 0.0233457366286	sommerlich 0.0228787429112	tummeln 0.0215025724729	botanisch 0.021034346643	fashion 0.0195676725335	exotisch 0.0190444759514	gartenmöbel 0.0170163775827	tierpark 0.0158264512317	sonnenschutz 0.0153716954393	freizeitpark 0.0149045343771	hingucker 0.0147060117672	erfahrener 0.0146720012263	klassenfahrt 0.0132312399093	pendant 0.0126906610068	urwald 0.0125325414166
topic179	klein 0.296269308072	groß 0.162378296447	baby 0.0271753758259	kleine 0.0231047587249	größe 0.0223804010362	maus 0.0185082083487	mama 0.013674516787	geben 0.011424586004	bekommen 0.0113799292839	dick 0.010278795888	schlank 0.0087563436138	papa 0.00818831003011	große 0.00806529862197	gut 0.00799158539399	halten 0.00781526960776	fressen 0.00755152617579	erst 0.00738075635497	lassen 0.00670953038751	schnell 0.0061680872943	kommen 0.0060666151456	süß 0.0060516416787	kot 0.00601422275969	welt 0.00560643138017	wachsen 0.00555279931175	lang 0.00555226016002
topic180	redaktion 0.214503549663	bezug 0.0970883059061	stichwort 0.0894818460653	rezension 0.0761499250247	sektor 0.0419779259434	reportage 0.0376346202968	urheberrechtlich 0.0338839789429	beirat 0.0330345066614	versandkostenfrei 0.0303938769106	absprache 0.0276139933144	präsidentin 0.0270105999289	hörsaal 0.0188543363027	kurdisch 0.0179367271685	kompetenzzentrum 0.0147721919126	paritätisch 0.0123084628474	wohlfahrtsverband 0.0113950200027	friedensbewegung 0.0109269783791	ermordet 0.0101171039168	abschiebung 0.00988731334838	somalisch 0.0097828379647	absetzbar 0.00911283152709	erschwert 0.0087868385635	volksabstimmung 0.00869692131406	leserinnen 0.00831587520206	fachinformation 0.00772237461918
topic181	anregung 0.152782103991	dialog 0.13014747529	kritik 0.110497185566	community 0.107537361559	erzieherin 0.0581796215404	psychologie 0.0439316903534	pädagogik 0.035145025172	hörbuch 0.0303293372607	pädagoge 0.0288838339218	pädagogisch 0.0277938033935	lehren 0.0269575416289	erziehung 0.0211981154707	didaktisch 0.0192155193647	gemeindehaus 0.016849617208	professorin 0.0165603670943	studiert 0.0138828719037	preisgekrönt 0.0134443293382	dozentin 0.0123839491176	büchlein 0.0122676532174	sakrament 0.0121139658184	wegdenken 0.0113727699932	didaktik 0.0105108123401	forschungsschwerpunkt 0.0102338424403	erziehungswissenschaft 0.00942457222338	klassenkamerad 0.00866175225333
topic182	zuhause 0.162737214633	pass 0.161620675382	garage 0.113023345531	wunderschön 0.0822499818838	spitz 0.0613227400432	hauch 0.0375841351485	stiefel 0.034479079673	eckig 0.03080406294	flanke 0.0292079899974	lobby 0.0264723654277	wohltuend 0.0226024592073	brav 0.0213037962724	skin 0.0202328016644	fitnessstudio 0.0191050937417	sehnsüchtig 0.0176501817125	gestrichen 0.0151292463302	kriminalpolizei 0.0123080644737	bandscheibenvorfall 0.0114275416373	drehleiter 0.0104492188903	papi 0.0097498004954	patientenversorgung 0.00830519910849	herzchen 0.00803677273638	brandursache 0.00802900176083	vorbesitzer 0.0072250584928	kinderschutzbund 0.00721205581142
topic183	übernahme 0.186176164082	schreibtisch 0.103880535592	heizung 0.070624063413	ritual 0.0680235950093	tibetisch 0.0514288932363	aufräumen 0.0502399795755	angemeldet 0.0491321048169	bezirksregierung 0.0427932624336	schulleitung 0.0349265754471	tibeter 0.028113104889	riegel 0.0269863971157	weiterführung 0.0241876883074	laminat 0.0225453322017	schulhaus 0.0219104377269	spezialgebiet 0.0217286346326	schallplatte 0.0215948723018	pipeline 0.0213472678055	desolat 0.0197007267089	komplettlösung 0.0134059161923	bademantel 0.0124816640863	gerichtsurteil 0.0122066647401	aufbauarbeit 0.00906368987583	traditionsunternehmen 0.00828918025042	advokat 0.00672986706238	wärmeversorgung 0.00618399122785
topic184	feuer 0.135730967	brennen 0.085378977456	brand 0.0590268430298	kamerad 0.0463686079731	wehr 0.0414329100203	horizontal 0.0349456397906	vertikal 0.0327619795151	kristall 0.0322399017802	rauch 0.0189064578519	mutation 0.0158593445007	kommandant 0.0150095611149	verbrennen 0.0148671722895	benachbart 0.0148247849611	einsatzort 0.0128787597852	feuerwehrmann 0.0128397101399	schwinge 0.0123303253168	feuerwehrleute 0.0120837033009	löschen 0.011846371002	kameradschaft 0.0109192292842	symmetrisch 0.0105673557351	vorrichtung 0.00878051298569	projektion 0.00862422557206	stimulation 0.00831596638693	sirene 0.00828007821119	entgegengesetzt 0.00826384292416
