topic0	intern 0.239484975317	sperren 0.0527377663754	klinikum 0.0406459347849	sperre 0.0385961572507	freigeben 0.0337921961521	heidelberger 0.0260115725237	touchscreen 0.0242914141708	memory 0.0240189468173	nokia 0.0237664681216	verlegen 0.0229396612029	kies 0.0205938734228	editorial 0.0180266538965	dicke 0.0177676099026	speicherkarte 0.0167245921903	mitbewerber 0.0159649408145	anfangszeit 0.0143081743988	schreibend 0.0136930558746	eingabefeld 0.0133623884308	lesend 0.0120979203411	privatleute 0.0110862821355	sortiert 0.0103372261536	ambulanz 0.0102915120182	verfuegung 0.00995531732395	überprüft 0.0097918772061	gemeinschaftsprojekt 0.00963115893689
topic75	alt 0.320733496667	jahr 0.0462678341721	neu 0.0401480742134	gebäude 0.0396376207655	ehemalig 0.0364637159102	dorf 0.0316013683214	turm 0.0291713909458	mauer 0.0194886136475	dach 0.0154208533793	fassade 0.0149108109807	stehen 0.013742691549	säule 0.0113207073367	denkmal 0.0102287958744	kapelle 0.00981554856828	befinden 0.00898179286615	kathedrale 0.0078789762164	tower 0.0071037659431	wiederaufbau 0.00654720401387	residenz 0.00610329946636	brandenburger 0.00571461560551	bauen 0.00564851223237	innere 0.00530602248196	erinnern 0.00527010319197	ort 0.00510419067465	pavillon 0.00508956417954
topic76	trick 0.155652191982	anlegen 0.0824329470544	banner 0.0728995244736	verlinken 0.0619403330284	schalter 0.043868319236	sonderangebot 0.0392020732092	schalen 0.0315504120584	stop 0.0287485678457	ausschalten 0.0285246403592	variant 0.0245848377435	holding 0.0239030320536	rarität 0.0162691094918	abzeichnen 0.0148572459628	horrend 0.0139804431792	irritierend 0.0111239364933	verfolgte 0.0108045577296	fläschchen 0.0105892569468	wickel 0.00887672202075	gesteckt 0.00825115272306	wissenswert 0.00824031286627	kundschafter 0.00811117088877	belustigung 0.00807681823815	downloadbereich 0.00783976062785	taster 0.00780647038346	kreisvorstand 0.00772770675575
topic77	gut 0.0751542107597	finden 0.0665501123099	echt 0.0361460226325	sehen 0.0301737064829	einfach 0.0300690913542	wirklich 0.0256300333388	toll 0.0177926611067	machen 0.0165348736446	super 0.015616651008	schön 0.0151819714662	richtig 0.0149440559056	geil 0.0134179012482	total 0.0131185329768	kommen 0.0130634846472	sagen 0.0128753374663	cool 0.0117061678342	denken 0.010681884903	gefallen 0.0101664653292	schlecht 0.0100900135139	haben 0.00964687770892	gehen 0.00945428906277	ganz 0.0083429346816	okay 0.00743009478886	klasse 0.00737219905366	lustig 0.0070703201858
topic78	wichtig 0.0220422778955	gut 0.01957843109	eigen 0.0137969316666	ziel 0.0123708737428	neu 0.0121903630386	machen 0.0104066963266	weg 0.0095107293899	aufgabe 0.0094970941004	gehen 0.00847457305319	thema 0.00823665785673	erfolg 0.00779319247357	zukunft 0.00770924784673	groß 0.00716725833934	wissen 0.00688609580928	erfahrung 0.00682444738804	erfolgreich 0.00675937028044	nutzen 0.00668952960474	entwickeln 0.00668654844276	schritt 0.00666934710568	zeit 0.00652856111697	idee 0.0064466767553	zeigen 0.00638964715101	beispiel 0.00610898019928	herausforderung 0.005773777869	geben 0.00573875669369
topic79	gesund 0.0499653353481	ernährung 0.0424268381308	essen 0.0328398171138	fleisch 0.0247124593523	fett 0.0237852349317	abnehmen 0.0182279780875	körper 0.0180542629802	gemüse 0.0165423442148	milch 0.0158513235692	obst 0.015551510548	vitamin 0.0152539703429	täglich 0.014832446613	wichtig 0.0137286293786	lebensmittel 0.0127726520031	nahrung 0.0125350491822	diät 0.0120303971384	mahlzeit 0.0115889115668	trinken 0.0111406290518	gewicht 0.00963507314735	gesundheit 0.00917944120581	nehmen 0.00901484537385	gut 0.00877915799288	nahrungsmittel 0.0084177865653	tag 0.00825632870832	nährstoff 0.00802558029128
topic80	bericht 0.461896320478	kölner 0.0880479737562	stellenanzeige 0.0247677555742	förderer 0.0225944344987	schließung 0.0206140804637	gremium 0.0203901695636	umsetzbar 0.0169254927991	halbieren 0.0158962739775	briefwechsel 0.0146663143709	essig 0.0135166076328	stellenmarkt 0.0129437677671	hysterie 0.0116120410826	jahresbericht 0.0111088503883	gerechte 0.0105351307507	verfeinern 0.0104113556099	streuen 0.0101573745707	atombombe 0.0100564392178	kinderlos 0.00979604497531	bergung 0.00963899674846	olive 0.00950364972751	polen 0.00885462632154	während 0.00834232960137	lobby 0.00820978831268	ausführlich 0.00800782644404	palais 0.00792194077285
topic81	akzent 0.05088912559	altern 0.0269810788238	aufgebaut 0.023456293704	formen 0.0221479308874	naturnah 0.0202194285132	plastik 0.0193892535145	vermarktung 0.0189655576369	pariser 0.0176926272094	schneide 0.0166693505756	bergbau 0.0150470111049	personalisiert 0.0146961944109	methodik 0.0136398908133	betont 0.0127272237271	patientenverfügung 0.0117794315617	schlachthof 0.0114081916209	vital 0.0110958948183	strukturwandel 0.0109840514317	filmaufnahme 0.0108275826028	partiell 0.0105895937703	wohneinheit 0.0105294882628	fingerspitzengefühl 0.0103374781795	introvertiert 0.0100140383327	vernachlässigung 0.00996481876039	wohltat 0.00984680563597	counter 0.00926019621699
topic82	veröffentlichung 0.0428911154197	quelle 0.0410515933967	archiv 0.0385317951139	elektronisch 0.0373905776463	autor 0.029266587104	text 0.0280923502771	teil 0.0277882727848	lizenz 0.0239610625096	publikation 0.0224675240724	grafik 0.0173835429966	verwendung 0.0137138796513	zugänglich 0.0136637087325	kommerziell 0.0126704704905	gedruckt 0.012413539684	information 0.0121567113836	nutzung 0.0114983520866	urheber 0.0111621124409	vollständigkeit 0.0102197407056	verweis 0.010175771811	internetangebot 0.0100202118567	technisch 0.00964295544105	urheberrechtlich 0.00963661361764	frei 0.00929990532726	vollständig 0.0091396909324	veröffentlicht 0.00898664709141
topic83	licht 0.115759286623	aufnahme 0.0642035375087	auge 0.0434255375669	dunkel 0.0329860558761	lampe 0.0278720518616	hell 0.0276960273755	schatten 0.0182162199422	beleuchtung 0.0179355681949	laser 0.0156487859926	blitz 0.0155089881624	leuchten 0.0132935403187	pixel 0.0125925114306	linse 0.010514176511	leuchte 0.0102139843991	sehen 0.00978517153895	sichtbar 0.00956841538736	helligkeit 0.00950053696505	kontrast 0.00800719209787	objekt 0.00743760593145	strahl 0.00717993706039	megapixel 0.00708216807461	optisch 0.00692006354095	elterngeld 0.00673331463156	sonnenlicht 0.00654399826558	zoom 0.00637239363097
topic84	tasche 0.144277574753	koffer 0.0617841106905	duo 0.0479056245337	korb 0.0377587656873	mütze 0.0293385579399	botanisch 0.0247423334099	schal 0.0244571842875	packen 0.0237138431358	geschmackvoll 0.0202454292884	schläger 0.0179452634604	pendeln 0.0173225822439	umsteigen 0.0172460670424	fräulein 0.0154310724822	hoffnungsvoll 0.0151629045903	stundenplan 0.0139545082006	luna 0.0137171957839	überschlagen 0.012778664761	routiniert 0.0126775989639	bereitwillig 0.012464262477	warner 0.0120841614108	kaugummi 0.0115950802745	photon 0.0112276272998	regensburger 0.0109729185575	traben 0.0107567367399	verschollen 0.010717907758
topic85	schön 0.102488546077	gut 0.0216460914621	klein 0.0203682665152	wunderschön 0.017475116678	groß 0.0170187953457	bunt 0.0159564364906	wunderbar 0.0142370081337	machen 0.0133570474225	elegant 0.0132297423537	perfekt 0.0130993804077	hübsch 0.0127940181883	passen 0.011184089815	lassen 0.0110490630572	farbe 0.0109970741603	geben 0.0109164374993	aussehen 0.0104829003613	schick 0.00901107098275	edel 0.0084614425811	sexy 0.00780001884212	schönheit 0.00723548942356	toll 0.00684822999516	lang 0.00684313291541	finden 0.00682869876588	sehen 0.00666307728579	tragen 0.00658570277594
topic86	katze 0.106522409704	klein 0.0901610003917	baby 0.0477422456152	futter 0.0335513391888	maus 0.0321780333162	kleine 0.030397005897	fressen 0.0265458869671	mama 0.0192586451815	groß 0.0180615204314	füttern 0.0175644922075	kater 0.0152691492766	kaninchen 0.0144603988332	käfig 0.0139075470024	ratte 0.0119583153978	papa 0.011163090262	süß 0.0107914140946	tierarzt 0.0106669930579	alt 0.010223560964	bekommen 0.00934013042641	lieb 0.00876935199838	spielzeug 0.00805909750882	haustier 0.00781407877033	kot 0.00770347676862	switch 0.00714940825636	rudel 0.00629328356529
topic87	name 0.249137162227	nummer 0.247324678496	rot 0.16440083112	blau 0.0590209081764	gelb 0.0473600165663	kalender 0.0293126150277	golden 0.0269640682269	spender 0.0140941889181	karneval 0.0115277060169	heißen 0.0111986051923	gesundheitsamt 0.00716338599948	inserieren 0.00570136583937	gewächshaus 0.00499828890399	verpackt 0.00496659481794	sack 0.00465760573907	fasching 0.00398613811919	gefunden 0.00384642694089	silbern 0.00371749035211	sperrig 0.00369798950916	bäumchen 0.00362444013993	schnickschnack 0.00355918863166	ungarisch 0.00348456862038	plastiktüte 0.00331842661125	wassermenge 0.00311762649536	aprilscherz 0.00298125443717
topic88	wein 0.188552853552	glas 0.103673554586	jahrgang 0.0741445859006	brille 0.0397697283295	wirt 0.0259762285163	kulinarisch 0.0245166752712	brunnen 0.0244761585873	flasche 0.0187195746756	trinken 0.0181077844484	weinberg 0.0169092488898	reservierung 0.0165844645695	weingut 0.0154168934142	kontaktlinse 0.0144183430984	winzer 0.014154912679	trocken 0.013828765893	kaufmann 0.0121706458091	erzeuger 0.0109677663169	gedeckt 0.0101236476888	erlesen 0.0099757193104	sitzbank 0.00937172613552	südafrikanisch 0.00919884772024	mailadresse 0.00819400091026	weißwein 0.00792184270688	lage 0.00780819118989	steinern 0.00776441371217
topic89	hamburger 0.201928993126	schlange 0.0543483828525	diagramm 0.0316060915536	mimik 0.0210896300985	bart 0.0209301989602	koordinate 0.0209278541766	collage 0.0167985141922	kick 0.0165379331992	behaglich 0.0162319608873	festsaal 0.0145090257755	norweger 0.0143979052869	naturwunder 0.0142192754641	grosse 0.0139444378985	würgen 0.0137876161211	eitel 0.0136777300556	wall 0.0136733721295	gestik 0.0132199080526	pfeiler 0.0124513026898	herrenhaus 0.0107541951577	gleichung 0.0103454114419	stammbaum 0.010001892371	bruchstück 0.00990219170719	dichten 0.0095119500555	küren 0.00931197150507	röntgenbild 0.00870895429812
topic90	ortsteil 0.0480260242403	mündlich 0.042379746556	prüfer 0.0351304276605	anwesen 0.033806540149	notar 0.0334525823299	gefälscht 0.0262885528041	abschlussprüfung 0.0242401803183	ausbildungsberuf 0.0224674483339	vorbeugung 0.022212530079	mahnbescheid 0.0221735181874	unterziehen 0.0217017723387	probezeit 0.0205680911382	entsorgen 0.0201997658858	wirkungsvoll 0.0180829411695	bestanden 0.0180720526713	beigefügt 0.0177500127184	fälschung 0.0169868535034	ungelöst 0.0167534490277	einstündig 0.0157115955932	benützen 0.0154497954789	pollen 0.0149042760761	ansteckend 0.0147711483257	verunreinigung 0.0146570574249	fahrradständer 0.0141111024475	hygienisch 0.0134286310564
topic91	problem 0.0708625523139	gehen 0.0303860989149	funktionieren 0.0232720358654	geben 0.0200439867114	fehler 0.0184779269392	helfen 0.0182605579433	dank 0.0169241561025	laufen 0.0161146260548	machen 0.0160203836896	liegen 0.0153197046193	tip 0.0145251192117	richtig 0.0144392294357	einfach 0.0143813528305	kommen 0.0135235795443	wissen 0.0120863203286	lösung 0.0119191481539	bekommen 0.0116897557291	falsch 0.010394925328	hilfe 0.0102816304053	versuchen 0.00969975376156	genau 0.00938178345512	gleich 0.00934919744746	stehen 0.00927694817933	brauchen 0.00818362184313	forum 0.00746923393314
topic92	zwerg 0.0532404366659	häftling 0.0421271861042	arena 0.0379135594285	teufel 0.0362348085478	monster 0.0295890434416	traktor 0.0247821132401	flöte 0.02241335784	sensation 0.0213717868447	koreanisch 0.0201484871094	bäckerei 0.0185296853584	psychotherapeut 0.0180299020747	legion 0.0180093530614	vertriebene 0.016579180861	unwetter 0.0157836743569	stehlen 0.015535931472	rote 0.014853073814	igel 0.0139781912396	hommage 0.0127455337905	programmheft 0.0126034672703	ritt 0.0123694872768	grundstruktur 0.0119953939057	gehoert 0.0119595584223	scheide 0.0116504097459	philharmonie 0.0112287694198	sechsjährig 0.0109443130697
topic93	liebe 0.0969316853291	lieben 0.0551417738473	freund 0.052583447839	lieb 0.0424227007179	herz 0.037117183814	leben 0.0324065835389	gefühl 0.0235671000231	freundin 0.0219452448787	beziehung 0.0217349021273	glücklich 0.0163956427352	fühlen 0.015915630527	tun 0.0144007496868	glück 0.0116035459032	sex 0.0104411774701	freundschaft 0.010014805395	schön 0.00750860214156	denken 0.00716465704622	lust 0.00713764292503	angst 0.00706605424385	schatz 0.00704230769099	wissen 0.00695687107293	gehen 0.00670121404522	leid 0.00655174499938	traurig 0.00613652037985	kennen 0.00588773513274
topic94	europäisch 0.368825192734	national 0.0815981962643	kommission 0.0573772205046	union 0.0573219175333	richtlinie 0.0330394505032	ebene 0.0271388219166	mitgliedstaat 0.0257499525828	rat 0.024505969665	parlament 0.022000187062	international 0.0170902587491	europaweit 0.012705870348	grenzüberschreitend 0.0100092528708	agenda 0.00955120214108	ausarbeitung 0.00901319117788	komitee 0.00865099872441	gemeinsam 0.00864453822979	forschungsinstitut 0.00811462805367	bot 0.00775251264966	vertrag 0.00743976841008	einheitlich 0.00687988067444	land 0.00597281808512	letter 0.00582516073392	röntgen 0.00558412685628	regierungschef 0.0055275798728	teamarbeit 0.00549556261447
topic95	reise 0.384041578913	reisen 0.102139654007	ostern 0.041814976705	reisende 0.0399959163393	reisebericht 0.0208568002163	reiseziel 0.0199837838777	kommissar 0.0182126702666	schottisch 0.0169051620621	patron 0.0147980596345	auslese 0.0117443766169	wohnwagen 0.011334305262	bereisen 0.0103653379748	kenntnisstand 0.0102540056111	urlaubsziel 0.0100856025819	tinte 0.0100739566495	widmung 0.00997769306388	wohnmobil 0.00977453221976	jaguar 0.0096682837294	reiseführer 0.00910017444472	jahreswechsel 0.00887814500656	streich 0.00869528869896	abreise 0.00865285695671	langstrecke 0.00842585579161	vorstadt 0.00753886472041	vatikan 0.00750760817086
topic96	frau 0.452801367858	mann 0.193147857285	sexuell 0.0269154641759	mädchen 0.0210604076327	weiblich 0.0195096928894	geschlecht 0.0182024407632	jung 0.0181877136698	männlich 0.0157074052233	sex 0.0102493909577	schwul 0.00810679277767	sexualität 0.00635222622206	alter 0.00541498048871	paar 0.00537755659966	homosexuell 0.00524930587417	schwule 0.00470538985886	gleich 0.00392849065397	lesbe 0.00384106826536	lebenspartnerschaft 0.00365413312344	homosexualität 0.00347836170946	moderatorin 0.00324225506618	junge 0.00315763325735	gleichberechtigung 0.00310964267385	aktionsplan 0.00303783325311	gleichstellung 0.00297449657602	gleichgeschlechtlich 0.00291130165324
topic97	datum 0.260530656152	datenbank 0.0413504170307	information 0.0283555982261	datenschutz 0.0217899392125	speichern 0.0188210952302	eingabe 0.0183383365352	elektronisch 0.0120423350203	cookie 0.0114292523782	persönlich 0.0108089981048	angabe 0.0107184995693	vertraulich 0.010611122082	zugriff 0.0103247597978	extern 0.0101770595125	personenbezogen 0.00973246457786	datensatz 0.00968943849603	gespeichert 0.00963303691511	speicherung 0.00850034892312	anschrift 0.00784120880514	auswertung 0.00781900236413	nutzung 0.00737366013046	ergänzen 0.00683143432802	name 0.00678185596337	privatsphäre 0.00650761520377	abfrage 0.00618007017482	löschung 0.00586383631986
topic98	ausbildung 0.0738785495287	beruf 0.0421450672098	beruflich 0.0341079167335	arbeiten 0.022323805164	bewerbung 0.0218084935978	job 0.021782966621	suchen 0.0209798170141	tätigkeit 0.0197978353322	weiterbildung 0.0176346993464	aufgabe 0.0172842448582	bereich 0.0169077833881	jahr 0.0148273240898	bewerber 0.0133343403139	stelle 0.0128278704054	bewerben 0.0115536725112	qualifikation 0.0114459347525	praktikum 0.011224389965	gut 0.011136888152	arbeit 0.0094253844406	tätig 0.00921251278368	erfahrung 0.00896165416412	fachhochschule 0.0087912642124	auszubildende 0.00824454604702	selbständig 0.00820584539454	jung 0.007790691071
topic99	inhalt 0.143393262369	seite 0.0529612963628	ausdrücklich 0.0367644374481	betreiber 0.0269968109988	übernehmen 0.0252876123975	verantwortlich 0.0218820482268	dritte 0.0214327474526	angabe 0.018969237195	möglich 0.0183436269797	gewähr 0.0177761819311	jeweilig 0.0173879979798	link 0.0167921299431	nutzung 0.0165575857327	urheberrecht 0.0162196782975	haftung 0.0159040441386	verlinkt 0.0147357006824	information 0.0145544168904	zeitpunkt 0.0123619251761	distanzieren 0.0118281737009	fremd 0.0114442955072	richtigkeit 0.00970801279696	angebot 0.0093725216518	zustimmung 0.00921740797651	unterliegen 0.00901869510767	webseite 0.0084249569197
topic100	saison 0.0545946598708	verein 0.0421364865982	jahr 0.0349543757336	liga 0.0308493727412	fußball 0.0285002383208	spieler 0.0269451963944	neu 0.0203100561559	stadion 0.0200958963753	spielen 0.0192340445978	bundesliga 0.0144430769046	trainer 0.0135230432396	sportlich 0.0119355816711	schalk 0.0114202047457	fan 0.010321353209	letzt 0.00964504094978	bayer 0.00893791010038	manager 0.00871467207101	stehen 0.00834728169011	vertrag 0.00814081994459	wechseln 0.00807382461992	trikot 0.00799871116339	groß 0.00759025825075	sponsor 0.00748491791678	meister 0.00719378226505	nah 0.00714929813613
topic101	deutsch 0.464413045881	englisch 0.0930675508811	sprache 0.0820557161361	französisch 0.0453542116708	deutsche 0.0417273289336	sprechen 0.0212683801398	tschechisch 0.0101108796835	niederländisch 0.00952693063121	land 0.00714658966878	latein 0.00621555844176	franzose 0.00607658596889	italienisch 0.0058352652949	grammatik 0.0048709331956	fremdsprache 0.00457662324717	stadthalle 0.00454203744651	lyrik 0.00453080222852	norwegisch 0.00444956013621	englischsprachig 0.00444580204911	ungarisch 0.00437422485201	muttersprache 0.00403003741201	deutschsprachig 0.00399291941204	holländisch 0.0036256116352	botschafter 0.00358950998617	sprachlich 0.00357608850828	botschaft 0.00346291205052
topic102	anregung 0.143309113231	signal 0.106596227705	allergie 0.0866199470713	dialog 0.0707643003044	zyklus 0.0337720485443	systemisch 0.0247009747117	aktivierung 0.0245733801805	asthma 0.0192381928266	verträglich 0.018429249444	juckreiz 0.0174625801464	seriennummer 0.0168039959378	zweifach 0.0150423556414	neurodermitis 0.0148691956854	speer 0.0144626063766	schilddrüse 0.0142230349364	erfordert 0.0126973310755	mediziner 0.0117412514165	geländer 0.010815740898	kopfhaut 0.0106956452396	motivation 0.0103886505421	mailbox 0.0100836859068	wohlbefinden 0.00969492540286	schutzhülle 0.00929403337353	ohr 0.00807407621619	auslösend 0.00782509443957
topic103	villa 0.0904135582851	brasilianisch 0.0529526060719	bundesstaat 0.0525861887562	linkspartei 0.0466580031252	rapide 0.0352213800908	diamant 0.0324455818375	beidseitig 0.0286930427342	zentrale 0.0283952328227	interlake 0.0227036547017	gekommen 0.0218487275632	genehmigen 0.0213407614665	neoliberal 0.0208822335047	mafia 0.019797913525	anfertigung 0.0189433390932	kaufkraft 0.0177437561005	einfuhr 0.0151459404069	wirtschaftspolitik 0.0142744285246	ununterbrochen 0.0141369988478	tram 0.0136732469491	kündigungsschutz 0.0136568695547	austritt 0.0127099519168	ergiebig 0.0124718682662	sozialabbau 0.012329440168	berufsstand 0.0110451248622	örtlichkeit 0.0104237280417
topic104	auftrag 0.193328366609	auftraggeber 0.0723902888086	unvollständig 0.0304339141238	pate 0.024363727621	markenzeichen 0.0196777867378	spezial 0.0188021303252	referentin 0.0183285053763	bereitgestellt 0.0174811116497	unwirksam 0.0168691170485	diskussionsforum 0.0165427219857	zurückgreifen 0.0159992465867	ausgestaltung 0.0152712821126	verantwortungsvoll 0.0150278561986	prostitution 0.0142666578781	forst 0.0126247507963	dachverband 0.0119380022469	rügen 0.011447562837	informatiker 0.0114103552837	bezirksamt 0.0111735091643	monitoring 0.010531488395	tabu 0.0101673809469	vermerken 0.010027244409	fahrstuhl 0.00996949670028	blickpunkt 0.00976691374224	eigenleistung 0.00967236865517
topic105	einrichtung 0.17917769917	messe 0.100322779808	träger 0.0537581459376	sächsisch 0.0428455435033	betreuung 0.0399708107847	kita 0.0279827252912	leipziger 0.0258883252405	dual 0.0207216480898	rehabilitation 0.0169371289941	studentin 0.0165971887981	angebot 0.0161615378563	kranke 0.0159806881899	bedarf 0.015459522303	fort 0.0135386668258	ausstattung 0.0129486093716	einjährig 0.0118909477984	integrativ 0.0113431306374	koordinieren 0.0111515501219	dreijährig 0.0107737727846	rechtsanspruch 0.0107430888904	verbund 0.00972025287753	eigenverantwortlich 0.00959619413701	forschungseinrichtung 0.00915519961401	azubi 0.00898110479657	ganztägig 0.0086580554527
topic106	golf 0.108194082615	spenden 0.067372783406	angel 0.0594077901031	gaststätte 0.0585323282194	tanken 0.0496046380696	zoo 0.0478010500035	angeln 0.0358126857329	antragstellerin 0.0301941026839	automat 0.0301878674392	tankstelle 0.0274052832199	passat 0.0273019451189	mitfahren 0.0260933005158	volksbank 0.0253419394103	drehmoment 0.0221814585317	dünger 0.0204258192539	spoiler 0.0181996006031	sporthalle 0.0176452323039	cabrio 0.0168392498291	oldtimer 0.0166120354833	kran 0.0148211262158	preisliste 0.0132608234124	kleinwagen 0.0131311945292	umbenennen 0.0127264798242	kreissparkasse 0.00955228134545	back 0.00919979866202
topic107	online 0.523381496679	schleuse 0.0513727839265	aufkleber 0.0290832112416	casino 0.025473210426	galerie 0.0218967429183	fsk 0.0181468749435	highway 0.0168959108125	beschädigt 0.0153663921238	gebrauchsspur 0.0124633713335	krampf 0.0123749699872	gerüst 0.0115029155408	hauptgebäude 0.0110227834232	poker 0.010768017227	landesmeisterschaft 0.00980248625208	erprobt 0.00949693250651	meisterin 0.00886067794613	skala 0.00764296364581	nebengebäude 0.00741395930098	einbauküche 0.00736920049621	sonderedition 0.00734335211016	kartonage 0.00684359380312	jugendgefährdend 0.00683970618247	peruanisch 0.00682130017156	kostbarkeit 0.00676270355833	abspielbar 0.00670672378614
topic108	antrag 0.032950472978	schriftlich 0.0246059256617	klägerin 0.0170663417553	monat 0.0169878358761	unterlage 0.0166399856379	zuständig 0.0146607156844	fall 0.0120540321657	kündigung 0.0112913272185	erfolgen 0.00962891843547	gelten 0.00959041310954	beantragen 0.00953042904744	angabe 0.00929941676946	möglich 0.00927768467671	genehmigung 0.00895788248715	frist 0.00894071179653	woche 0.00890208860949	auskunft 0.00855422684827	erhalten 0.00854392188916	grund 0.00815995629883	vorliegen 0.00806262780927	nachweis 0.00784231455368	entsprechend 0.0077991198512	erforderlich 0.00771806489026	antragsteller 0.00764278319206	tag 0.00666654859168
topic109	doktor 0.219796901938	professor 0.10681710939	institut 0.0592711317917	universität 0.0515133929651	wissenschaftlich 0.0451489920969	forschung 0.0390225706892	vortrag 0.0360712016559	wissenschaft 0.0332075390082	wissenschaftler 0.0209689768449	diplom 0.0111824536107	ingenieur 0.00947807665908	gesellschaft 0.00913052162993	leiter 0.00880162364056	thema 0.00839341996987	direktor 0.00813834127426	gebiet 0.00743908604375	abteilung 0.00689766374674	promotion 0.00673518898708	zentrum 0.00612937764549	mitarbeiter 0.00608607316423	forscher 0.00557261691963	deutsch 0.00541476570149	leitung 0.00520231989899	forschen 0.00453437629568	technisch 0.00432036483697
topic110	geben 0.0263572473455	sagen 0.0197252804292	machen 0.0192624640073	gut 0.0177840345342	wissen 0.017426338644	einfach 0.0159956162797	gehen 0.0155966451402	denken 0.014006326077	tun 0.013940749226	wirklich 0.0136885581928	leute 0.0133491196364	sehen 0.0115867444261	glauben 0.0113161061639	kommen 0.0109885241688	finden 0.0097582599774	genau 0.00796389447597	verstehen 0.007730992612	meinung 0.007711515015	meinen 0.00743712672721	richtig 0.00727367608243	schreiben 0.00699155151674	sicher 0.00698314902101	lassen 0.00656839917477	sache 0.00655313642772	recht 0.0065295617256
topic111	uhr 0.206048688972	finden 0.0301989962709	besucher 0.0259643067953	jahr 0.0190830644638	geben 0.0189079832766	veranstaltung 0.0142720900289	laden 0.0139817308064	groß 0.0137830658437	stehen 0.0128787219435	gast 0.0124190609923	programm 0.011078916371	treffen 0.00988506816127	tag 0.0096676545442	neu 0.00874375395499	abend 0.00862513559617	kommen 0.00793301403347	eintritt 0.00793134290473	motto 0.00733357560781	event 0.00696015114399	beginnen 0.00670243333001	stand 0.00638461181228	weit 0.00637772295892	vortrag 0.00632326335941	zeit 0.00616835705936	einladung 0.00597343836033
topic112	universität 0.0741486311456	studium 0.0690708638945	student 0.0643669242452	hochschule 0.0635733594735	studierende 0.054451569259	uni 0.03727877185	studieren 0.0343477158226	semester 0.0285844897804	fakultät 0.0246360446849	studiengang 0.0241532873292	fach 0.0224972186487	vorlesung 0.0205011259694	master 0.0192925203856	akademisch 0.0117334809243	lehre 0.0115431070303	absolvent 0.0112279897725	stipendium 0.0110458071711	lehrstuhl 0.0101179661618	campus 0.00973034698728	studiengebühr 0.00872574515251	studentisch 0.00854164842262	abschluss 0.0072762010711	wintersemester 0.00718689547245	geben 0.0071508000048	finden 0.0067834354462
topic113	mond 0.0664449344276	atom 0.0523327228106	strahlung 0.0394506825547	müll 0.0348223356288	ausweis 0.0317768517248	radioaktiv 0.0312933898363	budget 0.0303073492363	atomkraftwerk 0.0280841985173	grundwasser 0.0206428211106	entsorgung 0.0180842654591	bunker 0.0176134042313	wasserstoff 0.0175810121238	venus 0.0158768880482	atomar 0.0132751687365	leukämie 0.0121804348039	atomkraft 0.0119757270502	reaktor 0.0117092066951	remake 0.0116776160976	konfirmation 0.0116682855349	atomausstieg 0.0116224695359	altlast 0.0110824630599	kernkraftwerk 0.0108362655272	lüften 0.00955618134446	spalten 0.00899280682272	kontaminiert 0.00885884541213
topic114	post 0.232817325659	paket 0.125662496209	zahn 0.109818795173	zahnarzt 0.0597874329742	krone 0.0280904816926	postkarte 0.025964466897	hülle 0.0243273819499	bios 0.0223784467121	implantat 0.0183870439816	postfach 0.0182838550472	mund 0.0177596123849	belag 0.0166838474884	schall 0.012546712936	hefe 0.0115266716692	königsweg 0.0107062936341	weiterleitung 0.0106662311142	kiefer 0.0104203940511	kalkulation 0.00923808985018	vertriebsmitarbeiter 0.0084659549329	ableger 0.00823872484905	funktionstüchtig 0.00801633449572	synchron 0.0078365671769	versenden 0.00753303726376	kommunikationstechnik 0.0074574343901	unschädlich 0.00742947155827
topic115	publikum 0.0804839043659	show 0.0703489815628	tanzen 0.0591407081495	auftritt 0.0587883099617	tanz 0.0585057166285	bühne 0.0335520425712	abend 0.0244406911826	mister 0.0214349440927	paar 0.0188640335467	feuerwerk 0.0182843231962	irisch 0.0182413666182	tänzer 0.0144003658427	saal 0.0139158130787	sir 0.013074264247	unverwechselbar 0.011958591137	performance 0.00975770881165	eingangsbereich 0.00952504706793	tango 0.00919928312172	zuschauer 0.00891601208033	tänzerin 0.00808234167265	move 0.00786080105067	formation 0.00782571364695	quartett 0.00767515860191	maulkorb 0.00752010541495	applaus 0.00747732068207
topic116	selbstbewusstsein 0.0751695524923	stärken 0.071916776698	stärke 0.0309157319103	raum 0.02254697429	innen 0.0194715084432	kommen 0.0176188960291	liegen 0.0167198833101	wirklich 0.0151922465951	leben 0.0145165107542	fortbildung 0.0145121208448	schwäche 0.0143196120076	psychotherapie 0.0136581126946	psychologie 0.0129535211771	sagen 0.0121277259278	geben 0.0107086549063	berater 0.00938381681125	kosten 0.00928289056077	stehen 0.00889836473544	idee 0.00846516767302	training 0.0081854574102	psychologisch 0.00784556585197	gehen 0.00779293178214	beispiel 0.00761102285313	finden 0.00748200148288	inner 0.00722932720289
