topic0	bett 0.100058856879	schlafen 0.0923069672002	ruhe 0.0602465872641	nacht 0.0372001159224	schlaf 0.03333987657	müde 0.0310142498956	gehen 0.0278442308282	tag 0.0264900110146	wach 0.0234875767985	liegen 0.0218075256723	zeit 0.0203830926352	aufstehen 0.0184930443816	anstrengend 0.0160589608582	ruhig 0.0132679003693	couch 0.0130350542358	stunde 0.0127428562927	machen 0.0127281454125	gut 0.0126800156207	morgen 0.0118020413706	alptraum 0.0117054067959	abend 0.0115950985782	früh 0.0113036832205	einschlafen 0.0111259196861	legen 0.0110835397802	aufwachen 0.0101826988442
topic217	sport 0.489098238197	freizeit 0.152014765449	treiben 0.108063998268	sportart 0.0777759874754	versteckt 0.058594775026	gutschrift 0.0152279616592	vermerken 0.015164412429	betreiben 0.0115867254872	ersteller 0.00981495472518	entnommen 0.00669900821832	verrechnung 0.00651435553629	ossi 0.00459449645268	unbeaufsichtigt 0.00445280793872	netzwerkverbindung 0.00362236943633	schellen 0.00352091161625	spaß 0.00347762475556	unbefugte 0.00320226225227	sportkleidung 0.00303545392172	sportbekleidung 0.00281236785217	lutherstadt 0.00248740989331	skilaufen 0.00233689899222	logger 0.00229563013562	konfektionsgröße 0.00136202051794	ausstellungsgebäude 0.00134939483988	adminrecht 0.0012316094856
topic218	bar 0.150655162249	bewohner 0.0950185460629	balkon 0.0667355961523	dusche 0.0660201774504	terrasse 0.0578448745775	großzügig 0.0516412953952	coaching 0.0462256208042	separat 0.0445091541452	waschmaschine 0.0333067687743	wohnraum 0.0292671823203	bad 0.0272115938314	badezimmer 0.025985221967	handtuch 0.0247465419536	erdgeschoss 0.0200778054584	groß 0.0193655004377	wohnfläche 0.0155063480822	rustikal 0.0145766510811	bewohnen 0.0116157126919	arbeitszimmer 0.0114225509952	obergeschoss 0.0103337007626	bungalow 0.00959578898316	geschirrspüler 0.00940200367588	waschbecken 0.00894094169565	herd 0.00867287200753	eingang 0.00674702863844
topic219	neu 0.867750664185	bisherig 0.0118369322187	neue 0.0111644173671	bringen 0.00727514223641	präsentieren 0.00636450409069	erst 0.00501704421318	stehen 0.00492482288989	zeigen 0.00426458595803	bleiben 0.0040426554461	völlig 0.00378180929698	bestehend 0.0034312667972	groß 0.00338663034442	setzen 0.00334763752467	weit 0.0031881070902	anfang 0.00299776338216	stellen 0.00288004592222	kürzlich 0.00280368421138	versprechen 0.00231464946619	ende 0.00218515156309	aktuell 0.00208483748208	geben 0.00208422929714	warten 0.00181512998544	mitte 0.00160217986142	reihe 0.00152278814881	entwickelt 0.00144827418003
topic220	aufhalten 0.175391742992	andauernd 0.101357293333	kapieren 0.0515727959908	etwas 0.0478376871274	mir 0.0345493433789	praktizieren 0.0339876097373	aufschlussreich 0.0337027862938	schmerzmittel 0.0330979415947	bedacht 0.0327974733764	ernstzunehmend 0.0277404524782	angegriffen 0.0266478172766	kramen 0.0242295431118	umfallen 0.0240457215411	eliminieren 0.0231625832586	fixierung 0.0219217129204	regnerisch 0.0208839788653	nickname 0.019207288818	stammbaum 0.0184284421764	geizig 0.0180014717317	mitziehen 0.0168884738358	schiss 0.013677136886	hörensagen 0.0121984501548	coolness 0.0116255209442	freizeitbeschäftigung 0.0113704995002	hinterherlaufen 0.0111517802478
topic221	straße 0.340669891837	kreuzung 0.0216583294697	hauptstraße 0.0158530920311	überqueren 0.015062991566	radweg 0.0149247641913	biegen 0.0146589574321	gehen 0.0138364642553	abbiegen 0.0133802003186	führen 0.0133720288823	brücke 0.0130275882601	kommen 0.0124722296858	verkehrsunfall 0.0123903944918	ortsteil 0.0121538523183	anfahrt 0.0119949150703	landstraße 0.0105986277991	befahren 0.0105761688129	verlaufen 0.0103149071003	fußgänger 0.00992422217711	weg 0.00983668662864	sehen 0.00944493421713	parkplatz 0.00942443434666	ampel 0.00915607494375	radfahrer 0.00913675858444	kurz 0.00854200159797	ort 0.00804749622239
topic222	engel 0.178819551955	zart 0.0761731538923	verfallen 0.0725533399503	schweben 0.0605343898242	outfit 0.0510013550063	romantik 0.0494690040776	zauberhaft 0.0414914336548	himmlisch 0.0391198273637	aura 0.0352689353482	luftig 0.0320346078152	verzweiflung 0.0306103491054	metropole 0.0279361316951	pulsierend 0.022050547326	feurig 0.0213641388101	extravagant 0.0201002279047	ergreifend 0.018661329878	melancholie 0.0182588341185	aufpassen 0.0179989606916	entfliehen 0.0175843565997	vokal 0.0169719388809	anziehung 0.0144857329473	resignation 0.0117099049151	metastase 0.0114668414575	showroom 0.0108015743435	spannungsbogen 0.0100846521876
topic223	bieten 0.234197194366	modern 0.0789693342959	verfügen 0.0408207442736	groß 0.0390771345663	ideal 0.0377543903152	möglichkeit 0.0282924746957	stehen 0.0249248749444	komfortabel 0.0189992371412	eigen 0.0162808738115	lassen 0.0147393597301	speziell 0.0146189145619	verfügung 0.0141062746446	verschieden 0.0136730314505	vielfältig 0.0128729222593	zusätzlich 0.012826659084	sorgen 0.0125744885405	gut 0.0123330181613	komfort 0.0119537433041	gehören 0.0117593330678	attraktiv 0.0102141303461	zahlreich 0.00987838034177	bequem 0.00950273226647	kombinieren 0.00937189290411	besonder 0.00844618492861	eignen 0.00844477542409
topic224	aktion 0.823338820083	jugendlich 0.0441927640495	respektvoll 0.0224152016495	courage 0.0142192992635	handynummer 0.0142008135279	schulreform 0.00796865065494	tatkraft 0.00714620813057	einmütig 0.00682223198375	trennend 0.0052767104102	einsetzen 0.00501634924674	ethnie 0.00390029167292	bunt 0.00384875995631	verantwortungsgefühl 0.00375021836811	kulinarische 0.0031858866474	mobilmachung 0.00307035057598	jugendprojekt 0.00284952224157	jugendsozialarbeit 0.00267849106916	machen 0.00212163022801	identifizieren 0.00201539146471	hungrige 0.00197815314374	anliegen 0.00164686161721	tuntig 0.00159002294058	verschiffen 0.00151338919268	äußern 0.00146303448144	gemeinsam 0.00127315327776
topic225	gewinnen 0.424904044941	image 0.0901146890998	gewinner 0.0857650919674	gewinnspiel 0.0637264400129	gramm 0.0622012867858	zentimeter 0.0573195351966	kilogramm 0.0347280475286	mittelmeer 0.0314393364021	tragbar 0.0209027506071	klemme 0.0135595036789	flosse 0.0104251221807	hintergrundinformation 0.00750943824811	kanarischen 0.00745964031578	phönix 0.00744736272997	radial 0.00637926979508	traditionsverein 0.00625211377626	frostig 0.00605097667112	computergesteuert 0.0058748705562	platzgrund 0.00515525906423	wolkendecke 0.00411759747704	körperlänge 0.0038779291382	atlantikküste 0.00362778164878	gefällt 0.00333216391544	sixpack 0.00301776607074	verlorengegangen 0.00285994851604
topic226	entwicklung 0.470395711184	dienstleistung 0.144879760259	plattform 0.127174632774	kümmern 0.0703047227347	ästhetisch 0.0390176696736	basierend 0.0354653019117	gründungsmitglied 0.0151911838663	touristisch 0.0148148725159	slawisch 0.0101287733065	softwareentwicklung 0.00999433273552	webbasiert 0.00671297249422	objektorientiert 0.00649214641927	chipkarte 0.00533542326763	entwickeln 0.00458327487956	politikwissenschaftler 0.00426500653459	anfälligkeit 0.0041047332461	umsiedlung 0.00359350337938	assimilation 0.00351261261532	unvorstellbar 0.0028361179487	kulturbereich 0.00247057870043	internetagentur 0.00221732106135	angloamerikanisch 0.00206502477837	schreckgespenst 0.00204890372102	dekonstruktion 0.00186779463897	dualistisch 0.00144549682712
topic227	satz 0.482556642902	gegenstand 0.143417462027	magisch 0.080769940568	hexe 0.0510767647635	magie 0.0496858672735	magier 0.0442378498456	tagebuch 0.0223532582073	versteck 0.0174269892002	oberst 0.0173261979736	triple 0.0125166184766	verschmelzen 0.00959989488135	annahme 0.00863773079942	bandit 0.00679653164068	buchtitel 0.00558154505843	kuckuck 0.00535279184912	augentropfen 0.00437679951302	gruppenbild 0.00381117340494	zaubern 0.00367036798701	braue 0.00324911165847	gesuchte 0.00290385985578	folgend 0.00263565879488	wirkungsbereich 0.00250880763822	zeitlinie 0.00220081212666	metaebene 0.00218103928243	kaputtmachen 0.00209799508966
topic228	jury 0.107489374189	ersatz 0.103017064556	nerv 0.0940063769196	schade 0.0716755963592	nerven 0.0714119480729	vermissen 0.0686889990441	dumm 0.0587003110853	auskommen 0.051512794744	auffallen 0.0334915971257	unpassend 0.0300836818658	wackeln 0.0293632753135	übertrieben 0.0269815817853	meckern 0.0245994112998	blöd 0.0215324705667	gescheit 0.0209166445875	allerletzt 0.0197299507398	dummheit 0.0168973353008	supertalent 0.0124429274202	ads 0.0109064128842	beipflichten 0.0101460579606	reinziehen 0.00966049973703	unprofessionell 0.00874060333878	negative 0.00845361267692	vorhat 0.00842281380941	zweigleisig 0.00665531313649
topic229	bereich 0.602782353673	technisch 0.143605725763	schwerpunkt 0.0558098348427	ingenieur 0.0535176602306	qualitätssicherung 0.0143072912161	liegen 0.0141814744162	qualitätsmanagement 0.00815353882081	arbeitsschutz 0.00608681365454	kläranlage 0.00605168466917	ingenieurbüro 0.00584489624966	unternehmensberatung 0.00548291599134	stolperstein 0.00501522481641	tätigkeit 0.00500535891904	geothermie 0.00475761484811	wirtschaftsstandort 0.00459072359768	zweckverband 0.00422234899237	wasserwerk 0.00377522913867	gesundheitsschutz 0.00347849136064	industrieunternehmen 0.00252204746765	studienreise 0.0024904054341	beratend 0.00248745462922	arbeitssicherheit 0.00227203004672	projektphase 0.00217783918694	sonstig 0.00205942143419	divers 0.0018931623393
topic230	schicken 0.204104351507	mail 0.193962789728	anmelden 0.104718868215	veröffentlichen 0.0918846880726	account 0.0573040822001	screenshot 0.0344701291497	verbergen 0.0330315075606	einloggen 0.031969541291	ausdrucken 0.0303460904173	verfassen 0.0279810912495	anschreiben 0.0265378797598	offline 0.0262275803218	bekommen 0.0160686823973	freischalten 0.0102283736388	melden 0.0095135016045	einfach 0.00914218602837	mailadresse 0.00900042927267	lassen 0.0085234479002	eigen 0.00690778958253	einbettung 0.00516681961274	posteingang 0.00481045918936	direkt 0.0047505870844	kurz 0.00427175706523	versendung 0.00426429895058	benötigen 0.00368258795858
topic231	impuls 0.181591597776	pressemitteilung 0.158755268216	vernetzung 0.0751369304578	produktiv 0.0727557106605	begrüßung 0.0558962844223	unruhe 0.0436432914357	wohltuend 0.0432998207985	daherkommen 0.0294485959598	freizeitangebot 0.0268037069267	diskussionsrunde 0.0258626942524	voranbringen 0.0233703584529	zukunftsfähig 0.0213461465624	mitbestimmung 0.0212460489861	gesprächsrunde 0.0201243933021	kreisvorsitzende 0.0200023441908	lockerung 0.0156348995337	oberschule 0.0137014861132	veränderungsprozess 0.0135747004039	kaiserschnitt 0.0112955930955	anwendungsmöglichkeit 0.0112554009028	einsparpotenzial 0.00972685577556	nordwest 0.00868662160362	regelverstoß 0.00551022529288	zukunftsfrage 0.00517438256988	schlummernd 0.00473650324444
topic232	wettbewerb 0.342919828674	vorder 0.0882198393034	sieger 0.0739329224869	hinter 0.0679959264492	disziplin 0.0659675174289	siegerehrung 0.0393108046972	prüfer 0.0354256363776	werbespot 0.0274169202746	internat 0.0240587206619	tagesablauf 0.0229856528675	hervorgehen 0.0218393236329	metzger 0.0217851793838	anspannung 0.0160231040191	erzieherisch 0.0155157742049	kernbereich 0.0137785267086	beste 0.012239059282	werber 0.0120083312819	jugendorganisation 0.0113490438786	theateraufführung 0.00834593890688	bundeswettbewerb 0.00788688008372	filet 0.00751023565375	restrukturierung 0.00687483802931	patentieren 0.00594200046348	reihe 0.00570867068754	schutzmechanismen 0.00514779471203
topic233	moderator 0.184159174704	bitte 0.169172913482	spender 0.0755930644718	freigabe 0.0710867981402	ausstellen 0.0656677894452	genehmigen 0.0462308906881	zutreffen 0.031371041579	verlosen 0.0312220260453	quittung 0.0300144829473	vordruck 0.0278200963138	saga 0.0226755847645	feinste 0.0223034220861	freizeitaktivität 0.0212453583881	werwolf 0.0198856841743	illustriert 0.0197314189757	misslingen 0.0189620418206	familiengeschichte 0.0180184662276	spendenquittung 0.0121220995315	sachspende 0.0111464479164	polizeieinsatz 0.00954879490138	pulp 0.00922285847354	gemeinnützigkeit 0.00914932060811	leitartikel 0.00868807420707	engelch 0.00670184095875	spendenbescheinigung 0.00632251268718
topic234	bedienen 0.234486731158	beeindrucken 0.11862195488	sage 0.0853573216612	leiterin 0.0810901892848	passagier 0.0664508720157	airline 0.057399356591	marsch 0.0514031062053	sitzplatz 0.0493994212179	ahne 0.0283681547285	volksmund 0.0216919863415	naturwunder 0.0213633858029	spendieren 0.0205489599303	bewohnt 0.0163040475029	täuschung 0.0148156340801	lachs 0.0145932417839	wickel 0.0130916089853	anhöhe 0.0110766792106	fluglinie 0.0106686784047	zillertal 0.0105415714423	beinfreiheit 0.00671431277515	anzeigetafel 0.00658728271244	flugbegleiterin 0.00632711473943	vordermann 0.00632447762421	halsschmerz 0.0060891422514	vordersitz 0.00524791085089
topic235	laut 0.239830371407	leise 0.124269015119	stören 0.11887231429	monitor 0.0791007539593	netzteil 0.0508225031329	laptop 0.0496140587638	störend 0.0443345744733	lautstärke 0.0442349343522	lüfter 0.0315193773465	ticken 0.0293224991113	ausschlag 0.0287573191321	kit 0.0207360000506	hochfahren 0.017809888126	lüften 0.01481273979	lüftung 0.0132183102264	kursiv 0.00873618843959	diktieren 0.00835052361968	veranstaltungstag 0.00716964665578	praxistest 0.00712461117601	gewünschter 0.00564562804052	ruhezustand 0.00550475527803	runterfahren 0.00527904481382	großformat 0.00407800298113	schwenk 0.00357343466237	energiesparmodus 0.00323805253649
topic236	pflanze 0.118754728434	boden 0.0965320469019	blatt 0.0782223898226	wachsen 0.0588669972548	blume 0.0413585052408	blüte 0.0391102605906	blühen 0.0202031075158	groß 0.019270197277	gut 0.0181933989231	gras 0.0153739867641	stehen 0.0149729557302	strauch 0.010137173908	lang 0.00939749550333	blühend 0.00928342426998	hoch 0.00916686794347	schön 0.00848021083348	bilden 0.00829561455369	trieb 0.00815078153673	wurzel 0.00788392227505	lassen 0.00778771595269	gedeihen 0.00761883797412	kommen 0.00743053072932	gemisch 0.00660201489752	nährstoff 0.00656805339423	schädling 0.00614386736449
topic237	erst 0.24815258675	zweit 0.101809608863	mal 0.0887377967476	dritt 0.0496027771244	groß 0.0288921738246	jahr 0.0285060948722	feiern 0.0204823522344	geben 0.0186188297951	gehen 0.0180812280855	stehen 0.0165995603278	weit 0.0154696303374	finden 0.0140686068559	zeigen 0.0127336512138	kommen 0.0125054086208	beginnen 0.0120768739426	viert 0.0115639055074	letzt 0.0111893198672	starten 0.0102834235452	gemeinsam 0.00995622479765	ende 0.00911439820913	erneut 0.00889064789877	nah 0.00828475741941	nehmen 0.00745098768121	bekannt 0.00717982722408	stellen 0.00660205926344
topic238	finden 0.0507771982514	schlimm 0.0349374164886	einfach 0.0214354802415	echt 0.0208672736289	sagen 0.0183112187381	egal 0.0182196673001	ehrlich 0.0170177610346	sehen 0.0153371971207	gehen 0.0147960905568	geben 0.0146160052072	machen 0.0133975689367	ganz 0.0133383447036	reden 0.012492816033	dumm 0.0123826520446	verstehen 0.0114752685901	blöd 0.0109220203166	leute 0.0103907533831	übel 0.0101338276551	total 0.00982380175206	zeug 0.00910742102124	mist 0.00900812163598	wirklich 0.00890184112402	schlecht 0.00871911077418	scheißen 0.00863017475297	recht 0.00843654086679
topic239	bürger 0.412373245831	örtlich 0.109917735691	bürgerin 0.0953832070349	rege 0.0548631241249	konstruktiv 0.0432441164304	priorität 0.0396623687486	beratungsstelle 0.0324307111683	städtebaulich 0.0227198269583	gewerbetreibende 0.0166429216308	stabilisierung 0.0148843864498	pressebericht 0.0125090706266	erarbeitung 0.0104634719734	bausubstanz 0.00984667820757	synergie 0.00983411487424	geber 0.0094057258583	instruktion 0.00926716884532	interessiert 0.00923463121469	vernachlässigung 0.00858586931014	eigeninitiative 0.00844718273856	hauptausschuss 0.00696271822711	leerstand 0.00627873096697	engagiert 0.00563245437824	datenschützer 0.00535171214307	gesamtsituation 0.00487744553702	kleinteilig 0.00475303572669
topic240	klein 0.809250496678	groß 0.0668245439853	blind 0.0173824507242	anhieb 0.0128976036674	quellen 0.00530682682276	fluch 0.00490743934626	bildchen 0.00478942378758	arbeitskollege 0.00477558200164	pflegestelle 0.0041976668025	fresse 0.00417783650625	wodka 0.00407668128289	kastrieren 0.00404336201063	suspekt 0.00333561921686	retten 0.0031176357519	adoptieren 0.00308267541639	hergeben 0.00307498083135	zwitschern 0.00239383396921	blindheit 0.00238112523876	putzig 0.00220097458498	schlussendlich 0.00206465453231	kerlchen 0.00201685173436	säuberlich 0.00162078913693	reinmachen 0.0015969386336	knuffig 0.00154062515204	undefinierbar 0.00144886065297
topic241	wünschen 0.312852633638	homepage 0.228575716375	gute 0.115174339064	glückwunsch 0.0893766545496	danken 0.0806643519662	gratulieren 0.0420931896196	gut 0.0181134606427	alphabet 0.0102474340782	erdenklich 0.0102156819493	mensa 0.00966580842128	hoffen 0.00817581508366	bedauern 0.00621334557723	spaß 0.00611823861311	vorstandschaft 0.00604456390433	paukenschlag 0.00440134753063	ruhephase 0.00359116331522	bandage 0.00355295815821	lindenstraße 0.0027896005037	erscheinungsjahr 0.00267649537742	extrovertiert 0.00259495935479	anhalt 0.00231410641453	hantel 0.00227703878136	mitteilen 0.00215647641913	nachlesen 0.0020460251544	schließen 0.00185891937071
topic242	video 0.623098568962	ansehen 0.162435256497	cocktail 0.0316777452296	doppelbett 0.0225495284633	esszimmer 0.0195689540872	limitiert 0.0177071542813	vorgeschmack 0.0151671798896	audio 0.0144653658188	videoclip 0.0137316107667	minimalistisch 0.0134515602814	zeigen 0.0126821347178	pizzeria 0.0117193209519	videomaterial 0.00663645625367	erscheinungsdatum 0.00496343478145	gefrierfach 0.00438700946358	kontrastprogramm 0.00403397338674	sandmännchen 0.00349237269047	jugendfrei 0.00291924827026	löwin 0.00282258613613	verfügbar 0.00226124251875	liegestuhl 0.00218562095729	schutzanzug 0.00192196278224	beliebt 0.000810045745483	siegesgewiss 0.000752012868176	sehen 0.000701422776956
topic243	verleihen 0.147976658914	naturschutz 0.134753996541	preisträger 0.0747021819224	großflächig 0.0580088567892	befürchtung 0.0477486430836	preisverleihung 0.0473705331459	scheck 0.0445147347285	tatkräftig 0.0437779578721	diebstahl 0.0417656214318	gebührend 0.0390929910265	bildmaterial 0.0338083912803	herausfordern 0.0294348306299	dotiert 0.0288707172155	verankerung 0.0262294535411	umweltministerium 0.0193398710064	preisangabe 0.0160569509668	rechtsextremistisch 0.0158864421656	wuchern 0.0150183905313	zweiwöchig 0.0123634873875	epidemie 0.0113207649404	zukunftsvision 0.0107838188702	temperaturschwankung 0.00947112310332	mangan 0.00930862968669	farbvariante 0.00831320535482	landschaftsverband 0.00774348243392
topic244	vorkommen 0.181902662941	blogger 0.107634232247	erwachsen 0.0913646342894	weibchen 0.0663138146086	ungefähr 0.0567566330755	männchen 0.0530517587889	schlüpfen 0.0393480231781	galle 0.0366386032898	larve 0.0330272647987	abgelegt 0.0248380447071	häufig 0.0173409873705	paarung 0.0160602638242	groß 0.0158306828586	wespe 0.0141251158277	selten 0.0120650976959	legen 0.0117697564623	erkennen 0.010865549278	außenseite 0.0108577340498	sekret 0.00926208448128	lettisch 0.0072753991303	geschlechtsreif 0.00722916301235	eiablage 0.00717994232351	befruchtet 0.00711435907492	leben 0.0069066002351	lang 0.00674439997225
topic245	ausgabe 0.399306153033	heft 0.133485407132	rubrik 0.113507002516	besondere 0.0668911519458	delphin 0.0357735369673	phantastisch 0.0326342960281	hai 0.022627372969	geheimtip 0.0222058042119	überdacht 0.0213893502848	teammitglied 0.0122705731855	krähe 0.0119535760347	geschäftsmann 0.0109191007214	intrige 0.0105732800299	retter 0.00970026255434	epos 0.00903013044196	gegengewicht 0.00817199057134	erstausgabe 0.00788053902995	erdnuss 0.00764458169221	bebildert 0.00756152055978	milliardär 0.00583936008151	playboy 0.00582093908245	ergebnislos 0.00573901933976	mitmischen 0.00557064791118	superheld 0.00418441027339	seeräuber 0.00409177421518
topic246	vorwiegend 0.152166651414	durchmesser 0.0898846762637	schweinfurt 0.0718513241925	zusammenhängend 0.0628124821512	stabilität 0.0620212063184	matrix 0.0576534805026	arrangement 0.0556498952605	faser 0.0414372182715	bekanntenkreis 0.0361120042717	projektion 0.0335687615941	frontal 0.0310235269425	entgegengesetzt 0.0306156866786	ausgedehnt 0.025093760463	dorn 0.0235717190587	symmetrisch 0.0228235696349	wange 0.0198755763465	neuronal 0.0186335788183	neuron 0.0182819486166	stimulation 0.0179609753234	konvergenz 0.0126795521498	festplatz 0.0106171953729	prolog 0.0103991482268	corpus 0.00793612448282	tagungshotel 0.00772419412529	synapse 0.00759655404939
topic247	zwischenzeitlich 0.166766216348	anhaltend 0.129597924639	beruhigen 0.0972494184214	dessous 0.068509143939	weggehen 0.0522424234897	zumuten 0.0470792417315	zwickmühle 0.0389944112989	kerngeschäft 0.0343807758076	hochachtung 0.0262668933748	unternehmensbereich 0.0216481602626	findend 0.0215648784327	lasch 0.0191533572357	gesegnet 0.0171962269601	sprachenzentrum 0.0165600969913	seeleute 0.0139864965969	ruhezeit 0.0130472247588	schleppe 0.0129798629271	junkie 0.0127463370099	liebesleben 0.0124988723815	lautend 0.0123501591469	schlossgarten 0.0122340747083	personalverantwortliche 0.0116631832096	grundsatzfrage 0.0106806400852	tennisball 0.0103223312222	bücken 0.010172626271
topic248	gut 0.294551942558	finden 0.0580154833666	wirklich 0.0307885015081	schlecht 0.027469966867	geben 0.0231240209632	sehen 0.0216895960858	einfach 0.0196344239531	gefallen 0.0193335642259	richtig 0.0192474336348	machen 0.0166883066297	passen 0.0140539626344	recht 0.0138882911013	schön 0.0119335922284	kommen 0.0117275674793	groß 0.00837748244482	klar 0.00830049062656	fall 0.00741775309924	interessant 0.00734327694727	sicher 0.00710968027496	wirken 0.00696888368162	erst 0.00622760860829	denken 0.00615702445876	wissen 0.00602787335857	leicht 0.00593400965779	kennen 0.00592959036594
topic249	menschlich 0.146085747954	akt 0.119624584733	moralisch 0.0810797471136	handlung 0.0760090645236	ethisch 0.0592515380584	moral 0.0532027451439	vernunft 0.0488146510601	ethik 0.0362225414198	streben 0.0335861601927	verständigung 0.0237080930423	tugend 0.0235669779921	menschenwürde 0.020298881821	fairness 0.019401696586	abtreibung 0.0173651310647	ranger 0.0161387227676	wahren 0.0160738635521	handeln 0.015812279286	egoistisch 0.0104906506389	kandidatur 0.010305468715	archaisch 0.0100699896588	entbehren 0.00905557603327	sittlich 0.00831120229513	materialismus 0.00735581112863	prinzip 0.0068258876389	würde 0.00655447360011
topic250	sinn 0.0117745264104	beziehung 0.0107443229441	art 0.0100290588223	denken 0.00918885750215	begriff 0.00902162060704	individuum 0.00877046573056	frage 0.00802615925699	bestimmt 0.00754013422917	verhältnis 0.00739786333042	ausdruck 0.00736970675094	allgemein 0.00722513932729	prinzip 0.00708017798735	eigen 0.00681894689809	subjektiv 0.00677779195368	handeln 0.0067328665116	vorstellung 0.00673020421464	individuell 0.00633603738671	verhalten 0.00613377498431	form 0.00610652726778	teil 0.00598387149561	weise 0.00590614194082	bereich 0.00563824522935	grenze 0.00549770538333	zusammenhang 0.00542462184436	subjekt 0.00533482859579
topic251	vorgang 0.165987394388	kammer 0.103108858009	badeanzug 0.0591937277476	progressiv 0.0517376652976	gestein 0.0454189060145	ausbrechen 0.0436307885705	verblieben 0.0388101782162	schrittweise 0.0347307675664	ableitung 0.0325123032313	sondern 0.0308273942328	ablagerung 0.0304080100453	vereinfachung 0.0303442270447	färbung 0.0272963831532	schwinge 0.0262215367049	einweisung 0.0225709961817	expertin 0.0212367928119	krater 0.0205824868818	periodisch 0.0191291811668	präventiv 0.0188011098159	zerfall 0.0176829936857	einschlag 0.017277352027	ausbildungsbetrieb 0.0171453580742	arbeitgeberin 0.0161084367113	genehmigungsverfahren 0.0136286416768	kohlenstoff 0.0133598915415
topic252	spannung 0.387156446356	fortsetzung 0.1620785835	betriebsrat 0.142607384177	filmemacher 0.0406723980268	filmisch 0.0395417746372	stirn 0.0310953622807	treffend 0.0308388338108	transistor 0.0257248486178	aufkommend 0.0224892656902	warner 0.0214935235866	stadtverordnete 0.0178407231006	unerreicht 0.0136212862097	kinostart 0.0126980331856	schäbig 0.0123676004756	dimensionierung 0.0062376367722	flau 0.00612345963403	nachtwache 0.00499462038244	rekapitulieren 0.00445802014395	batzen 0.0041555594254	lichtspielhaus 0.0037710525465	nimmersatt 0.00302470511184	kinowelt 0.00221503151462	spannungsteiler 0.00142177980359	gottverlassen 0.00121152545648	gesiedet 0.000350340812319
topic253	karte 0.658367854562	masche 0.0768102318648	ersehnt 0.0228261604712	vorarbeit 0.0225089842014	reihe 0.0183421882233	ritt 0.0133755832111	rivale 0.0131791043325	überwintern 0.0125624905394	schlusspunkt 0.0118641291445	gießener 0.0102646702206	kopfschütteln 0.00991462771468	legen 0.00943413000632	anforderungsprofil 0.00848376933189	vorwoche 0.00814227110648	tätlichkeit 0.00797665605605	sportpark 0.00621025049656	zeigen 0.00613451700591	diszipliniert 0.00590532655995	bekommen 0.00532013889299	stundensatz 0.00524827547881	aufbauspiel 0.00481026671766	hecken 0.0043076006809	mannschaftlich 0.00420348774578	erhältlich 0.0040861320442	befreiungsschlag 0.00396242818415
topic254	software 0.0991356179401	rechner 0.0778981403792	tool 0.0441193994597	installation 0.0369748116082	betriebssystem 0.0327222955232	hardware 0.0323534986468	support 0.0261750843351	windows 0.0259509958847	notebook 0.0245917583269	computer 0.023114263094	prozessor 0.0208390954499	festplatte 0.0195939472776	cpu 0.0182433227301	grafikkarte 0.0145905004894	laufwerk 0.0140808862031	nutzen 0.0139490270828	neu 0.013529964136	desktop 0.0134642610918	umts 0.0132549025198	laptop 0.0128704968723	scanner 0.0106914005725	installieren 0.0103659332052	security 0.0097503888058	anwender 0.00904907413691	arbeiten 0.00898884547244
topic255	doktor 0.48462566807	professor 0.192980500714	abteilung 0.0591677215192	psychotherapie 0.0317767337351	selbsthilfegruppe 0.0304476963815	ärztin 0.019697756937	leiter 0.014273656785	psychiatrie 0.0130265120715	zertifizierung 0.0127678810097	direktor 0.0114580998	niedergelassen 0.00758630713003	chefarzt 0.00744038905533	patientin 0.00731703597198	ärztlich 0.00683739258675	erläutern 0.00577786093046	betonen 0.00500426394948	schwerpunkt 0.00472798141393	gesellschaft 0.00435209632052	jahr 0.00409985675753	eintretend 0.00355139177084	zusammenarbeit 0.00349465529379	strahlentherapie 0.00303104843065	onkologie 0.00302562128264	tätigkeit 0.00283788511123	leiten 0.00268902848768
topic256	ministerium 0.263423652067	drama 0.100556759445	rassistisch 0.0694778091309	existentiell 0.0586420516088	dulden 0.0527548884323	aufdecken 0.0511682588661	unmissverständlich 0.0495444010931	unwissenheit 0.0391928262956	selbstverständnis 0.0390078901435	schall 0.0379819439497	gesinnung 0.0347011105039	verzahnung 0.0251292314291	vorsteher 0.0235855984884	echtheit 0.0197000824103	staatssicherheit 0.0174356736373	zurückgewinnen 0.0165250136359	unvoreingenommen 0.0144998921703	umgangssprache 0.0143985144443	aufseher 0.0138672593312	zollbeamte 0.00804779650983	sogwirkung 0.00776362579584	wiedergeboren 0.00646078242274	ablaufdatum 0.00561481884399	friktion 0.00549269265121	selbstverschuldet 0.00538903752019
topic257	geben 0.03709247748	sinnvoll 0.0270496563549	einfach 0.0249875490103	lassen 0.0239115797223	machen 0.0212602887295	möglichkeit 0.0198693412315	möglich 0.0192444674733	wichtig 0.0192383791762	gut 0.0175540734501	fall 0.0164391800135	beispiel 0.0132583831368	groß 0.0127659338691	eigen 0.012570609751	gehen 0.011750121532	brauchen 0.011395510141	richtig 0.0112392111569	weit 0.0110709999677	genau 0.0110394779342	zeit 0.0107551030773	kommen 0.0103002622066	klein 0.00980589556511	nutzen 0.00969774607348	schnell 0.00896909439673	entsprechend 0.008289983439	nötig 0.00701882183455
