topic0	frau 0.265286647808	mann 0.122120015916	mutter 0.0219431625578	tochter 0.0188717313176	männlich 0.0183892196825	weiblich 0.0152737269302	jung 0.0136912557694	vater 0.0116644559943	ehe 0.011466601439	partner 0.0109419878956	paar 0.00999875781504	geschlecht 0.00968632991511	hochzeit 0.00963446080174	schwester 0.00798204770617	beziehung 0.00780456792763	heiraten 0.00687088118227	familie 0.00673151684137	freundin 0.00628056060558	sohn 0.00596677693482	schwanger 0.00595164710278	ehemann 0.00511843833502	kind 0.00482888560324	leben 0.00433905229206	verheiratet 0.00431622485507	haus 0.00391157382512
topic43	tip 0.165959140782	trick 0.0418862820775	surfen 0.0322262036819	gewinnspiel 0.0250432053007	fitness 0.0191294793816	umts 0.0189407235726	tutorial 0.0161397060425	bookmark 0.0142233130945	date 0.014020882562	gewinner 0.0132194906071	sandstrand 0.0131292712899	hilfreich 0.0124761326729	erholsam 0.0117385658835	unbeschwert 0.0116813342142	flatrate 0.0115915984269	lüfter 0.011347531449	reiseziel 0.0111746690099	gewinnen 0.010835729273	icon 0.0107229832843	sommerfest 0.00949296137546	sauerland 0.00928785197614	buchbar 0.00882280975238	verlosung 0.00864484461241	starten 0.00743516317996	zuschicken 0.00738635602944
topic44	download 0.132519981844	rubrik 0.0908891092671	herunterladen 0.0341529020053	gameplay 0.0264332624647	zuweisen 0.0163994902052	premium 0.0162662998716	benachrichtigung 0.0158393735938	aschaffenburg 0.0147832858588	taschenlampe 0.0144042559109	alphabetisch 0.013979555012	sack 0.0133145826442	bot 0.0133032188628	arztbesuch 0.0126591075121	baumaterial 0.0126321388988	müll 0.0125597112864	webcam 0.0116622392478	mol 0.0114629338977	upload 0.0113224047739	kompass 0.0112600992142	passgenau 0.0110677922887	unkraut 0.0104223511245	dieselmotor 0.0103571227825	wählbar 0.0103239567076	sandkasten 0.0100965013957	förster 0.00994766967055
topic45	absender 0.0680379602727	satz 0.0354592639165	kläger 0.0351087891712	beklagte 0.0335359722689	klägerin 0.022845633693	nummer 0.0162205656506	urteil 0.0138241628352	anspruch 0.0129324176945	klage 0.0116310745565	revision 0.010150811344	vorliegend 0.0100207659515	rechtsprechung 0.0087037404156	geltend 0.00866050124498	entscheidung 0.00864454678962	auffassung 0.00826266884198	oberlandesgericht 0.00743360307987	feststellung 0.00715226521652	partei 0.00691139120336	vergleichen 0.00690106051328	ergeben 0.00676715920512	liegen 0.00664543059359	sinn 0.00661348557149	berufung 0.00660662561788	stehen 0.00651585075692	höhe 0.00647160436235
topic46	ernährung 0.0213893989063	lebensmittel 0.0195986120221	gesund 0.0191906759479	fleisch 0.0151904077882	gemüse 0.0146857651049	gut 0.0139445487026	vitamin 0.0136590579118	fett 0.0134308448376	obst 0.0115352736242	milch 0.0114781609965	frisch 0.0114388821407	alkohol 0.00983175152628	bier 0.00946951203839	menge 0.00902775544646	wichtig 0.00808216253029	geschmack 0.00799555689318	enthalten 0.00798438331264	schmecken 0.00797581076608	täglich 0.00789019199714	produkt 0.00763057512931	salat 0.00746011509564	nahrung 0.00668808324038	getränk 0.00651168160627	zucker 0.00645376984248	geben 0.00626407499143
topic47	stein 0.115696231353	kreuz 0.0448899211446	friedhof 0.0342578769104	grab 0.0336806593677	brunnen 0.0285904696608	glocke 0.0219666796583	säule 0.0137417841641	abfall 0.0137139683845	grube 0.0121578005254	inschrift 0.0115403372055	stadthalle 0.0115265400886	verstorbene 0.0112125392842	statue 0.0110884543832	bergwerk 0.00978559143525	blei 0.0097401291561	bergbau 0.0095932385816	rückwand 0.00835848893875	asche 0.00828998273386	gestein 0.0077647737604	nische 0.00756314061722	abgelegt 0.00738673359547	weiterleitung 0.0072750998142	felswand 0.00719092314933	wall 0.00696753240387	relief 0.0068418807019
topic48	musik 0.0427372831206	konzert 0.0219267768217	bühne 0.0178358548634	musikalisch 0.0173586759628	spielen 0.0152930328749	jahr 0.0150294073997	publikum 0.0145891937856	musiker 0.0134069902454	theater 0.011081719167	groß 0.0108315327587	auftritt 0.00954316498067	festival 0.00903343322162	show 0.00873780786672	instrument 0.00810164390519	tanz 0.00689253550802	jazz 0.00664768035183	neu 0.00657339045355	geben 0.00636926268683	tanzen 0.0062055960332	erst 0.00585627345713	programm 0.00565924596783	sänger 0.00502992270674	komponist 0.00498655474552	jung 0.00494817693777	abend 0.00480449491509
topic49	machen 0.0325379677422	gehen 0.0286803880848	sagen 0.0261280515569	gut 0.0254603534528	wissen 0.0236360308671	kommen 0.023263029691	geben 0.0218508318595	denken 0.0185759124489	einfach 0.0178350103974	sehen 0.0145342362869	glauben 0.0134686389315	meinen 0.0126561730498	haben 0.0124786411147	bekommen 0.0119762494138	wirklich 0.0114128074498	finden 0.0109606668168	richtig 0.00961129833623	kennen 0.00895515732103	tun 0.00890062742147	leute 0.00877872772405	stehen 0.0080288044372	fragen 0.00800811906474	genau 0.00786481862139	ganz 0.00785896505324	brauchen 0.00701514585902
topic50	gebäude 0.037553528404	neu 0.0346304380574	bau 0.0285568866455	schloss 0.0148189811341	alt 0.0136469190067	architekt 0.0132206833656	ehemalig 0.0118164744899	stehen 0.0114339391409	turm 0.011108544486	groß 0.0107204018886	befinden 0.0103279523507	jahr 0.00974492822887	teil 0.00969374321646	entstehen 0.00917615515972	architektur 0.00794330134824	bauen 0.00789481374296	anlage 0.00779606807672	erhalten 0.00726721312687	neubau 0.0067343542832	erst 0.00667806022241	mauer 0.00661219018848	platz 0.00640425272245	bauwerk 0.00634744168766	plan 0.00573717787647	denkmal 0.00527502481402
topic51	match 0.0556604258774	backen 0.0483140277151	creme 0.0461256248682	ofen 0.0428678277966	teig 0.0337584923235	päckchen 0.025519119301	elfmeter 0.0245776189778	zubereitung 0.0230431125297	backe 0.0189524864341	torte 0.0154353552047	adler 0.0151824301946	motorsport 0.013960561714	rote 0.0125477725339	schlagen 0.0124589692546	handicap 0.0119871837893	herausnehmen 0.0103628327587	paste 0.0100806237454	back 0.0100088615355	auswärtssieg 0.0095740883507	gehackt 0.00861232854205	wrestling 0.00835469599801	knusprig 0.0079396316432	startend 0.00789642995801	mixer 0.00768427417293	startnummer 0.00744360185122
topic52	projekt 0.0795880819863	aktion 0.0204025508388	unterstützen 0.018512817141	stiftung 0.0165956110831	engagement 0.015536414195	jugendliche 0.0152765691423	jung 0.0145247509233	gemeinsam 0.0143460044251	unterstützung 0.0139850584717	idee 0.0133358642245	initiative 0.0125828962965	arbeit 0.0117297358313	mensch 0.0108307658041	machen 0.00994540448453	region 0.00931049324599	gut 0.00892584309931	wichtig 0.00855603394728	fördern 0.00840475017511	kultur 0.00836289805819	aktiv 0.00812144291363	jahr 0.00758096201245	groß 0.00726660118832	engagieren 0.00713329930353	organisation 0.00709344430333	ziel 0.0068741596032
topic53	system 0.039729172474	software 0.0166114835943	programm 0.0164009531483	anwendung 0.0151788502929	computer 0.014351166115	datum 0.0131305757824	anwender 0.0107087799916	digital 0.0096585624544	ermöglichen 0.00947431394511	modul 0.00906344086443	verfügung 0.00885895621151	bieten 0.00868881420517	einfach 0.00840972767359	verschieden 0.00806623630407	funktion 0.00787141653009	schnell 0.0077380020036	information 0.00768475376383	virtuell 0.00712982460603	automatisch 0.00686985658885	server 0.00660715675897	datenbank 0.00650846878092	möglichkeit 0.00638170802078	stellen 0.00635404209767	einsatz 0.00631214342891	elektronisch 0.00622467103389
topic54	serie 0.0217154571402	erst 0.0212141565801	folge 0.0195840515306	neu 0.0191129932432	teil 0.0182203909815	geben 0.0141153802892	story 0.0131433098302	ende 0.0118519088668	gut 0.0114870826848	staffel 0.0109849055286	star 0.00975614771591	finden 0.00949136509455	geschichte 0.00938082980093	kommen 0.00860341688406	charakter 0.00858836943058	fan 0.00752916813775	letzt 0.00746202492324	spannend 0.00659526302938	zweit 0.00621892676076	weit 0.00616888987952	erscheinen 0.00545213243477	szene 0.00524171206802	wirklich 0.00511609589215	interessant 0.00501159245852	episode 0.00485880211699
topic55	stern 0.114726928684	australisch 0.0295526874868	breite 0.0206073374501	schacht 0.0195612075735	lodge 0.0174753435909	markenzeichen 0.0159529714205	ostern 0.0141692391938	farm 0.0131907756401	verknüpft 0.012032557707	lake 0.0108822161312	schwimmend 0.0108465929026	graben 0.0106097786287	südosten 0.010506933686	kies 0.010483552865	jeep 0.0101362939843	gelinkt 0.010053597976	geländewagen 0.00937762603631	walfang 0.00907610658499	arche 0.00888541842138	wahlbeteiligung 0.00869445204909	norddeutsch 0.00841229864652	stollen 0.00807395560166	indianisch 0.00794418000413	waggon 0.00793987417259	wasserfläche 0.00780167687547
topic56	registrieren 0.0341830871172	internet 0.0296441633813	anmelden 0.0244780923282	passwort 0.0236202517345	sicher 0.0221718699354	anmeldung 0.0220955166848	benutzer 0.021915952964	registriert 0.0199869770814	datum 0.0171384693516	sicherheit 0.0144574672223	registrierung 0.0142354119741	kostenlos 0.0134870150654	schlüssel 0.01291527217	elektronisch 0.0126947228435	zugang 0.0124870133545	online 0.0123686954121	account 0.012284767428	zugriff 0.0108960250761	sichtbar 0.0107790162964	zertifikat 0.0105678401281	login 0.00944108975784	schützen 0.00931561423304	einloggen 0.00833716729525	nutzen 0.00811593070042	nachricht 0.00786519851247
topic57	stück 0.14489635148	lied 0.0556802279806	singen 0.0435049715343	weihnachten 0.0277915635323	chor 0.0266845426605	kirchengemeinde 0.0157584849559	gedicht 0.013705197042	kerze 0.0129815204596	advent 0.0101446507928	pastor 0.00874766036605	pianist 0.00744302317918	weihnachtsmarkt 0.00730268832021	gesang 0.00707513353007	weihnachtszeit 0.00692747003816	melodie 0.0063254407245	takt 0.00622398351738	flöte 0.00582552997572	stimme 0.00580334633325	pfarrkirche 0.00573115991923	vers 0.00553074293818	tango 0.00528092992013	flohmarkt 0.00510214000405	weihnachtsmann 0.00492769505728	strophe 0.0048718795236	still 0.00482857031988
topic58	geschenk 0.112696494987	mini 0.069723138145	marathon 0.0398242813048	verschenken 0.0356071317841	schenken 0.0288921994431	baureihe 0.0180375527121	jugendfeuerwehr 0.0159230362241	knopfdruck 0.0158042214821	limousine 0.0155323220057	weihnachten 0.0152633399246	marin 0.013401460169	skyline 0.0126107905881	liebste 0.0123660836978	bridge 0.0119502137168	shooting 0.0114239117578	pflaster 0.0112209958353	geschenkidee 0.0111297164678	cam 0.00968298393083	chancenlos 0.00925920475016	fond 0.00891536627886	hummel 0.00818327078693	tuner 0.00777098945336	ausleihen 0.00742873056649	nachlegen 0.00718779726087	standby 0.00710699366922
topic59	international 0.193026967	national 0.051880252845	weltweit 0.0517138021994	welt 0.0311589559296	russisch 0.0303892969063	amerikanisch 0.0276469175579	österreichisch 0.0211204157609	nation 0.0207455734267	staat 0.017577395017	global 0.0162137182725	indisch 0.0150521989841	kongress 0.0149389474292	britisch 0.0146415691668	deutsch 0.0119713878592	vereinigt 0.0119050257768	konferenz 0.0106579756892	vereint 0.0106560835159	kanadisch 0.0105456326622	organisation 0.00990736032197	schwedisch 0.00961915381266	präsident 0.00900523616588	bundesstaat 0.00881070318064	jahr 0.0078715451574	land 0.0074973015663	forschungseinrichtung 0.00605763255552
topic60	blog 0.0408359219041	kommentar 0.0342638311224	internet 0.0301191715703	werbung 0.0234866148453	artikel 0.0217973730037	webseite 0.0177342676756	seite 0.0149139135161	website 0.014842453776	eigen 0.0134263326013	online 0.0122040737454	thema 0.0122005016949	web 0.0116060480782	geben 0.0101402250397	beitrag 0.00990419885601	inhalt 0.00919186214158	besucher 0.00899429602038	schreiben 0.00897636100802	eintrag 0.00835930828387	interessant 0.00833772783694	gut 0.00817693790009	rss 0.00797518851821	suchmaschine 0.00761831945063	machen 0.00757327993362	marketing 0.0075387369747	verdienen 0.00691865989031
topic61	linken 0.029858798697	gewerkschaft 0.0296058572507	demonstration 0.0218207118712	kollege 0.0213206276456	protest 0.0206848565472	links 0.0199162743867	linke 0.0191849687483	aktion 0.0148264686546	arbeiter 0.0143692631159	stuttgarter 0.0136176496523	beschäftigte 0.013395270115	kampagne 0.0128443542739	metall 0.01131059968	aufruf 0.0110878115344	bundestagswahl 0.00988648338221	streik 0.00963979685391	forderung 0.00942992439045	demonstrant 0.00894608639942	demonstrieren 0.0087694258139	dienst 0.00856612112232	bündnis 0.00855273644869	fordern 0.00801381894678	mindestlohn 0.00796019999755	solidarität 0.00767787714686	öffentlich 0.0073637727462
topic62	text 0.106820184553	veröffentlichung 0.0254083837744	quelle 0.0250267729124	frei 0.0225335610246	recht 0.0213403822175	inhalt 0.0206573171489	lizenz 0.0184228948633	anzeige 0.0180179800804	genehmigung 0.0158609425694	verwendung 0.015411824745	rechtlich 0.0140167569902	impressum 0.013027508396	nutzung 0.0118003484479	privat 0.0115571168253	kopie 0.0112102127275	schriftlich 0.01027077779	urheberrecht 0.010161671522	urheber 0.0100573009668	geschützt 0.0096698106109	vorlage 0.00966564543207	form 0.00965293731452	veröffentlichen 0.00960288259109	kommerziell 0.00937296936284	hinweis 0.00903512428999	artikel 0.00875325917135
topic63	straße 0.0600733331926	weg 0.0400856599854	richtung 0.0340166529167	gehen 0.0272512421808	fahren 0.0169167481588	führen 0.0168603478129	meter 0.0153410359324	erreichen 0.0139624889547	kilometer 0.0137413611267	brücke 0.0127349739544	kurz 0.0124613496901	strecke 0.0119820153276	parkplatz 0.0117283933315	folgen 0.0108308072246	direkt 0.00861230344641	weit 0.00832037997163	befinden 0.00770471394938	ort 0.00715907746129	kommen 0.0071531666185	autobahn 0.00708777219629	nah 0.00669159562329	verkehr 0.00655155532333	stehen 0.0065442409807	sehen 0.00649951415372	recht 0.0058133412241
topic64	gut 0.0299364914982	geben 0.027620675296	machen 0.0155399515637	kommen 0.0120619054601	wirklich 0.0120100095636	gehen 0.0116197218394	lassen 0.0113473663431	einfach 0.0113472780103	sehen 0.0106377726516	zeit 0.0101566148105	groß 0.0098109913229	problem 0.00901637152169	fall 0.00876773764238	sicher 0.00814081839176	bleiben 0.00796003886205	genau 0.00795010992536	wissen 0.00786945630048	richtig 0.00771574306495	klar 0.00768183884736	tun 0.0072926960322	grund 0.0070684218254	halten 0.00703216522737	wichtig 0.00570652711681	schlecht 0.00538688391459	frage 0.00537187499104
topic65	zwiebel 0.0268422249794	niederländisch 0.0202776906233	mühle 0.0201481203615	pfanne 0.0192943174246	würfel 0.0189460831997	servieren 0.0178652923196	suppe 0.0175519977522	wirt 0.0158833061108	pflanzen 0.0155293242642	herd 0.0153857023524	käse 0.0145923084027	tibetisch 0.0133262166181	spargel 0.0132050436729	sauce 0.0129994710031	grill 0.012921351304	rustikal 0.00984726865517	belgisch 0.00910966014345	petersilie 0.00900553590286	koch 0.00897870046568	teilstück 0.00888452702967	korb 0.00854001505981	holländisch 0.00829611617581	pullover 0.00802800083184	flut 0.00801312435589	grillen 0.00800705225704
topic66	gruppe 0.0254665387843	gast 0.0242291458476	tag 0.0239989924534	treffen 0.0230784093673	geben 0.0201351842553	gemeinsam 0.0164529774284	finden 0.013949292542	abend 0.0137106657655	groß 0.0131305591615	besuch 0.0129395404829	klein 0.0114870780081	jahr 0.0109162356354	gehen 0.0105794224668	kommen 0.00958966926648	feiern 0.00945368393141	stehen 0.00934635760956	fest 0.00933074981398	laden 0.00900559759381	anschließend 0.00894737897324	programm 0.00881696331437	besucher 0.00809529245527	freund 0.00721064420317	nachmittag 0.00708180867638	besuchen 0.00688470262437	freuen 0.00628214354919
topic67	mensch 0.0804127807119	arbeit 0.0599106345498	sozial 0.0425321989501	leben 0.0190222118785	hilfe 0.0156475374692	arbeiten 0.0135213677248	behinderung 0.0128540852676	arbeitsplatz 0.010349336725	familie 0.00973543944832	beruf 0.00843284534492	jung 0.00774328725016	behindert 0.00773636997337	arbeitsmarkt 0.00770228019015	jugendliche 0.00651695451666	person 0.00640541392577	problem 0.00633712585514	beruflich 0.00584098282054	unterstützung 0.00551737793743	geben 0.00533567887506	leistung 0.00516489638127	situation 0.0051435621194	gesellschaft 0.00509576839165	alt 0.00501278590988	arbeitslosigkeit 0.00480426643345	betroffene 0.00469229109682
topic68	medium 0.0900094964159	artikel 0.0570774229894	zeitung 0.0497885973968	sendung 0.0276564506172	interview 0.0270222441534	fernsehen 0.0241909212952	journalist 0.0238374595301	magazin 0.0235863384883	ausgabe 0.0224352298152	berichten 0.0218304338303	redaktion 0.0201116182372	nachricht 0.0196451126442	zeitschrift 0.0178386998228	presse 0.0175316960239	bericht 0.0133613859346	sender 0.0132780239303	spiegel 0.012926330244	redakteur 0.0102115247273	aktuell 0.0101864743733	lesen 0.00925302422498	leser 0.00910613395977	tageszeitung 0.00870695699711	berichterstattung 0.00864942725822	meldung 0.0085012735465	online 0.00739760503626
topic69	global 0.0133980337118	wirtschaftlich 0.0128577162879	wachstum 0.0127112381145	wirtschaft 0.0123573411253	jahr 0.0119109336175	groß 0.0117881811097	entwicklung 0.0108490404715	stark 0.0103415905934	produktion 0.00954537986314	industrie 0.00940061346036	nachfrage 0.00898998689514	steigend 0.00874847850403	steigen 0.00686230872479	chinesisch 0.00676157893892	folge 0.00665241333543	sektor 0.00654836875851	inflation 0.0064915921844	preis 0.00642471872154	export 0.00622341642214	ökonomisch 0.00607451249347	weltweit 0.00604449075723	zunehmend 0.00561384628455	markt 0.00521750948739	währung 0.00519065927707	rohstoff 0.00493507292111
topic70	netzwerk 0.2327208595	druck 0.0847303672905	drucken 0.0423679409834	drucker 0.0406207103485	hauptmenü 0.0169193656416	location 0.0148319454322	matte 0.0115719023788	wertschöpfung 0.0109306505727	patron 0.0107680086554	aufbauen 0.00969354940593	bezug 0.00916408257462	pflegerisch 0.00881243190115	direkt 0.00804342854825	verschmelzung 0.00717756606427	endkunde 0.00707522100816	personalentwicklung 0.0066278591698	optimum 0.00661388354342	hilfe 0.00649746891216	macbook 0.00622836246801	baufirma 0.00618271422071	kinderschuh 0.00598892925299	ausgestatten 0.00574601885992	hospiz 0.00572930039824	sonderregelung 0.00550395428991	suchfeld 0.00532170398967
topic71	gericht 0.0420483986673	urteil 0.0317935556927	fall 0.0287674040367	verfahren 0.0208939932898	richter 0.0185541535987	recht 0.0172689836126	entscheidung 0.0160148789883	aktenzeichen 0.0129878470487	landgericht 0.0121303424947	gutachten 0.0114851768169	rechtsanwalt 0.0100183651675	juristisch 0.00992053810518	amtsgericht 0.00975239455492	angeklagte 0.00955074099407	beschwerdeführer 0.00855728337007	anwalt 0.00830346582935	rechtlich 0.0082306450916	justiz 0.007736773906	prozess 0.00752525916447	bundesgerichtshof 0.00706082372694	staatsanwaltschaft 0.0067527472242	beschwerde 0.00671255952087	klage 0.00655532116958	zeuge 0.00604093094778	sache 0.00594792031631
topic72	springen 0.100194663492	code 0.0805458222425	board 0.0561748472042	navigation 0.0525068323865	kalender 0.0500724948821	anhang 0.0371362219593	smiley 0.0332946791829	bearbeiten 0.0283942137633	smart 0.0219458721794	inhalt 0.0199820933726	leiste 0.0188241717962	navi 0.0175762364336	style 0.017376320927	drücken 0.0138541494542	canyon 0.0135951718783	einplanen 0.0122257669313	aus 0.0120718929108	tester 0.0113787693234	entern 0.0109966141209	direkt 0.00895898285691	disk 0.00878780313658	informatiker 0.00849431502025	rausnehmen 0.00782367487235	point 0.00744426195449	lade 0.0072430199187
topic73	fisch 0.087725744604	rauchen 0.0623771712453	becken 0.0536238932218	filter 0.0298692322697	aquarium 0.0268542337085	zigarette 0.0236102855493	sand 0.0222867541182	raucher 0.019177928336	beklagt 0.0174916203066	gehege 0.0134024791732	schnecke 0.011817693361	nichtraucher 0.0115210527415	henne 0.0110118811775	hahn 0.0103736989696	rauch 0.00975523653966	abdeckung 0.00895643024885	kalk 0.008835767118	tabak 0.0087543370907	rauchverbot 0.00792536383838	schachtel 0.00779300543024	kurzbeschreibung 0.00757656806576	aufhören 0.00696233012811	küken 0.00671241128205	liter 0.00665468088741	klein 0.00662387061494
topic74	fahren 0.215484653172	rad 0.0525094464541	fahrrad 0.0348081135094	reifen 0.0330635945898	fahrer 0.0272602715597	strecke 0.0212751523622	motorrad 0.0192041475403	kurve 0.0179573121136	rennen 0.013072247276	bike 0.0113556193318	felge 0.0111948624969	baujahr 0.0098133281943	schnell 0.00935246284041	seminarraum 0.00820505099184	lenker 0.00809966871225	rahmen 0.00788753655834	fahrt 0.00629955720869	joggen 0.00612515841636	tour 0.00582384779187	pedal 0.00576423435262	tuning 0.00565489478264	lkw 0.00519126027369	gabel 0.00482605430259	breit 0.00467143741623	rampe 0.00457025221448
topic75	orgel 0.0318217225447	hauptbahnhof 0.026160067921	führerschein 0.0224348113239	parken 0.0194550479976	spot 0.0152921950775	unfall 0.01411503799	roller 0.013535542403	garage 0.0135045496414	straßenverkehr 0.0134485693156	fahrbahn 0.0133049121202	taxi 0.0128725859008	passat 0.0125236282539	fahrer 0.0114017016119	passant 0.0111460264746	ampel 0.0110545267263	stadtzentrum 0.0106689931817	fahren 0.0102679556601	überholen 0.010092253488	stau 0.0096679133815	mieten 0.00958905109042	kirchenkreis 0.00916594525529	pkw 0.00887083089561	mitfahren 0.0087382212626	panoramablick 0.00814232672639	bundesbahn 0.00780917586075
topic76	gut 0.0466612447228	geben 0.0419071867573	kaufen 0.040285302182	bekommen 0.021440767539	neu 0.0204307522201	teuer 0.0203059246249	preis 0.0159399745038	brauchen 0.0145558924296	geld 0.0138467937103	kosten 0.0125667949457	billig 0.0119084728552	empfehlen 0.0112908107866	günstig 0.0112356923864	alt 0.0108667572062	erfahrung 0.0107792101544	klein 0.00964101060358	jahr 0.00955903181564	groß 0.00885046334711	gleich 0.00830612790236	teil 0.00823295219458	nehmen 0.00803338753095	lassen 0.00702551994263	zufrieden 0.00670823767745	machen 0.0064410215932	tip 0.00637492024951
topic77	japanisch 0.0821888780637	ausländer 0.0403619676264	integration 0.0375896841899	herkunft 0.0291950665049	dom 0.0248985376602	türke 0.0242981634483	migrant 0.0235959478446	japaner 0.0228934053649	migration 0.0212244238831	petition 0.0204471194551	harz 0.0184982974488	migrationshintergrund 0.018057527487	dialekt 0.0156649596648	leuchtturm 0.0150480554899	schreibweise 0.0145293686046	bezirksregierung 0.0140062858405	einwanderer 0.0125369415817	klassenraum 0.0118195640835	ausländisch 0.0114762830868	hort 0.0107206192826	duden 0.00986767806405	migrantin 0.00985158456465	prostituierte 0.00979588782697	beschriftung 0.00950701712425	erzeuger 0.00937027244385
topic78	bieten 0.0158345823195	bereich 0.0151536929213	technisch 0.0143032205158	lösung 0.0140325508476	anforderung 0.0135633125665	kunde 0.013156475069	hoch 0.0103131203171	individuell 0.0103079400026	professionell 0.00879612991488	qualität 0.00840670541133	aufgabe 0.00757008032673	stehen 0.00750000536675	erfahrung 0.00741146885782	management 0.0073373772695	modern 0.00696522044814	optimal 0.00690093674562	umfassend 0.00673954595407	planung 0.00612906276485	partner 0.00608611702676	service 0.00598545951958	team 0.00579053300283	beratung 0.00578863744993	einsatz 0.00562553457782	effizient 0.00559130705568	unterstützen 0.00534868792078
topic79	zitat 0.237461405554	geschrieben 0.0619898396534	pirat 0.0476531624584	spruch 0.0354114417072	demo 0.0292930180866	avatar 0.0193349796882	shooter 0.0103835996057	sarg 0.0098647401525	eishockey 0.00887829938067	beleidigend 0.0086615332111	zocker 0.00722148144338	auffüllen 0.00715012267316	tippfehler 0.00681493275924	twittern 0.00629701384524	einmarsch 0.00614196621919	germane 0.00598346741345	rain 0.00587733534919	gedenkstein 0.00583071916562	kommentarlos 0.00580768018278	auftrieb 0.0055910945554	sprichwort 0.00491873307517	ausreden 0.00489862195118	saarländer 0.00470415072388	apokalypse 0.00459243990301	mutieren 0.00439496698556
topic80	klein 0.015923413461	ober 0.0155072876502	gleich 0.0152102925575	erst 0.0140679671737	groß 0.0140504865445	unter 0.0129684143856	zahl 0.010947894694	genau 0.010596595031	recht 0.00986312331957	zeigen 0.00958517738203	linie 0.00906307405568	liegen 0.00898269295215	abstand 0.00830448702966	aufgabe 0.00792486404439	befinden 0.00789693422864	mitte 0.00773989049146	position 0.00736752373267	sehen 0.00724903631286	zweit 0.00718963488057	seite 0.00711857468859	länge 0.00704876792789	linken 0.00703254921031	bereich 0.00699086306047	ebene 0.00695689720073	reihe 0.00693952073353
topic81	seite 0.218568635609	information 0.131701073185	finden 0.110351807333	homepage 0.0455721947223	weit 0.0431436703895	info 0.038368632057	aktuell 0.0381718368846	website 0.0308275169575	hinweis 0.0223260383248	link 0.016806388045	wichtig 0.0160098404346	folgend 0.0128694079885	informieren 0.0121704938565	browser 0.0114961433021	übersicht 0.0106874933649	ausführlich 0.00989914376081	empfehlen 0.00863262154214	alt 0.00844572942224	benutzen 0.00663180313643	thema 0.00636119440311	theme 0.00574894000346	weiterführend 0.00571270308737	interessant 0.00540434970323	detailliert 0.00496843509817	enthalten 0.00458611214225
topic82	uhr 0.415406503329	stadt 0.0967350255128	innenstadt 0.0117229583531	stadtteil 0.0114235539429	finden 0.0108386139006	treffpunkt 0.0106487722301	landrat 0.009557200035	öffnungszeit 0.00875912383789	eintritt 0.00852853933239	straße 0.0079126146739	laden 0.00759605301568	städtisch 0.00684045978318	frei 0.00665107381886	stadtverwaltung 0.00549305594107	landratsamt 0.00517254617204	zeit 0.00464219872958	täglich 0.0045770027938	weihnachtlich 0.0045512755123	beginnen 0.0044031928079	mensa 0.00424950178724	kreisverwaltung 0.00413502494891	anmeldung 0.00389451394183	schwäbisch 0.00374322337521	kreisstadt 0.00351479951354	bauabschnitt 0.00346679677928
topic83	partei 0.0308207795684	wahl 0.0256416568894	grüne 0.0187449763552	stimme 0.0162427943577	politisch 0.0142266152742	politik 0.0138145514019	mehrheit 0.0119407560459	neu 0.0112378751577	bundestag 0.0106728788818	parlament 0.00958251974187	kandidat 0.00855432464326	fraktion 0.00852463074572	wählen 0.00842155538257	wähler 0.00754794235925	abgeordnete 0.00734216311282	politiker 0.00732467667306	koalition 0.00721367451172	groß 0.00716234032504	entscheidung 0.00711001876801	linke 0.00669823633964	präsident 0.00658098484139	bündnis 0.00602788028322	abstimmung 0.00593324442163	regierung 0.00570923554518	bürger 0.00567961864459
topic84	bundeswehr 0.0638587513387	erbe 0.0410011234009	testament 0.0255606047603	streitkraft 0.0179998678924	erblasser 0.0179557656774	nachlass 0.0176178574772	safari 0.016037734858	triathlon 0.0152922508069	uniform 0.0148739023344	kompanie 0.0128288746712	mythologie 0.0128028733371	aminosäure 0.0127223432523	argentinisch 0.0125858824468	antragstellung 0.0122870347586	major 0.0120031820755	zivil 0.0119458063745	instandsetzung 0.0117825937676	regeneration 0.011399163973	inländisch 0.0109875548834	werft 0.0109573711919	grundausbildung 0.00984912711844	überlebend 0.00914927293007	kontingent 0.00871180275287	soldat 0.00858054784587	kaserne 0.0085053615753
topic85	einer 0.0355800021742	russe 0.0346575440449	matt 0.0247779083874	schach 0.0246596037162	rute 0.0241102374203	fünf 0.0202010816477	hochhaus 0.017687271378	deich 0.0147656132275	queen 0.0140217736239	uhrenarmband 0.0138236490394	poker 0.0114470290994	stützpunkt 0.0113422636897	ausdrucksstark 0.0108583507028	renner 0.0107641624724	gebühren 0.0106807747748	terrier 0.0100889184096	kollegial 0.0100793728724	armband 0.010027815172	naturwunder 0.00993911482724	hering 0.00972210089055	ausdrucksweise 0.00959349553521	eitel 0.00956058106611	sonnenbrille 0.00890836921362	diva 0.00882348085934	prüfling 0.00856134000961
