topic0	knallen 0.358314687133	move 0.179445133302	vermeidbar 0.142048562438	krähen 0.0724785779894	veranstaltungstermin 0.0449965811246	hardrock 0.0424434002469	lausig 0.0407662577773	schönheitschirurg 0.0317447592709	jagdgrund 0.0282156842357	bluesig 0.0249133560959	ohnegleichen 0.0153246942337	altenteil 0.0121628541168	rollin 0.00541923322978	lassen 3.91896033876e-08	liegen 1.73912509516e-08	deutlich 1.73512437898e-08	früh 1.73297600403e-08	kommen 1.73148576763e-08	einzig 1.73028444249e-08	alt 1.7282421764e-08	hart 1.7268456986e-08	egal 1.7265980681e-08	bleiben 1.72659694157e-08	gut 1.72652067697e-08	sehen 1.72649766254e-08
topic1519	plan 0.904494008767	schmieden 0.0327881281871	greifend 0.0166900182136	bauschutt 0.00927592382271	gütezeichen 0.00483819123939	gütegemeinschaft 0.00481379811317	bullenmarkt 0.0044991891956	beobachtungszeitraum 0.00354866022332	abbrucharbeit 0.00324549982202	machtverteilung 0.00252638508668	probelese 0.00239849930255	beginnen 0.00230929738798	verrechtlichung 0.00144991775587	handelsorganisation 0.00131943255783	zeitzeichen 0.00131040327384	ende 0.000967260675077	gipfelpunkt 0.00089819966926	eigentlich 0.000670970967238	betrachten 0.000642735550365	neu 0.000427231133642	wesentlich 0.000254142534933	nötig 0.000131945154336	möglich 5.34025401006e-05	zweit 2.74668031156e-05	erst 1.38244884416e-05
topic1520	anordnung 0.262174850029	zuständigkeit 0.162862554153	rechtskräftig 0.0607533224895	vollzug 0.0585241719172	freiheitsstrafe 0.052370114966	fahrerlaubnis 0.0410835187717	strafverfahren 0.0399584309659	vollstreckung 0.03638600194	gefährlichkeit 0.0286031018165	erheblich 0.0225905091488	eingebung 0.0215716624751	prozessual 0.0195722296541	strafvollzug 0.0193233296845	unbillig 0.0187425363737	justizvollzugsanstalt 0.017186900311	tatzeit 0.0109195562957	befasst 0.0103951565708	verfestigt 0.00865862981725	pflichtverteidiger 0.00832167596064	eigennützig 0.00791310577	zauberkraft 0.0071155686222	tatrichterlich 0.00630164272365	tatbestandsmerkmal 0.00578584294219	unterblieben 0.00575187970302	erneut 0.00561103325344
topic1521	genießen 0.748692391304	spaziergang 0.131370335945	saisonal 0.0282411040139	rundfahrt 0.0216622451771	lassen 0.0149306106419	genussvoll 0.0141107242852	zusammenpassen 0.0136505196163	steirisch 0.012077012213	bieten 0.00641731099828	einfach 0.00243348553606	tecklenburger 0.00192772485087	sorgen 0.00186185937843	voll 0.0010107214906	unbedingt 0.000479006025638	gut 0.000330762282685	weise 0.000249348176443	treten 0.000198233044556	sicher 4.15251505587e-05	schön 1.06743653387e-05	nehmen 5.6083299137e-06	tag 4.43852200141e-06	setzen 1.26335771669e-06	freuen 8.28038081098e-07	machen 3.86828362173e-07	nah 2.46524189529e-07
topic1522	szene 0.732057751192	unheimlich 0.151564108093	horrorfilm 0.0337238801105	ende 0.0303761750641	sozialarbeiterin 0.0144205457577	spaten 0.0129733969103	atmosphärisch 0.00559758205576	unheimliche 0.00448722305016	entnerven 0.00339410845559	mal 0.00287594188255	schrulle 0.00226812151754	erst 0.00150902007661	einzig 0.00110382721283	bieten 0.000745011289832	geben 0.000628445493335	ausuferung 0.000606555238668	kommen 0.000318500373767	voll 0.000311161880978	gut 0.000162788789177	scheinen 0.000155322501019	schnell 9.43466665233e-05	gehen 7.25617665299e-05	nehmen 6.74176525359e-05	stark 2.64766473906e-05	kennen 2.33878301678e-05
topic1523	post 0.805485810684	plätzchen 0.0769444964594	beschaulich 0.0362350759605	familienvater 0.0282538909671	verträumt 0.0163311164888	bedächtig 0.0101936768024	schuster 0.00672941627627	bundespost 0.00594462555212	auffangbecken 0.00410587732082	opferbereitschaft 0.00360175715344	eckhaus 0.00326519580513	hocharbeiten 0.0021265164623	gehen 0.000152211811711	direkt 9.61233742518e-05	tag 5.11309401483e-05	liegen 4.03117773229e-05	zeit 3.80389229497e-05	lassen 2.17231476901e-05	klein 1.16889836373e-05	jahr 1.09256670664e-05	alt 4.47750649591e-06	kommen 5.28525742414e-07	einzig 3.79757378902e-07	spät 2.34226953859e-07	scheinen 1.05456218556e-07
topic1524	örtlich 0.696769175969	einbeziehung 0.197890772642	seitenteil 0.0239163701422	ehrenbürger 0.0160074952188	bestehen 0.0101179454324	grabpflege 0.00914882646869	meinungsführer 0.00892521708008	verweilzeit 0.00757955980433	ehrenring 0.00561056978878	reformvorhaben 0.0050699440566	beliehen 0.00502820326154	quellenkritik 0.00484241550274	ehrenbürgerschaft 0.00466017859745	entsprechend 0.00190210841851	ergeben 0.000744996051964	zusätzlich 0.000474150789948	verschieden 0.000447746451782	notwendig 3.56193202522e-05	setzen 3.66940139167e-07	teil 2.43438201845e-07	geschehen 9.654397237e-09	kommen 9.21807975877e-09	einzeln 8.78337952384e-09	gleichzeitig 8.38141667196e-09	genannt 8.37710975118e-09
topic1525	vergehen 0.626286621294	mies 0.328435208795	schnell 0.0181179859957	schauerlich 0.0129301551534	zeit 0.0119198835964	kommen 0.000371001472668	gehen 0.000363788593492	lassen 0.000316741515658	ende 0.000151109974545	sehen 8.3560051108e-05	bringen 7.31466666899e-05	nah 5.38954473768e-05	bleiben 9.31148772774e-06	gut 8.49646818144e-06	richtig 1.1916894723e-06	jahr 2.02092330026e-07	gelingen 1.7831798713e-07	gleich 9.20701864912e-08	beginnen 8.17962749211e-08	sache 6.60512499527e-08	schön 6.39683446427e-08	nehmen 2.71138436846e-08	sagen 2.01224830949e-08	genau 1.94712068836e-08	voll 1.91708549603e-08
topic1526	leistung 0.950165444337	zahnärztlich 0.0145986380257	krankenversichert 0.00613629781749	voll 0.00560123030934	erheblich 0.00493954059812	leistungsmerkmal 0.00446221993288	baukastensystem 0.00295278025076	hoch 0.00230145005908	krankenversicherte 0.00210783978175	reichen 0.00132939460902	bringen 0.00114593299891	krankentagegeld 0.000859095178862	gleichzeitig 0.000769836646729	tatsächlich 0.00032145688497	nehmen 0.000309105189394	gut 0.00030198499355	fallen 0.000292850725252	verlieren 0.000292511666935	lassen 0.000279627197518	sehen 0.000136626733813	ende 9.01419764364e-05	folgend 7.83454726797e-05	bestimmt 5.97004529761e-05	weit 5.04769561322e-05	stehen 4.9067558782e-05
topic1527	eindringen 0.553859013923	seltenheit 0.316012733453	belügen 0.0625111081272	selbstbewußter 0.0556293293352	kauend 0.00987126221182	greifen 2.12578760073e-08	lassen 2.11833390009e-08	ganz 2.11779230939e-08	wahr 2.11774564744e-08	feststellen 2.11767434369e-08	weise 2.11729128851e-08	kommen 2.11723258428e-08	einzig 2.11713716811e-08	reichen 2.11689152744e-08	geben 2.11670949246e-08	versuchen 2.1167018658e-08	stimmen 2.11669038944e-08	ziehen 2.11668930093e-08	halten 2.11668378638e-08	gut 2.11667388861e-08	grund 2.11666823601e-08	genau 2.11666810354e-08	häufig 2.11666673863e-08	gehen 2.11666406173e-08	nah 2.11666403547e-08
topic1528	betreiben 0.913378095065	bekloppt 0.0549703202038	kripo 0.0192209468983	donnerstagmorgen 0.0116486639558	nötig 0.0001523911918	interessieren 5.00707768933e-05	erheblich 1.18820773153e-05	stehen 1.30337140514e-08	eigen 8.50310442861e-09	jahr 8.25837943953e-09	sicher 6.38652914849e-09	geben 6.10430789808e-09	kommen 5.88495872289e-09	sehen 5.80136665933e-09	klar 5.7316204883e-09	gehen 5.71055511359e-09	machen 5.69196838423e-09	übrig 5.68833014805e-09	wissen 5.68207799243e-09	gut 5.67926294305e-09	bekommen 5.6786960651e-09	klein 5.67862469479e-09	dienen 5.67853704545e-09	stellen 5.67825007821e-09	finden 5.67820414323e-09
topic1529	bürgerentscheid 0.141837505988	bürgerbeteiligung 0.139818643413	betrachtungsweise 0.125681795662	siegburg 0.108043281654	ausgebildeter 0.0838598148208	ratsmitglied 0.0661294121659	investigativ 0.0542214374621	bündnispartner 0.0525976609466	zielvorstellung 0.0514320066108	ohrfeigen 0.0465715262101	baukultur 0.034599497438	kommentierend 0.0334573676526	trickserei 0.0252132475741	einmünden 0.0193976151557	zurückblättern 0.0107195505001	schattenkabinett 0.00448617881966	möglich 1.55836901785e-05	diskussion 7.85604858649e-06	setzen 4.55320485967e-06	neu 2.18543798242e-06	darstellen 2.68468622721e-07	kommen 2.58199118503e-07	heißen 9.46489459248e-08	gehen 4.11064403985e-08	nehmen 2.2142962612e-08
topic1530	reden 0.419340526718	gut 0.0567133958092	machen 0.0514780555124	geben 0.0490781494613	gehen 0.0337988182885	einfach 0.0246655667842	lassen 0.0229753008021	klar 0.0224498599241	kommen 0.0217183618738	bringen 0.0184817334036	wissen 0.0150221049791	sagen 0.0124161107754	richtig 0.0118994992845	sehen 0.011759705166	ändern 0.0105504279033	versuchen 0.0105047188671	finden 0.0102952627047	tun 0.0101959326237	kennen 0.00983735628447	bleiben 0.00981090648286	gehören 0.00909056572106	nötig 0.00889000744538	sinnfrei 0.00864969695367	sicher 0.00799376801133	stehen 0.00782329072398
topic1531	verwenden 0.715452096568	aktivieren 0.193465095073	aktivierung 0.0481852739473	seriennummer 0.0260100536105	testphase 0.0142929128872	möglich 0.00100247958281	zweit 0.000889196517414	finden 0.000175200251592	mal 0.000166611882786	erst 0.000112081861793	modern 2.32541071398e-06	frage 3.36318207166e-09	stellen 3.35471205059e-09	recht 2.67754319361e-09	tag 2.65996092533e-09	problem 2.50058112349e-09	seite 2.49904894802e-09	deutlich 2.48600989029e-09	früh 2.48136776028e-09	wahrscheinlich 2.46943771229e-09	erfolgen 2.46712094586e-09	geben 2.46704339471e-09	erhalten 2.46699264258e-09	groß 2.46698052777e-09	gesamt 2.46698009485e-09
topic1532	quartal 0.26361509642	geschäftsjahr 0.113314304523	erst 0.105806117841	vorantreiben 0.096062239505	neu 0.0494076115661	patentiert 0.0441630672899	vorjahreszeitraum 0.0284494298096	ende 0.0254039561195	zweit 0.0239815421671	vorjahresquartal 0.0216120729663	gut 0.0210181244078	erfolgreich 0.020995431668	deutlich 0.0188173234806	entsprechen 0.0178125426187	erneut 0.0140983225809	weit 0.013642261315	setzen 0.0134419163918	führen 0.0127370880143	zuwachs 0.011786655542	liegen 0.0110406979979	stark 0.0108157655521	gehen 0.00992913280098	steigerung 0.00670092033777	zusätzlich 0.00557835827836	gleichzeitig 0.00468494415353
topic1533	eindeutig 0.530179491104	anerkennen 0.105131119742	klar 0.0907175124516	entsprechend 0.0334900411288	lassen 0.0238816428659	sachlage 0.0204896776158	tatsächlich 0.0184956693042	weit 0.015154150802	sehen 0.012739419407	gelten 0.0117082687094	möglich 0.0115274460246	zeitabstand 0.0100315528374	gewiss 0.0100086660698	liegen 0.00840858514494	einzig 0.00711695222686	unbedingt 0.00628027759461	weisen 0.00620693026854	weise 0.00617474696888	notwendig 0.00597346288882	gleichzeitig 0.00564507112139	sicher 0.00557099368471	sinn 0.00448568292341	eigentlich 0.00425517508992	fall 0.00421666683595	entsprechen 0.00403732241666
topic1534	mitbringen 0.553951447263	schleifen 0.138297285768	lackieren 0.121886993588	flex 0.0514597258647	klarlack 0.046337867266	abdichten 0.0351327067838	spachtel 0.0184664661373	kunststoffteil 0.0122830735157	autotür 0.0106256354485	roststelle 0.00443615640365	klein 0.00374277302404	kommen 0.00203386602126	machen 0.000512683662664	zeit 4.10073928677e-05	komplett 1.36395968225e-06	geben 6.45060360838e-07	stehen 4.21295908599e-07	neu 2.39634059159e-07	teil 4.20145969108e-08	nah 1.3295691874e-08	gut 1.14697384642e-08	recht 1.09807522337e-08	tag 1.07553948953e-08	nehmen 9.09061896112e-09	schön 8.5189041107e-09
topic1535	vermittlung 0.593784875169	verweilen 0.24919589253	clique 0.0699515546358	rampenlicht 0.0582683393081	gästeliste 0.0165448511754	belagert 0.0106009066209	bieten 0.00062154377011	dienen 3.36374790614e-06	ziehen 1.05042825104e-08	nehmen 1.02942978618e-08	eigen 1.02888191154e-08	zeit 1.02884554628e-08	lang 1.02876519787e-08	neu 1.02876316892e-08	führen 1.02875987477e-08	sorgen 1.0287598675e-08	offen 1.02875982805e-08	verschieden 1.02875956156e-08	groß 1.02875823107e-08	genau 1.02875796438e-08	weit 1.02875786624e-08	mensch 1.02875703628e-08	erst 1.028756329e-08	lassen 1.0287560262e-08	jahr 1.02875580348e-08
topic1536	begehrt 0.599638245967	daten 0.211929275869	gefragt 0.119493997507	zukunftsplan 0.0370031541202	vielbeschäftigt 0.0240142561341	verflossene 0.0049980693668	erfolgreich 0.00111983863295	machen 0.000148681295005	ändern 3.51095123508e-06	modern 2.07545369782e-07	jahr 7.62151496433e-08	knapp 2.30389283242e-08	stehen 2.2726571761e-08	voll 2.19200021664e-08	kennen 1.73966427149e-08	gut 1.6837570916e-08	gehören 1.66691945096e-08	geben 1.65698443959e-08	kommen 1.6550620642e-08	genau 1.65138281057e-08	drohen 1.65135740171e-08	gehen 1.6511607903e-08	täglich 1.6510688296e-08	zeit 1.65092707858e-08	ganz 1.65091487153e-08
topic1537	truppe 0.556796796499	anhaltend 0.217886313577	konsens 0.155939953521	außenpolitik 0.048778568777	entsendung 0.0199617388843	nehmen 9.97225938514e-07	versuchen 3.66271010653e-07	neu 4.50793819534e-08	kurz 7.60487063142e-09	ende 7.17516308031e-09	lang 6.70984489175e-09	stellen 6.66068823366e-09	genannt 6.63647685522e-09	entscheiden 6.40435439454e-09	beginn 6.36400294856e-09	führen 6.35947687284e-09	letzt 6.3535656704e-09	machen 6.35352181793e-09	lage 6.35294782376e-09	fallen 6.35288426263e-09	treffen 6.35279501463e-09	zeigen 6.35276355648e-09	erst 6.35274408089e-09	groß 6.35270533844e-09	weg 6.3526995324e-09
topic1538	kern 0.467535454963	architektur 0.444228144101	ausgereift 0.0722325757966	fahrzeugtechnik 0.00967204221229	modellbasiert 0.00234204616408	liegen 0.00133592346487	unterschiedlich 0.00102213796477	entsprechen 0.000451826822248	reichen 0.000414730412511	bestehen 0.000140237609631	hoch 1.055512763e-05	groß 2.30818707907e-07	neu 6.26034593768e-08	lassen 3.79601781871e-08	zeigen 6.32152230022e-09	geben 6.27019397086e-09	wesentlich 6.18372082459e-09	bleiben 6.15139751577e-09	eigen 6.14926297292e-09	unbedingt 6.14339275624e-09	führen 6.14314255721e-09	stehen 6.14249907071e-09	lang 6.14135550035e-09	offen 6.14112600801e-09	gleich 6.14099137898e-09
topic1539	bremse 0.137029770251	gut 0.0577940088733	lackierung 0.0450009970232	lassen 0.0393768681626	neu 0.0367243465494	hinterrad 0.0314568455557	vorbesitzer 0.0273446159879	kommen 0.0260622269645	geben 0.0258454763243	nabe 0.0178709439097	sicher 0.0174586362735	klein 0.0150193959765	stehen 0.0139387449464	groß 0.0138809186045	hoch 0.0132356114149	schnell 0.0132067842754	vorderachse 0.0129800644246	erst 0.0128061779428	kurz 0.0122427588807	nockenwelle 0.0122303750842	machen 0.012085224294	starthilfe 0.0119203391519	deutlich 0.0118654011851	jahr 0.0115311308868	bremsanlage 0.011506610996
topic1540	kabine 0.321308903773	verkürzen 0.256356173411	erspielen 0.14824314734	ballbesitz 0.0566690322649	ballverlust 0.0474701126202	bäumen 0.0369782846944	spielfläche 0.0356155996991	spielfluss 0.0259665312803	verteidigend 0.0147868347755	zehner 0.0137133813402	laufrichtung 0.0135392670004	abprallen 0.0125619887263	postiert 0.00461597814208	ballkontrolle 0.00286444745305	direkt 0.0021833791305	erneut 0.00165334210097	setzen 0.000830194381826	beginnen 0.00078101182459	lassen 0.000534930772253	schnell 0.000438353551647	bringen 0.00042843385328	sicht 0.000336649323287	erheblich 0.000318214862209	versuchen 0.000286688094711	nehmen 0.000155840635098
topic1541	sucht 0.387569721286	alkoholiker 0.116363051329	unüberlegt 0.0820184252156	verletzend 0.063949059559	loskommen 0.0384492669794	umfeld 0.036428795773	leben 0.0266978864974	alkoholkrank 0.0241819571924	führen 0.0220522689228	jahr 0.0200726668401	alkoholabhängigkeit 0.0153252102747	alkoholsucht 0.0128478224521	machen 0.0127186137106	gehen 0.0124660705076	mensch 0.0121258223244	belletristisch 0.0118878106217	lassen 0.00971487597202	fühlen 0.00857678485757	gut 0.00803471343699	klar 0.00779152324196	finden 0.0073994081714	geben 0.00623573474947	versuchen 0.00549634747687	zeit 0.00481240434762	mal 0.00462767753988
topic1542	geben 1e-05	fall 1e-05	tier 1e-05	sagen 1e-05	gehen 1e-05	untersuchung 1e-05	senator 1e-05	erklären 1e-05	einfach 1e-05	ranger 1e-05	zeit 1e-05	lied 1e-05	sehen 1e-05	blut 1e-05	kuh 1e-05	verstümmelung 1e-05	ort 1e-05	finden 1e-05	vorfall 1e-05	grund 1e-05	erklärung 1e-05	mensch 1e-05	genau 1e-05	jahr 1e-05	presse 1e-05
topic1543	schaf 0.732625263827	unterkiefer 0.0689459264648	verschlimmerung 0.0349736353676	streckung 0.0267060869849	seitenlage 0.0260142818024	längsachse 0.0257736722425	ersthelfer 0.0250311242686	verunglückte 0.0207583631563	heizdecke 0.0169380919504	mundbereich 0.0110562003939	kommen 0.0081434351857	bestehen 0.00134246189744	geben 9.45574915837e-05	vorhanden 1.75831397197e-08	erst 1.72074177453e-08	folgend 1.70458833849e-08	lassen 1.60088674897e-08	weit 1.59764224099e-08	greifen 1.59754305914e-08	nehmen 1.59735326489e-08	ende 1.59713967232e-08	groß 1.59713477174e-08	seite 1.59713335741e-08	führen 1.59712327317e-08	gehören 1.59712182737e-08
topic1544	board 0.417649736331	prinzipiell 0.329091530656	berechtigung 0.170129121165	dateianhang 0.0465158070915	mindestalter 0.0232390480891	landschaftsbau 0.0122852974231	jeweilig 0.000333475647948	interessieren 8.09439310503e-05	klein 4.22408894374e-05	recht 1.22943621008e-05	scheinen 5.58427856623e-07	stehen 2.33232192031e-08	finden 1.40630606263e-08	machen 9.47506310888e-09	komplett 7.08663803569e-09	stellen 6.74505116852e-09	nah 6.4025190944e-09	geben 6.28233822215e-09	zeigen 6.26260169171e-09	echt 6.25835640887e-09	sagen 6.24155689135e-09	beitrag 6.22643733271e-09	meinung 6.22454843241e-09	versuchen 6.21443761457e-09	egal 6.20660336989e-09
topic1545	zeitschrift 0.495291317262	bibliothek 0.413262413443	click 0.0267049010653	katalog 0.0209983349892	deutsch 0.0189820856806	quizfrage 0.00882170227008	sammelwerk 0.00475192800167	bibliothekskatalog 0.00422383141695	neu 0.00236399835291	finden 0.00197166325728	einzig 0.000763931611835	liegen 0.000518698176799	geben 0.00038155457735	gehören 0.000240231063076	recht 0.000139431665645	möglich 8.80148211886e-05	alt 7.03417883568e-05	ende 5.66050127632e-06	groß 2.01263858428e-06	wissen 6.07126797168e-07	scheinen 9.94322751176e-08	stehen 8.57566293137e-08	weit 4.66092867983e-08	früh 3.48740597712e-08	erst 1.91868912422e-08
topic1546	ergänzung 0.700883566922	zuweisung 0.109539851001	alkoholkonsum 0.0847398408964	grundgebühr 0.0796526920942	einzeichnen 0.0122958983759	backsteinbau 0.00785673998062	danebenstehend 0.00397100785048	direkt 4.51153869633e-05	darstellen 2.59323361314e-07	richten 8.67384716151e-08	zeit 1.05750970819e-08	erheblich 1.0494878844e-08	jeweilig 1.0370478328e-08	vorhanden 1.02848307917e-08	grund 1.02501356668e-08	entsprechend 1.01753317807e-08	weit 1.01650202725e-08	unbedingt 1.01631178202e-08	genannt 1.01570667283e-08	bilden 1.01557304187e-08	finden 1.01549781594e-08	sicht 1.01515886739e-08	geben 1.01508251976e-08	dienen 1.01508229455e-08	stehen 1.01507917103e-08
topic1547	arm 0.921513476976	fackel 0.0260921329542	gehen 0.00747508280746	klein 0.00591308282192	fackeln 0.00565713673139	fingerkuppe 0.00476610968377	nehmen 0.00462486289395	kommen 0.00315500759749	kurz 0.00224596844426	sehen 0.00218434575907	machen 0.00212664873672	gut 0.00203736101976	versuchen 0.00159218123451	recht 0.00128452963812	weisen 0.00113696371016	stehen 0.00105109593974	lang 0.000745973638286	lassen 0.000739912353336	geben 0.000735196938212	schnell 0.000682717536817	bleiben 0.000628037566102	groß 0.000540030750583	direkt 0.000476901112582	mal 0.000443082155264	finden 0.000274087722455
topic1548	hochschule 0.572225151643	studiengang 0.199975443149	finden 0.0318788222467	studienangebot 0.0279960441147	weit 0.0230745453298	bieten 0.0127563666063	entsprechend 0.0124908654007	neu 0.0120841002697	hoch 0.0119913977954	gut 0.0105755580008	bestehen 0.00942890441171	kommen 0.00887623517127	studienort 0.0073765336631	jahr 0.0072238147245	studienprogramm 0.00668801743357	erst 0.00665583469074	gehören 0.00645290970188	genannt 0.00479433549565	gleichzeitig 0.00427083711779	beginnen 0.00360790554741	groß 0.0026822817669	deutsch 0.00235043385664	ermöglichen 0.00220557128936	unterschiedlich 0.00208988614328	ende 0.002002153111
topic1549	live 0.633282702213	kulisse 0.161594259944	zeitgleich 0.11690568159	abrufen 0.078866703767	weiterreichen 0.00812550001353	mal 0.00087182543764	groß 1.29172588011e-06	geben 2.55846467538e-07	möglichkeit 5.83653010207e-08	nah 2.34927246345e-08	kurz 1.9836993152e-08	jahr 1.5276836974e-08	erfolgreich 3.93383006373e-09	lassen 3.63136677987e-09	tatsächlich 3.56411503595e-09	machen 3.52790937678e-09	sehen 3.52314703348e-09	zeigen 3.51838971451e-09	übrig 3.51791529897e-09	erst 3.51779799336e-09	führen 3.51758296208e-09	nutzen 3.51715211244e-09	unbedingt 3.51713556213e-09	bereit 3.51709805408e-09	zeit 3.51706069096e-09
topic1550	usb 1e-05	eurofighter 1e-05	erst 1e-05	extern 1e-05	kernel 1e-05	vertrag 1e-05	euro 1e-05	neu 1e-05	festplatte 1e-05	gut 1e-05	flugzeug 1e-05	kommen 1e-05	geben 1e-05	sagen 1e-05	schnittstelle 1e-05	preis 1e-05	gerät 1e-05	kosten 1e-05	jahr 1e-05	gehen 1e-05	möglich 1e-05	einfach 1e-05	wissen 1e-05	tranche 1e-05	million 1e-05
topic1551	zunge 0.620158849218	celsius 0.274045934219	prophylaktisch 0.0705600575649	spiegelnd 0.0333267469922	speziell 0.000186941693057	zeigen 1.33267671706e-06	liegen 1.28019090907e-07	weisen 1.01341847727e-07	nötig 1.75462001979e-08	weit 1.7492420807e-08	gehören 1.74768692376e-08	grundsätzlich 1.74249074129e-08	bilden 1.72183894431e-08	stark 1.72129170122e-08	dienen 1.72099490174e-08	tag 1.72068517315e-08	erst 1.72068428141e-08	seite 1.72035795507e-08	kommen 1.72016810057e-08	besonder 1.72007969214e-08	groß 1.72006794258e-08	grad 1.72005362212e-08	lassen 1.72005266054e-08	häufig 1.72005248241e-08	neu 1.72005124857e-08
topic1552	zeitgenössisch 0.353644564278	bildend 0.23465941465	fohlen 0.234112605178	visualisieren 0.0569121091101	metamorphose 0.0488774245473	galerist 0.0225761831772	katalog 0.0167227842247	erhabene 0.0121687029468	kulturinstitution 0.010018399019	jahr 0.00462662943345	vergeistigung 0.00382913094438	erst 0.000335959547996	erfolgreich 0.000233386379918	neu 0.000199867954961	verschieden 4.61352562971e-05	modern 1.13616761177e-05	früh 3.5612204001e-06	diskussion 1.41762199292e-06	zeigen 8.51376318314e-07	setzen 6.25969396343e-07	stellen 4.97588255089e-07	leben 4.1761327724e-07	zeit 1.37964597457e-07	sehen 6.19102031669e-08	treten 4.46669889348e-08
topic1553	berufsverband 0.81489365622	halbierung 0.177159571176	entsprechend 7.94693282014e-08	führen 7.94693157516e-08	mensch 7.94693154406e-08	wichtig 7.94693154314e-08	stark 7.9469315429e-08	lassen 7.94693154276e-08	gleich 7.94693154274e-08	häufig 7.94693154268e-08	geben 7.94693154266e-08	wirkung 7.94693154265e-08	person 7.94693154265e-08	kollege 7.94693154265e-08	auge 7.94693154265e-08	gut 7.94693154265e-08	gesetzlich 7.94693154265e-08	gehen 7.94693154265e-08	vorsorge 7.94693154265e-08	arbeit 7.94693154265e-08	jahr 7.94693154264e-08	sagen 7.94693154264e-08	erkennen 7.94693154264e-08	groß 7.94693154264e-08	erst 7.94693154264e-08
topic1554	bewertung 0.52049479825	registrieren 0.377359544033	verbraucherschutz 0.0559529726673	reputation 0.022773764332	alterungsprozess 0.0119206028466	banküberfall 0.00479948622342	kosmetikprodukt 0.00410083503653	erst 0.00129553736148	neu 0.000888698961419	lassen 6.67881289813e-05	finden 1.01606185015e-05	stehen 1.14114761909e-07	verlieren 7.20496377909e-09	regelmäßig 3.54560946922e-09	thema 3.42865802411e-09	aktuell 3.39086156231e-09	gelten 3.37037034619e-09	eigen 3.36912809082e-09	verstehen 3.36812871657e-09	modern 3.36783803938e-09	problem 3.36778512418e-09	gut 3.36772156209e-09	erfahrung 3.36744403941e-09	beziehen 3.36742326009e-09	stark 3.36740111795e-09
topic1555	hallo 0.761601885977	kaninchen 0.224313335155	versuchstier 0.00909643003733	bürofenster 0.0017564900613	neu 0.00115866717307	versuchen 0.00080930517419	interessieren 0.000451044447063	gehen 4.79967067283e-05	gut 2.76465273387e-05	einfach 1.98223914599e-05	liegen 2.39512808573e-06	frage 1.12951482782e-07	klein 9.73539464801e-08	lassen 4.92018224084e-08	bekommen 1.86683291779e-08	kommen 1.3497059412e-08	geben 1.27608216799e-08	jahr 1.09089278115e-08	wissen 1.06300969865e-08	schnell 9.98171378101e-09	fall 9.92028428958e-09	wirklich 8.55793332348e-09	kennen 7.95210095699e-09	nah 7.93439869524e-09	hoch 7.68610339502e-09
topic1556	lassen 0.899689169102	entgehen 0.0472467457684	gartenmöbel 0.0148060716276	anfangszeit 0.00891796503424	ekeln 0.0044283616462	bestehen 0.0036168845383	unbedingt 0.00350475288418	markenartikel 0.00233993424061	groß 0.00205005085983	machen 0.00149936355852	kartenzahlung 0.00125428724079	gehören 0.00124066041287	gut 0.0011913740524	billigware 0.00117385712825	markenware 0.00113013826774	bringen 0.00112973635414	geben 0.00104341740404	billigprodukt 0.000949696738337	weit 0.000761708802188	kurz 0.000569073696222	voll 0.000412136618734	zeit 0.000262162124607	gehen 0.000229644502169	jahr 0.000117090546347	nah 0.000113376004687
topic1557	zig 0.764278629367	fassungslos 0.163446061172	korrektiv 0.0572627510679	kreditkartenkonto 0.011948803572	verlieren 3.06971568342e-08	sicher 3.06398571475e-08	bleiben 3.06394622032e-08	sitzen 3.06393693793e-08	bringen 3.06393289849e-08	neu 3.06389618273e-08	stehen 3.06388672055e-08	sache 3.06388530562e-08	schnell 3.06388160086e-08	klar 3.06388082803e-08	kommen 3.0638787986e-08	geschehen 3.06387861049e-08	zeit 3.06387855524e-08	sprechen 3.06387787173e-08	mittel 3.06387765431e-08	möglich 3.06387764816e-08	offen 3.06387763818e-08	ende 3.06387761431e-08	kümmern 3.06387747726e-08	offensichtlich 3.06387746373e-08	machen 3.06387744902e-08
topic1558	zwerg 0.609037594327	straffällig 0.0686810762699	beschlagen 0.0514947671044	unwissenschaftlich 0.0461927277584	wiederholungsgefahr 0.0389208749266	gekreuzt 0.0365533804498	drogenabhängig 0.0334272583652	tabakware 0.026653485562	gesamtumstände 0.0183538778032	südrand 0.0163221661443	zigarettenschachtel 0.0161301041705	bürotür 0.0126595248996	schlängelnd 0.0097492173029	eigentumsdelikt 0.00690361306176	groß 0.00508552438383	klein 0.00186763693014	weit 5.59713635363e-05	sehen 5.30005373723e-07	nehmen 1.15048579574e-07	recht 9.9564252093e-08	geben 7.05231429572e-08	weisen 1.95961370613e-08	gehen 1.91748309574e-08	gut 1.91325330163e-08	offen 1.91293803192e-08
